Feat,Description,Book,Str,Con,Dex,Int,Wis,Cha,Level,Race,Race2,Class,Acrobatics,Arcana,Athletics,Bluff,Diplomacy,Dungeoneering,Endurance,Heal,History,Insight,Intimidate,Nature,Perception,Religion,Stealth,Streetwise,Thievery,Initiative,Speed,Surge Value,AC,Fortitude,Reflex,Will
Divine Boon,Deal extra 5 radiant to undead when you gain bonus from Divine Fortune,DRMZ,,,,,,,,,,Cleric,,,,,,,,,,,,,,,,,,,,,,,,
Divine Purity,Gain resist necrotic when divine mettle target succeds saving throw,DRMZ,,,,,,,,,,Paladin,,,,,,,,,,,,,,,,,,,,,,,,
Greater Turning,Target is pushed when you miss with turn undead  ,DRMZ,,,,,,,,,,Cleric,,,,,,,,,,,,,,,,,,,,,,,,
Purifying Light,Radiant prayers gain bonus to attack against undead,DRMZ,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Radiant Touch,Use healing power for Radiant Touch power,DRMZ,,,,,,,,,,Paladin,,,,,,,,,,,,,,,,,,,,,,,,
Student Of Moil,+1 feat bonus to damage rolls with cold or necrotuc keyword,DRMZ,,13,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dazing Rebuke,Daze instead of immobilize with turn undead,DRMZ,,,,,,,11,,,Cleric,,,,,,,,,,,,,,,,,,,,,,,,
Radiant Hunter,Hunter's quarry damage can be radiant,DRMZ,,,,,,,11,,,Ranger,,,,,,,,,,,,,,,,,,,,,,,,
Shadow Born Warlock,Gain necrotic resistance when you gain concealment from shadow walk,DRMZ,,,,15,,,11,,,Warlock,,,,,,,,,,,,,,,,,,,,,,,,
Undead Ward,Turn undead gains zone keyword,DRMZ,,,,,,,11,,,Cleric,,,,,,,,,,,,,,,,,,,,,,,,
Ghost-Touched,+2 religion,DRMZ,,13,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Radiant Soul,+2 diplomacy,DRMZ,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raven Queen Devotee,+2 intimidate,DRMZ,,,,,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shadow Soul,+2 stealth,DRMZ,,,13,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Undead Hunter,Increase healing surge value by 1,DRMZ,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zombie Veteran,+2 athletics check t escape grab,DRMZ,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vampiric Heritage,Gain Blood drain as encounter power,DRMZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vampire Alacrity,+1 feat bonus to speed,DRMZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mist Form,Swap utility power for Mist Form,DRMZ,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,
Night's Sight,Gain low-light vision,DRMZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bloodied Regeneration,Swap utility power for Bloodied Regeneration,DRMZ,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominating Gaze,Swap daily power for Dominating Gaze,DRMZ,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,
Savage Bite,Use blood drain without grab when you have combat advantage,DRMZ,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scent of Blood,bloodied enemies grant you combat advantage,DRMZ,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benighted Birthright,Gain resist 5 necrotic and +2 versus ongoing necrotic,DRMZ,,,,,,,,Shadar-Kai,,,,,,,,,,,,,,,,,,,,,,,,,,
Blighting Power,Gain benefit with certain powers,DRMZ,,,,,,,,Shadar-Kai,,,,,,,,,,,,,,,,,,,,,,,,,,
Bloodthirsty Hunter,Immeaditly choose a new quarry when you drop quarry to 0hp,DRMZ,,,,,,,,Shadar-Kai,,Ranger,,,,,,,,,,,,,,,,,,,,,,,,
Darkwinter Wild Soul,Choose resist cold or necrotic instead of rolling for wild soul,DRMZ,,,,,,,,Shadar-Kai,,Sorcerer,,,,,,,,,,,,,,,,,,,,,,,,
Deathward Aegis,Aegis of Shielding target gains resist necrotic 5,DRMZ,,,,,,,,Shadar-Kai,,Swordmage,,,,,,,,,,,,,,,,,,,,,,,,
Deathly Disruption,Ignore first five points of necrotic resistance,DRMZ,,,,,,,,Shadar-Kai,,,,,,,,,,,,,,,,,,,,,,,,,,
Devious Jaunt,Add int mod to sahdow jaunt teleport distance,DRMZ,,,,13,,,,Shadar-Kai,,,,,,,,,,,,,,,,,,,,,,,,,,
Expert Chainfighter,Gain benefit with exploits,DRMZ,,,,,,,,Shadar-Kai,,,,,,,,,,,,,,,,,,,,,,,,,,
Life on the Edge,+2 to all rolls when you spend an action point whilst bloodied,DRMZ,,,,,,,,Shadar-Kai,,,,,,,,,,,,,,,,,,,,,,,,,,
Reaper's Touch,Gain benefit with powers,DRMZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shadar-Kai Beast,Beast companion gains shadow origin,DRMZ,,,,,,,,Shadar-Kai,,Ranger,,,,,,,,,,,,,,,,,,,,,,,,
Winter Favored,Gain resist cold 5 and +2 saves against ongoing cold,DRMZ,,,,,,,,Shadar-Kai,,,,,,,,,,,,,,,,,,,,,,,,,,
Bravura Shroud,Ally gains concealment from Bravura presence,DRMZ,,,,,,,11,Shadar-Kai,,Warlord,,,,,,,,,,,,,,,,,,,,,,,,
Ghostly Rejuvenation,Ally can become insubstantial when you use a healing power on them,DRMZ,,,,,,,11,Shadar-Kai,,,,,,,,,,,,,,,,,,,,,,,,,,
Marked Jaunt,Use sahdow jaunt as immediate interupt to attack enemy,DRMZ,,,,,,,11,Shadar-Kai,,Fighter,,,,,,,,,,,,,,,,,,,,,,,,
Reactive Jaunt,Use shadow jaunt as immediate reaction when you are damaged,DRMZ,,,,,,,11,Shadar-Kai,,,,,,,,,,,,,,,,,,,,,,,,,,
Sequestering Jaunt,Teleport target of oath of enemity with you,DRMZ,,,,,,,11,Shadar-Kai,,Avenger,,,,,,,,,,,,,,,,,,,,,,,,
Shadowed Aegis,Become insubstantial when you teleport due to aegisof assault,DRMZ,,,,,,,11,Shadar-Kai,,Swordmage,,,,,,,,,,,,,,,,,,,,,,,,
Blade of the Raven Queen,Cold damage becomes cold and necrotic damage,DRMZ,,,,,,,21,Shadar-Kai,,Swordmage,,,,,,,,,,,,,,,,,,,,,,,,
Deathless Warrior,If melee or close attack would drop you to 0hp reduce damage by 5+ con mod,DRMZ,,13,,,,,21,Shadar-Kai,,,,,,,,,,,,,,,,,,,,,,,,,,
Enmity's Dark Vigor,Gain temp hp = con mod when oath of enmity target hits you,DRMZ,,,,,,,21,Shadar-Kai,,Avenger,,,,,,,,,,,,,,,,,,,,,,,,
Spirit Jaunt,Gain phasing when you use shadow jaunt,DRMZ,,,,,,,21,Shadar-Kai,,,,,,,,,,,,,,,,,,,,,,,,,,
Spiked Chain Training,Proficient with Spiked Chain,DRMZ,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spiked Chain Novice,Swap encounter power with one of multiclass,DRMZ,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spiked Chain Expert,Swap encounter power with one of multiclass,DRMZ,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spiked Chain Specialist,Swap encounter power with one of multiclass,DRMZ,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bane's Tactics,Use C.Divinity to invoke Bane's Tactics,DRMZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alchemical Oppurtunist,Use alchemical items for opportunity attacks,DRMZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bloodied Fleetness,+1 feat bonus to speed,DRMZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Connected,Roll twice for streetwise checks,DRMZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fey Escape,Use fey step as immeadiate reaction when grabbed imobilized or restrained,DRMZ,,,,,,,,Eladrin,,,,,,,,,,,,,,,,,,,,,,,,,,
Poison Inured,Gain feat bonus to saving throws against poison,DRMZ,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Slow Fall,Reduce distance you fall by acrobatics check result,DRMZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eyedark Strike,Blind target with cloud of darkness when you damage them,DRMZ,,,,,,,11,Drow,,,,,,,,,,,,,,,,,,,,,,,,,,
Fey Death,Use fey step as free action when you reduce enemy to 0hp,DRMZ,,,,,,,11,Eladrin,,,,,,,,,,,,,,,,,,,,,,,,,,
Persistant Poison,Target takes -2 to saves versus posion,DRMZ,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prime Punisher,Receive prime shot in melee if no other ally is adjacent,DRMZ,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unexpected Escape,+4 acrobastics and athletics to escape grab,DRMZ,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,
Critical Ambush,Apply sneak attack damage to critical hit,DRMZ,,,,,,,21,,,Rogue,,,,,,,,,,,,,,,,,,,,,,,,
Poison's Partner,Enemies suffering from poison attacks grant you combat advantage,DRMZ,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,
Untraceable,Gain +5 to stealth checks against creatures that can't see you,DRMZ,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,
Furtive Signals,+2 feat bonus to bluff,DRMZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grasping Magpies,+2 feat bonus to thievery,DRMZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Roof Runners,+2 feat bonus to acrobatics,DRMZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Silent Shadows,+2 feat bonus to stealth,DRMZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Street Eyes,+2 feat bonus to streetwise,DRMZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wall Crawlers,+2 feat bonus to athletics,DRMZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blowgun Training,Proficent with blowgun,DRMZ,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blowgun Novice,Swap encounter power with one of multiclass,DRMZ,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blowgun Expert,Swap encounter power with one of multiclass,DRMZ,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blowgun Specialist,Swap encounter power with one of multiclass,DRMZ,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bravo,Gain training in intimidate,DRMZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bravo Novice,Swap encounter power with one of multiclass,DRMZ,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bravo Expert,Swap encounter power with one of multiclass,DRMZ,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bravo Specialist,Swap encounter power with one of multiclass,DRMZ,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cutthroat,Gain training in stealth,DRMZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cutthroat Novice,Swap encounter power with one of multiclass,DRMZ,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cutthroat Expert,Swap encounter power with one of multiclass,DRMZ,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cutthroat Specialist,Swap encounter power with one of multiclass,DRMZ,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,
Garrote Training,Proficient with Garotte,DRMZ,13,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Garrote Novice,Swap encounter power with one of multiclass,DRMZ,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
Garrote Expert,Swap encounter power with one of multiclass,DRMZ,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,
Garotte Specialist,Swap encounter power with one of multiclass,DRMZ,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poisoner,Gain training in thievery,DRMZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poisoner Novice,Swap encounter power with one of multiclass,DRMZ,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poisoner Expert,Swap encounter power with one of multiclass,DRMZ,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poisoner Specialist,Swap encounter power with one of multiclass,DRMZ,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black Arrow Style,Gain benefit with powers,DRMZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bloodhound Style,Gain benefit with powers,DRMZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Correlon's Wrath Style,Gain benefit with powers,DRMZ,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cruel Cut Style,Gain benefit with powers,DRMZ,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Executioner's Style,Gain benefit with powers,DRMZ,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ghostwalker Style,Gain benefit with powers,DRMZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harlequin Style,Gain benefit with powers,DRMZ,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hunting Wolf Style,Gain benefit with powers,DRMZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Impending Doom Style,Gain benefit with powers,DRMZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lolthdark Style,Gain benefit with powers,DRMZ,,,,,,,,Drow,,,,,,,,,,,,,,,,,,,,,,,,,,
Precision Ambush Style,Gain benefit with powers,DRMZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serpent Fang Style,Gain benefit with powers,DRMZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vigilante Justice Style,Gain benefit with powers,DRMZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
White Lotus Defense,+1 bonus to defenses when you hit with at will power,DRMZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
White Lotus Enervation,Enemy takes -1 defenses when hit by at will power,DRMZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
White Lotus Evasion,Shift 1 square as minor action when you hit with at will power,DRMZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
White Lotus Hindrance,Squares adjacent to you are dificult terrain ,DRMZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
White Lotus Riposte,Enemy takes damage when striking you if they've been hit by at will power,DRMZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
White Lotus Master Evasion,Shift 1 square and gain +1 bonus to speed,DRMZ,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,
White Lotus Master Hindrance,All squares adjacent to allies are difficult terain,DRMZ,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,
White Lotus Master Riposte,Repeat at will attack power against target that hits you,DRMZ,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aggressive Familiar,Replace utility power with aggressive familiar,DRMZ,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alert Familiar,You don't grant +2 attack bonus with combat advantage,DRMZ,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quick Familiar,1/turn move familiar as minor action,DRMZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shared Speed,+1 feat bonus to speed for you and familiar,DRMZ,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Battle Intuition,Use wis mod for initative and gain +2 mod,DRMZ,,,,,,,,Deva,,,,,,,,,,,,,,,,,,,,,,,,,,
Deva Heritage,Gain astral splendor as utility power,DRMZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heavenly Heritage,Gain temp hp when you take fire or cold damgae,DRMZ,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Immortal Skill,Count below average memory of a thousand lifetime rolls as average,DRMZ,,,,,,,,Deva,,,,,,,,,,,,,,,,,,,,,,,,,,
Radiant Recovery,Gain temp hp when hit by radiant power,DRMZ,,13,,,,,,Deva,,,,,,,,,,,,,,,,,,,,,,,,,,
Scourge of the Fallen,Add memory of a thousand lifetimes roll to damage,DRMZ,,,,,,,,Deva,,,,,,,,,,,,,,,,,,,,,,,,,,
Upright Revival,Shift 1 square when you go from 0 to 1 hp,DRMZ,,,,,,,,Deva,,,,,,,,,,,,,,,,,,,,,,,,,,
Immortal Resilience,Count below average memory of a thousand lifetime rolls as average,DRMZ,,,,,,,11,Deva,,,,,,,,,,,,,,,,,,,,,,,,,,
Remembered Mother Tongue,"You can read, speak and write supernal",DRMZ,,,,,,,11,Deva,,,,,,,,,,,,,,,,,,,,,,,,,,
Shared Channeling,Personal range channel divinity powers have range of close burst 5,DRMZ,,,,,,,11,Deva,,,,,,,,,,,,,,,,,,,,,,,,,,
Immortal Prowess,Count below average memory of a thousand lifetime rolls as average,DRMZ,,,,,,,21,Deva,,,,,,,,,,,,,,,,,,,,,,,,,,
Winged Revival,Fly a number af squares equal to your speed when upright revival is triggered,DRMZ,,,,,,,21,Deva,,,,,,,,,,,,,,,,,,,,,,,,,,
Frost Step,Adjacent steps become difficult terrain when you use misty step,DRMZ,,,,,,,,,,Warlock,,,,,,,,,,,,,,,,,,,,,,,,
Improved Razor Storm,Replace Razor storm with improved razor storm power,MOTP,,,,,,,,Bladeling,,,,,,,,,,,,,,,,,,,,,,,,,,
Darren Gambler,"+2 to rerolls, grant CA if 2nd is less",DRMZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Firequench Aspirant,"Resist fire, master ritual Arcane Mark",DRMZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harglastan Catacomb Delver,"Move at full speed, -2 when squeezing",DRMZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Imdolphyn Dockhaunt,+2 to Acro balance and Ath climb checks,DRMZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ramekho Troubleshooter,"Give +3 when aiding, one extra language",DRMZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sambrese Rake,"+3 to Bluff to gain CA, shift 1 on success",DRMZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tarn-Trader Bodyguard,Gain temp HP when ally Is knocked unconscious,DRMZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vigilant Associate,"Gain CA against Intimidated enemy, +1 to att/dam rolls with short sword",DRMZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chill of the Grave,Dark Reaping deals cold and necrotic,DRMZ,,,,,,,,Revenant,,,,,,,,,,,,,,,,,,,,,,,,,,
Dark Feasting,Gain temp HP equal to necro damage from Dark Reaping,DRMZ,,,,,,,,Revenant,,,,,,,,,,,,,,,,,,,,,,,,,,
Death Curse,"When cursed creature takes necro from Dark Reaping, all other Cursed take Con mod necro",DRMZ,,13,,,,,,Revenant,,,,,,,,,,,,,,,,,,,,,,,,,,
Death's Blessing,"Do not need to make Endurance checks for starving, thirst, suffocation",DRMZ,,,,,,,,Revenant,,,,,,,,,,,,,,,,,,,,,,,,,,
Death's Quickening,"If at 0 HP, can make additional minor in addition to Unnatural Vitality",DRMZ,,,,,,,,Revenant,,,,,,,,,,,,,,,,,,,,,,,,,,
Divine Fate,Use C.Divinity to invoke Divine Fate,DRMZ,,,,,,,,Revenant,,,,,,,,,,,,,,,,,,,,,,,,,,
Draconic Reaping,Dark Reaping & Dragon Breath deal necrotic and breath type damage,DRMZ,,,,,,,,Revenant,,,,,,,,,,,,,,,,,,,,,,,,,,
Dragonborn Soul,Gain Dragon Breath racial power,DRMZ,,,,,,,,Revenant,,,,,,,,,,,,,,,,,,,,,,,,,,
Drow Soul,Gain Lolthtouched racial feature,DRMZ,,,,,,,,Revenant,,,,,,,,,,,,,,,,,,,,,,,,,,
Dwarf Soul,Gain Dwarven Resilience racial power,DRMZ,,,,,,,,Revenant,,,,,,,,,,,,,,,,,,,,,,,,,,
Eladrin Soul,Gain Fey Step racial power,DRMZ,,,,,,,,Revenant,,,,,,,,,,,,,,,,,,,,,,,,,,
Elf Soul,Gain Elven Accuracy racial power,DRMZ,,,,,,,,Revenant,,,,,,,,,,,,,,,,,,,,,,,,,,
Empowered Reaping,Bonus to Dark Reaping damage roll,DRMZ,,,,,,,,Revenant,,,,,,,,,,,,,,,,,,,,,,,,,,
Genasi Soul (Earth),Gain Earthshock racial power,DRMZ,,,,,,,,Revenant,,,,,,,,,,,,,,,,,,,,,,,,,,
Genasi Soul (Fire),Gain Firepulse racial power,DRMZ,,,,,,,,Revenant,,,,,,,,,,,,,,,,,,,,,,,,,,
Genasi Soul (Storm),Gain Promise of Storm racial power,DRMZ,,,,,,,,Revenant,,,,,,,,,,,,,,,,,,,,,,,,,,
Genasi Soul (Water),Gain Swiftcurrent racial power,DRMZ,,,,,,,,Revenant,,,,,,,,,,,,,,,,,,,,,,,,,,
Genasi Soul (Wind),Gain Windwalker racial power,DRMZ,,,,,,,,Revenant,,,,,,,,,,,,,,,,,,,,,,,,,,
Gnome Soul,Gain Fade Away racial power,DRMZ,,,,,,,,Revenant,,,,,,,,,,,,,,,,,,,,,,,,,,
Goliath Soul,Gain Stone's Endurance racial power,DRMZ,,,,,,,,Revenant,,,,,,,,,,,,,,,,,,,,,,,,,,
Half-Elf Soul,Gain Dilletante racial power,DRMZ,,,,,,,,Revenant,,,,,,,,,,,,,,,,,,,,,,,,,,
Half-Orc Soul,Gain Furious Assault racial power,DRMZ,,,,,,,,Revenant,,,,,,,,,,,,,,,,,,,,,,,,,,
Halfling Soul,Gain Second Chance racial power,DRMZ,,,,,,,,Revenant,,,,,,,,,,,,,,,,,,,,,,,,,,
Hellfire Soul,Dark Reaping deals fire and necrotic,DRMZ,,,,,,,,Revenant,,,,,,,,,,,,,,,,,,,,,,,,,,
Human Soul,"+1 to Fortitude, Reflex, Will",DRMZ,,,,,,,,Revenant,,,,,,,,,,,,,,,,,,,,,,,,,,
Life Thief,Can reroll Sneak Attack dice of 1 or 2 for Dark Reaping necro damage,DRMZ,,,,,,,,Revenant,,Rogue,,,,,,,,,,,,,,,,,,,,,,,,
Marked for Death,"When dealing Dark Reaping necro damage, all other marks take Con mod damage",DRMZ,,13,,,,,,Revenant,,,,,,,,,,,,,,,,,,,,,,,,,,
Minotaur Soul,Can make a free basic melee attack when falling to 0 HP,DRMZ,,,,,,,,Revenant,,,,,,,,,,,,,,,,,,,,,,,,,,
Past Life Flashbacks,Can take -10 to initiative to get +2 to first turn attack rolls,DRMZ,,,,,,,,Revenant,,,,,,,,,,,,,,,,,,,,,,,,,,
Reaper's Quarry,"When dealing Dark Reaping necro damage, each attack hitting target also deals Con mod",DRMZ,,,,,,,,Revenant,,Ranger,,,,,,,,,,,,,,,,,,,,,,,,
Reaper's Resistence,Gain resist necrotic,DRMZ,,,,,,,,Revenant,,,,,,,,,,,,,,,,,,,,,,,,,,
Remembered Knack,Gain training in skill from list of multiclass feat,DRMZ,,,,,,,,Revenant,,,,,,,,,,,,,,,,,,,,,,,,,,
Shadar-Kai Soul,Gain Shadow Jaunt racial power,DRMZ,,,,,,,,Revenant,,,,,,,,,,,,,,,,,,,,,,,,,,
Shifter Soul - Longtooth,Gain Longtooth Shifting racial power,DRMZ,,,,,,,,Revenant,,,,,,,,,,,,,,,,,,,,,,,,,,
Shifter Soul - Razorclaw,Gain Razortooth Shifting racial power,DRMZ,,,,,,,,Revenant,,,,,,,,,,,,,,,,,,,,,,,,,,
Spectral Reaping,Ignore insubstantial when dealing Dark Reaping necro damage,DRMZ,,,,,,,,Revenant,,,,,,,,,,,,,,,,,,,,,,,,,,
Tiefling Soul,Gain Infernal Wrath racial power,DRMZ,,,,,,,,Revenant,,,,,,,,,,,,,,,,,,,,,,,,,,
Warforged Soul,Gain Warforged Resolve racial power,DRMZ,,,,,,,,Revenant,,,,,,,,,,,,,,,,,,,,,,,,,,
Cull the Weak,Dark Reaping triggered when anyone within 10 is bloodied,DRMZ,,,,,,,11,Revenant,,,,,,,,,,,,,,,,,,,,,,,,,,
Death Scorned,"+1 to death saves, die only after 1 + Con mod (max 5) failed saves",DRMZ,,13,,,,,11,Revenant,,,,,,,,,,,,,,,,,,,,,,,,,,
Distant Reaping,Creatures within 20 squares can trigger Dark Reaping,DRMZ,,,,,,,11,Revenant,,,,,,,,,,,,,,,,,,,,,,,,,,
Double Reaping,One enemy adjacent to target of Dark Reaping necro damage also takes,DRMZ,,,,,,,11,Revenant,,,,,,,,,,,,,,,,,,,,,,,,,,
Fierce Vitality,Can remain conscious with Unnatural Vitality until two failed death saves,DRMZ,,,,,,,11,Revenant,,,,,,,,,,,,,,,,,,,,,,,,,,
Reaper's Strike,Gain +2 to next attack roll after using Dark Reaping,DRMZ,,,,,,,11,Revenant,,,,,,,,,,,,,,,,,,,,,,,,,,
Reaping Burst,Can deal Con mod extra necro damage to all targets of blast/burst after using Dark Reaping,DRMZ,,13,,,,,11,Revenant,,,,,,,,,,,,,,,,,,,,,,,,,,
Resilience of Death,"Immune to disease, resist poison",DRMZ,,,,,,,11,Revenant,,,,,,,,,,,,,,,,,,,,,,,,,,
Unnatural Stamina,"Increase healing surges by 1, resist 10 cold, necrotic, poison",DRMZ,,,,,,,11,Revenant,,,,,,,,,,,,,,,,,,,,,,,,,,
Eerie Resurgence,"+2 to death saves, can spend healing surge and stand on 20 or above",DRMZ,,,,,,,21,Revenant,,,,,,,,,,,,,,,,,,,,,,,,,,
Ghostly Vitality,"Can take move and & minor as well when Unnatural Vitality kicks in, insubstantial below 0 HP",DRMZ,,,,,,,21,Revenant,,,,,,,,,,,,,,,,,,,,,,,,,,
Reaping Renewal,Can use Dark Reaping 2/encounter,DRMZ,,,,,,,21,Revenant,,,,,,,,,,,,,,,,,,,,,,,,,,
Reaping Synergy,+2 to attack rolls for powers that deal at least one dmage type from Dark Reaping,DRMZ,,,,,,,21,Revenant,,,,,,,,,,,,,,,,,,,,,,,,,,
Alchemist,Make alchemical items of your level or lower,AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alchemist,Make alchemical items of your level or lower,EPG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aberrant Mark of Contagion,Dailies give -2 to saves v. ongoing damage,EPG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aberrant Mark of Madness,Dailies give -2 to Will,EPG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aberrant Mark of Terror,Dailies give -1 to attacks v. you,EPG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accurate Magic Weapon,Artificer powers on weapons/implements give +1 to next attack with that item,EPG,,,,,,,,,,Artificer,,,,,,,,,,,,,,,,,,,,,,,,
Aerenal Arcanist,Additional arcane utility at each level; stacks with spellbook,EPG,,,,,,,,Elf,Half-Elf,,,,,,,,,,,,,,,,,,,,,,,,,
Aerenal Half-Life,+1 necrotic damage; also +1 attack with AP,EPG,,,,,,,,Elf,Half-Elf,,,,,,,,,,,,,,,,,,,,,,,,,
