Power Name,Book,Class,Level,
Winter's Withering,HFK,Druid,9,
Baleful Polymorph,PHB2,Druid,15,
Briar Thicket,HFK,Druid,15,
Call Lightning Storm,PHB2,Druid,15,
Devouring Flies,PP,Druid,15,
Devouring Ice,PHB2,Druid,15,
Envenomed Steel,HFK,Druid,15,
Infesting Strike,DRMZ,Druid,15,
Primal Boar,DRMZ,Druid,15,
Primal Crocodile,DRMZ,Druid,15,
Revitalizing Pounce,PHB2,Druid,15,
Slashing Claws,PHB2,Druid,15,
Stonemetal,HFK,Druid,15,
Summon Lightning Drake,PP,Druid,15,
Summon Razorclaw Bat,PP,Druid,15,
Summon Savage Tiger,PP,Druid,15,
World-Warp,DRMZ,Druid,15,
Wrath of the Storm Chaser,PP,Druid,15,
Diligent Reaping,HFK,Druid,19,
Entangling Thorns,PHB2,Druid,19,
Form of the Night Owl,DRMZ,Druid,19,
Lunge and Vanish,PHB2,Druid,19,
Primal Bear,PHB2,Druid,19,
Primal Lion,DRMZ,Druid,19,
Pummeling Hail,PP,Druid,19,
Rapid Growth,HFK,Druid,19,
Seeds of Destruction,HFK,Druid,19,
Summon Guardian Briar,PP,Druid,19,
Summon Swamp Behemoth,PP,Druid,19,
Summon Thunder Bison,PP,Druid,19,
Swarming Bulwark,DRMZ,Druid,19,
Thorns of the Hinterlands,DRMZ,Druid,19,
Tremors,PP,Druid,19,
Winter Hailstorm,PHB2,Druid,19,
Avian Cloud,PP,Druid,25,
Brittle Frost Blade,HFK,Druid,25,
Creeping Doom,PP,Druid,25,
Ferocious Maul,PHB2,Druid,25,
Fey Lure,PHB2,Druid,25,
Primal Ape,PP,Druid,25,
Primal Panther,DRMZ,Druid,25,
Primal Storm,PHB2,Druid,25,
Primal Tiger,PHB2,Druid,25,
Rejuvenating Harvest,HFK,Druid,25,
Summon Elemental Warrior,DRMZ,Druid,25,
Summon Proud Mastodon,PP,Druid,25,
Summon Razorclaw Behemoth,PP,Druid,25,
Writhing Henge,DRMZ,Druid,25,
Blinding Blizzard,PHB2,Druid,29,
Corroding Weapon,HFK,Druid,29,
Earth Maw,PP,Druid,29,
Gaze of the Beast,PHB2,Druid,29,
Hunter's Heart,PP,Druid,29,
Lifeleech Thorns,PHB2,Druid,29,
Primal Archetype,PHB2,Druid,29,
Stone Weapon,HFK,Druid,29,
Summon Elder Pack Wolf,PP,Druid,29,
Summon Storm Behemoth,PP,Druid,29,
Whirling Firestorm,PP,Druid,29,
Bristling Defense,MP2,Fighter,1,
Brute Strike,PHB,Fighter,1,
Comeback Strike,PHB,Fighter,1,
Driving Attack,MP2,Fighter,1,
Flanking Assault,MP,Fighter,1,
Harrier's Ploy,MP,Fighter,1,
Knee Breaker,MP,Fighter,1,
Lasting Threat,MP,Fighter,1,
Master's Edge,DSCS,Fighter,1,
Press of Steel,MP2,Fighter,1,
Ruinous Assault,DRMZ,Fighter,1,
Savage Advance,DRMZ,Fighter,1,
Seize and Stab,MP2,Fighter,1,
Shove and Slap,DRMZ,Fighter,1,
Tempest Dance,MP,Fighter,1,
Unstoppable Advance,MP2,Fighter,1,
Villain's Menace,PHB,Fighter,1,
Agonizing Assault,MP,Fighter,5,
Bare-Knuckled Rebuke,MP2,Fighter,5,
Bedevilling Assault,MP,Fighter,5,
Brazen Assault,DRMZ,Fighter,5,
Brutal Advance,DRMZ,Fighter,5,
Cometfall Charge,MP,Fighter,5,
Crack the Shell,PHB,Fighter,5,
Crashing Assault,DSCS,Fighter,5,
Crushing Foot,MP2,Fighter,5,
Dancing Defense,DRMZ,Fighter,5,
Dervish's Challenge,MP2,Fighter,5,
Dizzying Blow,PHB,Fighter,5,
Hounding Longarm,MP,Fighter,5,
Nimble Bladestorm,DRMZ,Fighter,5,
Pinning Smash,MP,Fighter,5,
Rain of Steel,PHB,Fighter,5,
Relentless Pressure,MP2,Fighter,5,
Spinning Razor Strike,DRMZ,Fighter,5,
Subtle Cut,MP,Fighter,5,
Unexpected Shield Bash,DRMZ,Fighter,5,
Bloodspike Sweep,DRMZ,Fighter,9,
Bone Crusher,MP2,Fighter,9,
Fighter's Recovery,MP,Fighter,9,
Hobbling Cut,MP2,Fighter,9,
Jackal Strike,MP,Fighter,9,
Murderous Assault,DRMZ,Fighter,9,
One Against Many,MP2,Fighter,9,
Pestering Wound,MP,Fighter,9,
Piquing Dare,MP,Fighter,9,
Punishing Storm,DRMZ,Fighter,9,
Shield and a Hard Place,DRMZ,Fighter,9,
Shield Ripper,DSCS,Fighter,9,
Shift the Battlefield,PHB,Fighter,9,
Staggering Blow,MP2,Fighter,9,
Stop Thrust,MP,Fighter,9,
Terrifying Impact,MP,Fighter,9,
Thicket of Blades,PHB,Fighter,9,
Unstoppable Assault,MP2,Fighter,9,
Victorious Surge,PHB,Fighter,9,
Boulder Charge,MP,Fighter,15,
Carve Initials,MP,Fighter,15,
Defender's Gambit,MP,Fighter,15,
Dragon's Fangs,PHB,Fighter,15,
Dust Storm Assault,DSCS,Fighter,15,
Eye Gouge,MP2,Fighter,15,
Gale of Steel,MP,Fighter,15,
Hurricane Strike,DRMZ,Fighter,15,
Masterful Parry,DRMZ,Fighter,15,
No Room to Breathe,MP2,Fighter,15,
Quicksilver Stance,MP,Fighter,15,
Relentless Headlock,MP2,Fighter,15,
Serpent Dance Strike,PHB,Fighter,15,
Slayer's Lunge,MP,Fighter,15,
Sudden Opportunity,MP2,Fighter,15,
Unerring Blow,DRMZ,Fighter,15,
Unstoppable Force,DRMZ,Fighter,15,
Unyielding Avalanche,PHB,Fighter,15,
Adaptable Maneuver,DRMZ,Fighter,19,
Battlefield Challenge,MP2,Fighter,19,
Bloodletter Stance,DSCS,Fighter,19,
Controlling Thrust,MP,Fighter,19,
Devastation's Wake,PHB,Fighter,19,
Iron Tornado,MP2,Fighter,19,
Mighty Shield Slam,MP2,Fighter,19,
Persistence of Blades,MP2,Fighter,19,
Protective Sweep,MP,Fighter,19,
Pugilist's Resolve,MP2,Fighter,19,
Reaving Strike,PHB,Fighter,19,
Relentless Assailant,MP,Fighter,19,
Smash and Grab,MP,Fighter,19,
Strike of the Watchful Guard,PHB,Fighter,19,
Toppling Finish,DRMZ,Fighter,19,
Ballista Charge,MP,Fighter,25,
Blind with Rage,DSCS,Fighter,25,
Blinding Provocation,MP2,Fighter,25,
Deft Counterattack,MP2,Fighter,25,
Earthquake Smash,MP,Fighter,25,
Fighter's Resurgence,MP,Fighter,25,
Goad of Blood,DRMZ,Fighter,25,
Hammering Pommel,MP2,Fighter,25,
Hold at Bay,MP2,Fighter,25,
Impaling Knockdown,MP2,Fighter,25,
Marking Barrage,MP,Fighter,25,
Pinpoint Cyclone,DRMZ,Fighter,25,
Reaper's Stance,PHB,Fighter,25,
Reign of Terror,PHB,Fighter,25,
Ruthless Slaughter,MP,Fighter,25,
Storm's Fury Strike,DRMZ,Fighter,25,
Supremacy of Steel,PHB,Fighter,25,
Time to Die,DRMZ,Fighter,25,
Transfixing Provocation,MP,Fighter,25,
Avalance of Steel,MP,Fighter,29,
Blade Storm,MP,Fighter,29,
Cascading Catapult Slam,MP,Fighter,29,
Catastophic Flurry,MP,Fighter,29,
Debilitating Bash,MP2,Fighter,29,
Enemy Undone,DRMZ,Fighter,29,
Exhilarating Assault,MP2,Fighter,29,
Final Challenge,DSCS,Fighter,29,
Force the Battle,PHB,Fighter,29,
Image of Death,DRMZ,Fighter,29,
Mortal Wound,MP,Fighter,29,
Neck Snap,MP2,Fighter,29,
No Mercy,PHB,Fighter,29,
Savage Butchery,MP2,Fighter,29,
Storm of Destruction,PHB,Fighter,29,
Sudden Onslaught,MP2,Fighter,29,
Titan's Hammer,MP,Fighter,29,
Angelic Echelon,PHB2,Invoker,1,
Angelic Protector,DRMZ,Invoker,1,
Binding Invocation of Chains,PHB2,Invoker,1,
Brilliant Beacon,DRMZ,Invoker,1,
Crown of Retaliation,DP,Invoker,1,
Execration,DP,Invoker,1,
Invocation of Ice and Fire,DP,Invoker,1,
Purging Flame,PHB2,Invoker,1,
Silent Malediction,DP,Invoker,1,
Storm Call,DP,Invoker,1,
Summon Angel of Fire,PHB2,Invoker,1,
Blade of Vengeance,PHB2,Invoker,5,
Dawn's Blazing Fingers,DRMZ,Invoker,5,
Deluge of Blood,DP,Invoker,5,
Grasping Chains of the Justiciar,PHB2,Invoker,5,
Howl at the Moon,DRMZ,Invoker,5,
Icon of Terror,PHB2,Invoker,5,
Lamentation of the Wicked,DP,Invoker,5,
Malediction of Blindness,DP,Invoker,5,
Rolling Thunderstrike,DRMZ,Invoker,5,
Searing Orb,PHB2,Invoker,5,
Summon Celestial Lion,DRMZ,Invoker,5,
Sun Shard,DP,Invoker,5,
Trumpeting the Star's Fall,DP,Invoker,5,
Baleful Admonishment,DP,Invoker,9,
Bestowed Lunacy,DRMZ,Invoker,9,
Brand the Heretic,DRMZ,Invoker,9,
Cast the First Stone,DRMZ,Invoker,9,
Cerulean Flames,PHB2,Invoker,9,
Fourfold Invocation of Doom,PHB2,Invoker,9,
Hall of Thunderous Battle,DP,Invoker,9,
Herald the Storm Unleashed,DP,Invoker,9,
Malediction of Rigidity,DP,Invoker,9,
Summon Blade Angel,PHB2,Invoker,9,
Twist of Fate,DP,Invoker,9,
Visions of Paradise,PHB2,Invoker,9,
Deific Imprecation,DP,Invoker,15,
Dire Banishment,DP,Invoker,15,
Eye of Dawn,DRMZ,Invoker,15,
God Hammer,PHB2,Invoker,15,
Mark of Anathema,PHB2,Invoker,15,
Shadowdark Invocation,DP,Invoker,15,
Storm of Punishment,DP,Invoker,15,
Three Beacons of Twilight,PHB2,Invoker,15,
Vile Plague,DRMZ,Invoker,15,
Wall of Blades,PHB2,Invoker,15,
Astral Tempest,PHB2,Invoker,19,
Forced Submission,DP,Invoker,19,
Maledition of Gartak,PHB2,Invoker,19,
Mark of Forbearance,DP,Invoker,19,
Summon Angel of Light,PHB2,Invoker,19,
Thunderous Shout,DP,Invoker,19,
Tomb of Magrym,PHB2,Invoker,19,
Wrath of the Fallen God,DP,Invoker,19,
Anthem of the First Dawn,PHB2,Invoker,25,
Despised of the Gods,DP,Invoker,25,
Eye of the Sun,DP,Invoker,25,
Invoke the Fallen,PHB2,Invoker,25,
Penance of Amoth,DRMZ,Invoker,25,
Racking Invocation of Pain,PHB2,Invoker,25,
Rain of Colorless Fire,PHB2,Invoker,25,
Shackles of the Chained God,DP,Invoker,25,
Trumpet the Eight Dooms,DP,Invoker,25,
Apocalypse from the Sky,DP,Invoker,29,
Fires of the Silver Gates,PHB2,Invoker,29,
Harm,DRMZ,Invoker,29,
Invoke the Absolute Dark,PHB2,Invoker,29,
Invoked Devastation,DP,Invoker,29,
Malediction of the Eternal Pyre,DP,Invoker,29,
Storm of Creation,DP,Invoker,29,
Summon Angel of Victory,PHB2,Invoker,29,
Word of the Gods,PHB2,Invoker,29,
Cacophonous Shout,PsP,Monk,1,
Harmonious Thunder,PHB3,Monk,1,
Lashing Rain,PsP,Monk,1,
Masterful Spiral,PHB3,Monk,1,
Steel Avalanche,PsP,Monk,1,
Stunning Palm,PsP,Monk,1,
Spinning Leopard Maneuver,PHB3,Monk,1,
Whirling Mantis Step,PHB3,Monk,1,
Deadly Cobra Strike,PHB3,Monk,5,
Disrupting Fist,PsP,Monk,5,
Freeze the Life Blood,PsP,Monk,5,
One Hundred Leaves,PHB3,Monk,5,
Resonating Fist,PsP,Monk,5,
Steel Warrior Technique,PHB3,Monk,5,
Supreme Avalanche Combination,PHB3,Monk,5,
Thunderbolt Surge,PsP,Monk,5,
Crane Dance,PHB3,Monk,9,
Finishing Move,PsP,Monk,9,
Flying Tiger Assault,PsP,Monk,9,
Immolating Fist,PsP,Monk,9,
Relentless Hound Technique,PHB3,Monk,9,
Strength to Weakness,PHB3,Monk,9,
Twilight Touch,PHB3,Monk,9,
Uncommon Clarity,PsP,Monk,9,
Booming Shout,PsP,Monk,15,
Dancer on the Sea of Battle,PHB3,Monk,15,
Falcon's Rent,PsP,Monk,15,
Mithral Tornado,PsP,Monk,15,
Quickening Assault,PsP,Monk,15,
Ring the Golden Bell,PHB3,Monk,15,
Still Waters Strike,PsP,Monk,15,
Way of the Autumn Wind,PHB3,Monk,15,
Angelic Legion Technique,PHB3,Monk,19,
Crushing Reprisal,PsP,Monk,19,
Duel in the Heavens,PHB3,Monk,19,
Hare's Panicked Retreat,PsP,Monk,19,
Inevitable Fist,PHB3,Monk,19,
Loud Fist Strike,PsP,Monk,19,
Rising Dragon Fire,PHB3,Monk,19,
Twin Fountain Strike,PsP,Monk,19,
Dragon Fist Strike,PsP,Monk,25,
Fate's Judgment,PsP,Monk,25,
Four Hidden Sounds,PsP,Monk,25,
Glacier's Mantle,PsP,Monk,25,
Phoenix Dance,PHB3,Monk,25,
Strike of Perfect Clarity,PsP,Monk,25,
Strike of the Vulnerable Turtle,PHB3,Monk,25,
Wandering Comet Strike,PHB3,Monk,25,
Watchful Hydra Stance,PHB3,Monk,25,
Adamantine Hurricane,PsP,Monk,29,
Falling Star Strike,PsP,Monk,29,
Mist on the Storm,PHB3,Monk,29,
Quivering Palm,PHB3,Monk,29,
Stunning Fist,PHB3,Monk,29,
Titan's Mighty Grasp,PsP,Monk,29,
Blood of the Mighty,DP,Paladin,1,
Blazing Brand,DP,Paladin,1,
Driving Blades,DRMZ,Paladin,1,
Frost of Letherna,DRMZ,Paladin,1,
Glorious Charge,DP,Paladin,1,
Majestic Halo,DP,Paladin,1,
On Pain of Death,PHB,Paladin,1,
Paladin's Judgment,PHB,Paladin,1,
Radiant Delirium,PHB,Paladin,1,
Arc of Vengeance,DP,Paladin,5,
Chilling Smite,HFK,Paladin,5,
Fiery Smite,HFK,Paladin,5,
Hallowed Circle,PHB,Paladin,5,
Martyr's Retribution,PHB,Paladin,5,
Name of Might,DP,Paladin,5,
Prayer of Two Paths,DP,Paladin,5,
Shadow's Apathy,DRMZ,Paladin,5,
Sign of Vulnerability,PHB,Paladin,5,
Unrelenting Punishment,DP,Paladin,5,
Unyielding Faith,DP,Paladin,5,
Crown of Glory,PHB,Paladin,9,
Final Rebuke,DP,Paladin,9,
Holy Outrage,DRMZ,Paladin,9,
Knightly Intercession,DP,Paladin,9,
One Stands Alone,PHB,Paladin,9,
Radiant Pulse,PHB,Paladin,9,
Ray of Reprisal,DP,Paladin,9,
Reaper's Harvest,DRMZ,Paladin,9,
Shackles of Justice,DP,Paladin,9,
Shadow Blades of Shared Doom,DRMZ,Paladin,9,
Shout of Condemnation,DP,Paladin,9,
Thundering Smite,HFK,Paladin,9,
Whirling Radiance,HFK,Paladin,9,
Avatar of Righteous Nobility,HFK,Paladin,15,
Avatar of Undaunted Bravery,HFK,Paladin,15,
Bloodied Retribution,PHB,Paladin,15,
Break the Wall,PHB,Paladin,15,
Darkness Unleashed,DRMZ,Paladin,15,
Divine Vengeance,DP,Paladin,15,
Flames of Devotion,DP,Paladin,15,
Knight's Defiance,DP,Paladin,15,
Pyre of Judgment,DP,Paladin,15,
Tower of Faith,DP,Paladin,15,
True Nemesis,PHB,Paladin,15,
Wayfinder's Charge,DRMZ,Paladin,15,
Corona of Blinding Radiance,PHB,Paladin,19,
Crusader's Boon,PHB,Paladin,19,
Deathguide's Sanction,DRMZ,Paladin,19,
Name of Potency,DP,Paladin,19,
Overwhelming Fervor,DP,Paladin,19,
Righteous Inferno,PHB,Paladin,19,
Righteous Resolve,DP,Paladin,19,
Smite of the Flame Cage,HFK,Paladin,19,
Smite of Winter's Grip,HFK,Paladin,19,
Smite the Soul,DP,Paladin,19,
Visage of Sorrow,DRMZ,Paladin,19,
Wheel of Fate,DP,Paladin,19,
Discipline the Unruly,DP,Paladin,25,
Exalted Retribution,PHB,Paladin,25,
Harsh Verdict,DP,Paladin,25,
Mark of Weakness,DP,Paladin,25,
Radiant Storm,HFK,Paladin,25,
Roaring Thunder,HFK,Paladin,25,
Spurn the Unworthy,DP,Paladin,25,
To the Nine Hells with You,PHB,Paladin,25,
World in Winter,DRMZ,Paladin,25,
Avatar of Virtue,HFK,Paladin,29,
Day of Reckoning,DP,Paladin,29,
Devastating Surge,DP,Paladin,29,
Even Hand of Justice,PHB,Paladin,29,
Name of Awe,DP,Paladin,29,
Powerful Faith,PHB,Paladin,29,
Prostration,DP,Paladin,29,
Sanctioned Slaughter,DP,Paladin,29,
Sorrowsworn Smite,DRMZ,Paladin,29,
Hand of Caution,PHB3,Psion,1,
Living Missile,PsP,Psion,1,
Mental Trauma,PHB3,Psion,1,
Psychic Dissolution,PsP,Psion,1,
Ravening Thought,PHB3,Psion,1,
Summon Thought Servant,PsP,Psion,1,
Telekinetic Anchor,PHB3,Psion,1,
Telepathic Projection,PsP,Psion,1,
Crisis of Identity,PHB3,Psion,5,
Force Spheres,PsP,Psion,5,
Hypnotic Pulse,PHB3,Psion,5,
Inflicted Mindscape,PsP,Psion,5,
Shredding Ribbons,PHB3,Psion,5,
Summon Ebony Stinger,PsP,Psion,5,
Telekinetic Maul,PHB3,Psion,5,
Thunderous Exit,PsP,Psion,5,
Clear the Slate,PHB3,Psion,9,
Echoing Boom,PsP,Psion,9,
Inflict Pain,PsP,Psion,9,
Malicious Lightning,PsP,Psion,9,
Mind Blast,PHB3,Psion,9,
Mind Cannon,PHB3,Psion,9,
Sensory Onslaught,PHB3,Psion,9,
Summon Phantasmal Killer,PsP,Psion,9,
Crushing Bludgeon,PHB3,Psion,15,
Dominate,PHB3,Psion,15,
Forced Serenity,PsP,Psion,15,
Imprison,PHB3,Psion,15,
Living Barrage,PsP,Psion,15,
Psychofeedback,PHB3,Psion,15,
Summon Thought Warrior,PsP,Psion,15,
Thought of Unmaking,PsP,Psion,15,
Cerebral Phantasm,PsP,Psion,19,
Crisis of Breath,PHB3,Psion,19,
Flowing Terrain,PsP,Psion,19,
Force Cube,PsP,Psion,19,
Psychic Crush,PHB3,Psion,19,
Psychic Leech,PHB3,Psion,19,
Shred Reality,PHB3,Psion,19,
Summon Mind Weirds,PsP,Psion,19,
Far Realm's Embrace,PsP,Psion,25,
Forest of Exclusion,PHB3,Psion,25,
Mind Switch,PHB3,Psion,25,
Recall Agony,PsP,Psion,25,
Summon Emerald Terror,PsP,Psion,25,
Telekinetic Bombard,PHB3,Psion,25,
Thought Hammer,PsP,Psion,25,
Thrall,PHB3,Psion,25,
Clasp of the Psion,PHB3,Psion,29,
Consuming Psychosis,PsP,Psion,29,
Hurl Into Heaven,PsP,Psion,29,
Microcosm,PHB3,Psion,29,
Ravenous Singularity,PsP,Psion,29,
Soul Break,PHB3,Psion,29,
Summon Thought Champion,PsP,Psion,29,
Tear the World,PHB3,Psion,29,
Boar Assault,MP,Ranger,1,
Commanding Confrontation,MP2,Ranger,1,
Distracting Team,MP2,Ranger,1,
Driving the Quarry,MP,Ranger,1,
Guardian Arrow,DRMZ,Ranger,1,
Hunter's Bear Trap,PHB,Ranger,1,
Hunt's End,MP,Ranger,1,
Isolation Strike,MP2,Ranger,1,
Jaws of the Wolf,PHB,Ranger,1,
Off-Hand Parry,MP,Ranger,1,
Partnered Savaging,MP,Ranger,1,
Scything Blow,MP2,Ranger,1,
Seismic Strike,DRMZ,Ranger,1,
Skirmishing Stance,MP2,Ranger,1,
Split the Tree,PHB,Ranger,1,
Sudden Strike,PHB,Ranger,1,
Sure Shot,MP2,Ranger,1,
Warning Shot,DRMZ,Ranger,1,
Adaptive Assault,MP,Ranger,5,
Beastly Protector,DRMZ,Ranger,5,
Bloodied Frenzy,MP,Ranger,5,
Bloody Throw,MP2,Ranger,5,
Close-Combat Shot,MP,Ranger,5,
Coordinated Charge,MP2,Ranger,5,
Excruciating Shot,PHB,Ranger,5,
Flying Steel,DRMZ,Ranger,5,
Frenzied Skirmish,PHB,Ranger,5,
Hunter's Confrontation,MP2,Ranger,5,
Lacerating Maul,MP,Ranger,5,
Predatory Charge,DRMZ,Ranger,5,
Snarling Wolf Stance,MP2,Ranger,5,
Spitting Cobra Stance,MP,Ranger,5,
Splintering Shot,PHB,Ranger,5,
Tag the Prey,MP,Ranger,5,
Tracing Shot,MP2,Ranger,5,
Two-Wolf Pounce,PHB,Ranger,5,
Wounded Beast,MP2,Ranger,5,
Attacks on the Run,PHB,Ranger,9,
Bounding Beast,MP2,Ranger,9,
Caging Strike,MP,Ranger,9,
Close Quarters Shot,PHB,Ranger,9,
Dire Bear Maul,DRMZ,Ranger,9,
Furious Fling,MP2,Ranger,9,
Invigorating Confrontation,MP2,Ranger,9,
Jarring Salvo,MP,Ranger,9,
Marked for Death,MP2,Ranger,9,
Menacing Cry,MP,Ranger,9,
Murderous Aim,DRMZ,Ranger,9,
Passing Ambush,MP,Ranger,9,
Ranger's Recovery,MP,Ranger,9,
Shepherding Slice,DRMZ,Ranger,9,
Shocking Assault,MP2,Ranger,9,
Spray of Arrows,PHB,Ranger,9,
Springback Shot,MP2,Ranger,9,
Swirling Leaves of Steel,PHB,Ranger,9,
Thousand Arrow Awareness,DRMZ,Ranger,9,
Aligned Strike,DRMZ,Ranger,15,
Armor-Piercing Shot,MP,Ranger,15,
Arterial Strike,MP,Ranger,15,
Barreling the Fish,MP2,Ranger,15,
Blade Cascade,PHB,Ranger,15,
Bleeding Wounds,PHB,Ranger,15,
Blood Frenzy,MP,Ranger,15,
Confounding Arrows,PHB,Ranger,15,
Deadly Nightshade,MP2,Ranger,15,
Fearsome Beast,MP2,Ranger,15,
Overwhelming Confrontation,MP2,Ranger,15,
Questing Blades,DRMZ,Ranger,15,
Reactive Shot,MP2,Ranger,15,
Scent of Fear,MP,Ranger,15,
Steeling Flurry,MP,Ranger,15,
Stunning Steel,PHB,Ranger,15,
Tracking Shot,MP,Ranger,15,
Tracking the Target,DRMZ,Ranger,15,
Trick Shot,MP2,Ranger,15,
Barbed Arrows,MP2,Ranger,19,
Claim the Prize,MP,Ranger,19,
Crippling Spiral,MP2,Ranger,19,
Cruel Cage of Steel,PHB,Ranger,19,
Dead Stop,MP,Ranger,19,
Driving Offensive,MP,Ranger,19,
Ferocious Roar,MP,Ranger,19,
Frantic Assault,MP2,Ranger,19,
Ginawing Assault,MP,Ranger,19,
Great Ram Arrow,PHB,Ranger,19,
Ringing the Bell,MP2,Ranger,19,
Surprising Arrow Stance,DRMZ,Ranger,19,
Threefold Assault,MP,Ranger,19,
Two-in-One Shot,PHB,Ranger,19,
Unrestrained Aggression,MP2,Ranger,19,
Wounding Whirlwind,PHB,Ranger,19,
Aid the Beast,MP2,Ranger,25,
Ambusher's Reaping,MP,Ranger,25,
Bloodstorm,PHB,Ranger,25,
Circling Cascade,MP2,Ranger,25,
Deadly Sidestep,MP2,Ranger,25,
Fearsome Strike,DRMZ,Ranger,25,
Incapacitating Confrontation,MP2,Ranger,25,
Pinning Arrow Rain,DRMZ,Ranger,25,
Primal Rampage,MP,Ranger,25,
Pulverizing Shot,MP2,Ranger,25,
Pursuit of the Wild Hunt,MP,Ranger,25,
Ranger's Resurgence,MP,Ranger,25,
Thunderfury Charge,DRMZ,Ranger,25,
Tiger's Reflex,PHB,Ranger,25,
True-Eye Shot,MP,Ranger,25,
Unstoppable Arrows,PHB,Ranger,25,
Vengeful Fangs Stance,DRMZ,Ranger,25,
Brutal Tempest,MP2,Ranger,29,
Culling Out,MP2,Ranger,29,
Five-Missile Dance,MP,Ranger,29,
Follow-up Blow,PHB,Ranger,29,
Gauntlet of Steel,MP2,Ranger,29,
Huntmaster's Bloodbath,MP,Ranger,29,
Huntmaster's Mauling,MP,Ranger,29,
Imprisoning Arrow,DRMZ,Ranger,29,
Suffering's End,MP,Ranger,29,
Three-in-One Shot,PHB,Ranger,29,
True Arrow,MP2,Ranger,29,
Twin-Strike Tornado,MP,Ranger,29,
Ultimate Confrontation,MP2,Ranger,29,
Weave a Web of Steel,PHB,Ranger,29,
Blinding Barrage,PHB,Rogue,1,
Checking Jab,MP,Rogue,1,
Confounding Attack,MP,Rogue,1,
Duelist's Prowess,DRMZ,Rogue,1,
Easy Target,PHB,Rogue,1,
Handspring Assault,MP,Rogue,1,
Hounding Assault,MP2,Rogue,1,
Pommel Smash,MP,Rogue,1,
Precise Incision,MP,Rogue,1,
Press the Advantage,MP,Rogue,1,
Scattering Shot,MP2,Rogue,1,
Spinning Blade Leap,MP2,Rogue,1,
Trick Strike,PHB,Rogue,1,
Twilight Menace,MP2,Rogue,1,
Bat Aside,MP2,Rogue,5,
Bloodbath Attack,MP2,Rogue,5,
Clever Riposte,PHB,Rogue,5,
Compel the Craven,MP,Rogue,5,
Deep Cut,PHB,Rogue,5,
Downward Spiral,MP,Rogue,5,
Driving Assault,MP,Rogue,5,
Duelist's Demand,DRMZ,Rogue,5,
Flashy Riposte,MP,Rogue,5,
Go For the Eyes,MP2,Rogue,5,
Hobble,MP2,Rogue,5,
Lurker's Assault,MP2,Rogue,5,
Mocking Assault,MP2,Rogue,5,
Staggering Assault,MP,Rogue,5,
Surefooted Retort,MP,Rogue,5,
Walking Wounded,PHB,Rogue,5,
Aerial Assault,MP2,Rogue,9,
Agonizing Shot,MP,Rogue,9,
Bewildering Assault,MP2,Rogue,9,
Burst Fire,MP,Rogue,9,
Crimson Edge,PHB,Rogue,9,
Deadly Positioning,PHB,Rogue,9,
Into Harm's Way,MP,Rogue,9,
Knockout,PHB,Rogue,9,
Not It,MP,Rogue,9,
Not Worth My Time,MP,Rogue,9,
One Hundred Knives,MP2,Rogue,9,
Profit from Weakness,MP2,Rogue,9,
Raining Death,MP2,Rogue,9,
Rogue's Recovery,MP,Rogue,9,
Swift Strike,MP,Rogue,9,
Vexing Escape,MP,Rogue,9,
Vexing Sting,MP,Rogue,9,
Arterial Slice,MP2,Rogue,15,
Bloody Path,PHB,Rogue,15,
Bold Feint,MP,Rogue,15,
Courage Breaker,MP2,Rogue,15,
Finish It,MP,Rogue,15,
Garrote Grip,PHB,Rogue,15,
Lurker's Threat,MP2,Rogue,15,
Mind-Boggling Onslaught,MP,Rogue,15,
Ripple Effect,MP,Rogue,15,
Slaying Strike,PHB,Rogue,15,
Vicious Cooperation,MP,Rogue,15,
Vicious Slash,MP2,Rogue,15,
Whirlwind of Blades,MP2,Rogue,15,
Wounding Strike,MP,Rogue,15,
Blood Squall,MP,Rogue,19,
Bloodbath Attack,MP,Rogue,19,
Blurring Assault,MP2,Rogue,19,
Daunting Barrage,MP,Rogue,19,
Demoralizing Shot,MP2,Rogue,19,
Feinting Flurry,PHB,Rogue,19,
Flying Foe,PHB,Rogue,19,
Hilt Slam,MP2,Rogue,19,
Maiming Strike,MP2,Rogue,19,
Marked Beating,MP,Rogue,19,
Merciless Cut,MP2,Rogue,19,
Snake's Retreat,PHB,Rogue,19,
Stolen Vitality,MP,Rogue,19,
Strong-Arm Loyalty,MP,Rogue,19,
Uncanny Ricochet,MP,Rogue,19,
Acrobatic Assault,MP,Rogue,25,
Astounding Assault,MP2,Rogue,25,
Biting Assault,PHB,Rogue,25,
Bounding Assault,MP2,Rogue,25,
Cruel Pursuit,MP,Rogue,25,
Ghost on the Wind,PHB,Rogue,25,
Gory Slash,MP,Rogue,25,
Hamstring,PHB,Rogue,25,
Magnetic Shot,MP,Rogue,25,
Perfect Shot,MP2,Rogue,25,
Persistent Menace,MP2,Rogue,25,
Reaching Blade,DRMZ,Rogue,25,
Ricocheting Strike,MP2,Rogue,25,
Rogue's Resurgence,MP,Rogue,25,
Shocking Execution,MP,Rogue,25,
Visceral Strike,MP,Rogue,25,
A Murder of One,MP,Rogue,29,
Assassin's Point,PHB,Rogue,29,
Cagey Killer,MP,Rogue,29,
Deathweaving Strike,MP,Rogue,29,
Immobilizing Strike,PHB,Rogue,29,
Killing Storm,MP2,Rogue,29,
Kiss of Death,MP2,Rogue,29,
Moving Target,PHB,Rogue,29,
