Implement,Level,Book,Bonus,Type,Superior Feat,SI Prop 1,SI Prop 2,Energized Type,Acrobatics,Arcana,Athletics,Bluff,Diplomacy,Dungeoneering,Endurance,Heal,History,Insight,Intimidate,Nature,Perception,Religion,Stealth,Streetwise,Thievery,Speed,Initiative,Surges,Surge Val,Fortitude,Reflex,Will,AC,Strength,Dexterity,Wisdom,Ranged,Melee
Orb of Karmic Resonance,13,AV,3,Orb,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Orb of Life Conversion,5,PHB3,1,Orb,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Orb of Mental Constitution,3,PHB3,1,Orb,TRUE,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,
Orb of Mental Dominion,6,AV,2,Orb,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Orb of Mighty Retort,15,AV,3,Orb,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Orb of Nimble Thoughts,3,PHB3,1,Orb,TRUE,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,
Orb of Petrification,20,AV2,4,Orb,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Orb of Psionic Recovery,4,PHB3,1,Orb,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Orb of Psychic Conversion,3,PHB3,1,Orb,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Orb of Repeated Imposition,13,AV2,3,Orb,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Orb of Resilient Tenacity,2,AV2,1,Orb,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Orb of Revenant Magic,17,AV,4,Orb,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Orb of Reversed Polarities,9,PHB,2,Orb,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Orb of Sanguinary Repercussions,5,PHB,1,Orb,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Orb of Spatial Contortion,7,AV,2,Orb,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Orb of Stored Energy,5,PsP,1,Orb,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Orb of Sudden Insanity,12,AV,3,Orb,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Orb of Supplementary Force,3,AV2,1,Orb,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Orb of Sweet Sanctuary,3,AV,1,Orb,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Orb of Temporal Dissonance,13,DRMZ,3,Orb,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Orb of the Canny Liar,4,PHB3,1,Orb,TRUE,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Orb of the Deft Negotiator,4,PHB3,1,Orb,TRUE,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
Orb of the Furtive Mind,4,PHB3,1,Orb,TRUE,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
Orb of the Menacing Impulse,4,PHB3,1,Orb,TRUE,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
Orb of the Peerless Artist,4,PHB3,1,Orb,TRUE,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
Orb of the Planes,23,MOTP,5,Orb,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Orb of the Sympathetic Eye,4,PHB3,1,Orb,TRUE,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
Orb of the Usurper,23,AV,5,Orb,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Orb of Translocation Interference,13,MOTP,3,Orb,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Orb of Ultimate Imposition,3,AV,1,Orb,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Orb of Unfailing Concentration,5,PHB3,1,Orb,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Orb of Unintended Solitude,18,AV,4,Orb,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Orb of Unlucky Exchanges,3,AV,1,Orb,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Orb of Unstoppable Decline,4,PHB3,1,Orb,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Orb of Visionary Protection,12,AV2,3,Orb,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Orb of Weakness Intensified,15,AV,3,Orb,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pact Blade,3,PHB,1,Wand,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Panther Totem,9,AV2,2,Totem,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pelor's Scepter,29,AV2,6,Rod,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Petrified Orb,1,PHB3,1,Orb,#REF!,Energized,Forceful,Force,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Precise Wand of Color Spray,10,AV,2,Wand,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Precise Wand of Runic Resistance,13,EPG,3,Wand,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Psalter of Aureon,3,EPG,1,Symbol,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pure Spirit Totem,5,PHB2,1,Totem,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Queen's Staff,15,AV2,3,Staff,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quickbeam Staff,1,PHB3,1,Staff,#REF!,Energized,Forceful,Thunder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quickcurse Rod,2,AV,1,Rod,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quickening Staff,14,AV,3,Staff,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quick Strike Ki Focus,4,PHB3,1,Focus,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rain of Hammers Ki Focus,3,DRMZ,1,Focus,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Razor Talon Totem,14,AV2,3,Staff,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Red Orb of Dragonkind,14,DRMZ,3,Orb,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reliable Staff,13,AV,3,Staff,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Resonating Dagger,1,DRMZ,1,Weapon,#REF!,Energized,Forceful,Thunder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhythmic War Drums,12,DRMZ,3,Instrument,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Roaring Bear Totem,2,AV2,1,Totem,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rod of Avernus,3,DRMZ,1,Rod,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rod of Baleful Geas,11,DRMZ,3,Rod,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rod of Blasting,3,AV,1,Rod,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rod of Blinding Awe,7,PHB2,2,Rod,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rod of Brilliant Wrath,14,PHB2,3,Rod,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rod of Brutality,9,AV,2,Rod,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rod of Burgeoning Memory,2,AV2,1,Rod,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rod of Corruption,3,PHB,1,Rod,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rod of Cursed Honor,2,AV,1,Rod,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rod of Dark Reward,2,PHB,1,Rod,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rod of Deadly Casting,2,DRMZ,1,Rod,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rod of Deadly Casting,2,EPG,1,Rod,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rod of Death's Grasp,23,PHB,5,Rod,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rod of Devilry,10,AV2,2,Rod,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rod of Dispater,28,MOTP,6,Rod,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rod of Divine Retribution,9,DRMZ,2,Rod,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rod of Divinity,3,AV2,1,Rod,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rod of Draconic Fury,4,DRMZ,1,Rod,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rod of Dread,7,PHRT,2,Rod,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rod of Dual Invocation,30,PHB2,6,Rod,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rod of Elemental Shielding,2,EPG,1,Rod,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rod of Feythorns,7,AV,2,Rod,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rod of First Blood,8,PHB,2,Rod,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rod of Flaying,24,DRMZ,5,Rod,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rod of Forceful Invocation,4,PHB2,1,Rod,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rod of Harvest,14,PHB,3,Rod,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rod of Hope Triumphant,2,PHB2,1,Rod,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rod of Malign Conveyance,3,AV,1,Rod,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rod of Mindbending,10,AV,2,Rod,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rod of Obliterating Wrath,9,AV2,2,Rod,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rod of Office,2,DSCS,1,Rod,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rod of Reaving,5,PHB,1,Rod,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rod of Repair,2,EPG,1,Rod,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rod of Resurgent Valor,8,PHB2,2,Rod,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rod of Retributive Justice,20,PHB2,4,Rod,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rod of Runic Resistance,2,DRMZ,1,Rod,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rod of Scathing Scorn,4,DSCS,1,Rod,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rod of Scouring Justice,13,PHB2,3,Rod,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rod of Shadow's Caress,15,MOTP,3,Rod,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rod of Silver Rain,15,AV2,3,Rod,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rod of Starlight,10,AV,2,Rod,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rod of Star's Descent,20,MOTP,4,Rod,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rod of Stolen Starlight,7,AV2,2,Rod,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rod of Sylvan Trickery,15,MOTP,3,Rod,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rod of the Bloodthorn,17,AV,4,Rod,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rod of the Churning Inferno,12,AV,3,Rod,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rod of the Dragonborn,4,AV,1,Rod,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rod of the Dragon's Heart,23,DRMZ,5,Rod,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rod of the Feywild,8,AV,2,Rod,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rod of the Fickle Servant,2,AV2,1,Rod,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rod of the Hag,14,AV2,3,Rod,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rod of the Hidden Star,8,AV,2,Rod,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rod of the Infernal,8,AV,2,Rod,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rod of the Pactbinder,4,AV2,1,Rod,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rod of the Pyre,10,PHB,2,Rod,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rod of the Risen Dead,27,AV2,6,Rod,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rod of the Shadow walker,4,AV,1,Rod,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rod of the Sorrowsworn,14,AV,3,Rod,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rod of the Star Spawn,22,AV,5,Rod,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rod of Time Distortion,3,MOTP,1,Rod,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rod of Ulban,26,AV2,6,Rod,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rod of Vulnerability,15,AV,3,Rod,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rod of Wrathful Dismissal,4,PHB2,1,Rod,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rowan Wand,1,PHB3,1,Wand,#REF!,Distant,Energized,Lightning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scavenger Bird Ki Focus,2,DRMZ,1,Focus,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scepter of Cimbar,15,DUMZ,3,Rod,TRUE,,,,,,,,,,,,,3,,,3,,,,,,,,,,,,,,,,,
Serene Ki Focus,1,PsP,1,Focus,#REF!,Energized,Undeniable,Psychic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sharpshooter's Wand,10,AV2,2,Wand,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sheaf of Arawai,8,EPG,2,Symbol,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shielding Wand,4,AV2,1,Wand,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Silver Orb of Dragonkind,14,DRMZ,3,Orb,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sitar of Restfulness,7,DRMZ,2,Instrument,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spellshaper's Staff,18,AV2,4,Staff,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spider Rod,13,AV2,3,Rod,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spirit Reliquary,7,EPG,2,Symbol,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring Renewal Totem,5,PHB2,1,Totem,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staff of Acid and Flame,10,AV,2,Staff,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staff of Aggressive Thoughts,4,PsP,1,Staff,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staff of Artifice,5,EPG,1,Staff,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staff of Bitter Dismissal,7,PsP,2,Staff,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staff of Corrosion,18,AV,4,Staff,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staff of Distant Shielding,7,PHB2,2,Staff,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staff of Divinity,2,AV2,1,Staff,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staff of Draconic Power,5,DRMZ,1,Staff,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staff of Earthen Might,3,DUMZ,1,Staff,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staff of Elemental Prowess,9,AV,2,Staff,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staff of Expansion,2,DRMZ,1,Staff,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staff of Fiery Might,2,PHB,1,Staff,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staff of Forceful Rebuking,4,PHB3,1,Staff,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staff of Gathering,10,AV,2,Staff,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staff of Insightful Detection,2,PHB3,1,Staff,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staff of Iron Infusion,4,AV2,1,Staff,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staff of Knives,2,AV2,1,Staff,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staff of Light,4,AV,1,Staff,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staff of Luck and Skill,23,AV2,5,Staff,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staff of Missile Mastery,2,AV,1,Staff,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staff of New Horizons,9,DSCS,2,Staff,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staff of Portals,14,MOTP,3,Staff,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staff of Power,19,PHB,4,Staff,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staff of Provocation,8,PHB2,2,Staff,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staff of Psicraft,5,PHB3,1,Staff,TRUE,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staff of Psychic Knives,4,PHB3,1,Staff,TRUE,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
Staff of Punishing Thoughts,3,PsP,1,Staff,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staff of Resilience,3,AV2,1,Staff,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staff of Ruin,3,AV,1,Staff,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staff of Scourging Revelation,5,PsP,1,Staff,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staff of Searing Death,12,AV,3,Staff,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staff of Sleep and Charm,3,AV2,1,Staff,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staff of Spectral Hands,3,AV,1,Staff,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staff of Spell Blasting,14,AV2,3,Staff,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staff of Storms,5,PHB,1,Staff,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staff of the Adaptable Mind,4,PHB3,1,Staff,TRUE,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,
Staff of the Blinking Artifice,8,EPG,2,Staff,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staff of the Faithful Arcanist,8,AV2,2,Staff,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staff of the Discerning Watcher,2,DRMZ,1,Staff,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staff of the Evader,3,PHB3,1,Staff,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staff of the Far Wanderer,17,AV2,4,Staff,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staff of the Impregnable Mind,3,PHB3,1,Staff,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staff of the Iron Tower,22,AV,5,Staff,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staff of the Lich,13,DRMZ,3,Staff,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staff of the Renewing Source,5,PHB3,1,Staff,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staff of the Serpent,7,AV,2,Staff,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staff of the Sunburst,14,PHB2,3,Staff,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staff of the Temporal Juggler,4,PHB3,1,Staff,TRUE,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
Staff of the Traveler,5,PHB3,1,Staff,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staff of the War Mage,3,PHB,1,Staff,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staff of Time,30,AV2,6,Staff,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staff of Tongues,2,PHB3,1,Staff,TRUE,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
Staff of Transposition,14,AV,3,Staff,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staff of Ultimate Defense,3,AV,1,Staff,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staff of Unfailing Talent,2,PHB3,1,Staff,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staff of Unparalleled Vision,4,AV,1,Staff,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staff of Verdant Growth,3,DRMZ,1,Staff,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staff of Wind,5,AV2,1,Staff,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staff of Winter,4,PHB,1,Staff,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Standard Holy Symbol,1,PHB,1,Symbol,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Standard Orb,1,PHB,1,Orb,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Standard Rod,1,PHB,1,Rod,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Standard Staff,1,PHB,1,Staff,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Standard Totem,1,PHB2,1,Totem,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Standard Wand,1,PHB,1,Wand,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Star of Corellon,8,AV,2,Symbol,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Star Rod,18,AV,4,Rod,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stern Mountain Totem,10,AV2,2,Totem,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stone of Avandra,8,AV,2,Symbol,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Storm Totem,1,PHB3,1,Totem,#REF!,Energized,Unstoppable,Thunder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Striking Staff,15,AV,3,Staff,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Summer Growth Totem,3,PHB2,1,Totem,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Summoner's Staff,7,AV2,2,Staff,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Summoner's Tome,5,AP,1,Tome,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sun Disk of Pelor,8,AV,2,Symbol,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sunfury Totem,5,DSCS,1,Totem,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Symbol of Astral Light,22,MOTP,5,Symbol,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Symbol of Astral Might,4,AV,1,Symbol,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Symbol of Battle,5,PHB,1,Symbol,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Symbol of Branding,12,AV2,3,Symbol,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Symbol of Brawn,3,AV2,1,Symbol,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Symbol of Brilliance,15,AV,3,Symbol,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Symbol of Censure,14,AV,3,Symbol,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Symbol of Confrontation,3,AV,1,Symbol,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Symbol of Courage,9,DRMZ,2,Symbol,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Symbol of Damnation,25,AV,5,Symbol,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Symbol of Daring,5,AV2,1,Symbol,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Symbol of Dedication,17,AV,4,Symbol,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Symbol of Defense,18,AV2,4,Symbol,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Symbol of Dire Fate,5,AV,1,Symbol,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Symbol of Divine Force,2,AV2,1,Symbol,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
