Name,Book,Class,Level,
Defensive Resurgence,MP,Fighter,10,
Fearsome Threat,HFL,Fighter,10,
Fighter's Gift,MP2,Fighter,10,
Fist of Lightning,MP2,Fighter,10,
Grim Presence,HFL,Fighter,10,
Grappler's Stance,MP2,Fighter,10,
Hold Your Ground,HFL,Fighter,10,
Hunker Down,MP,Fighter,10,
Into the Fray,PHB,Fighter,10,
Iron Defiance,HFL,Fighter,10,
Last Ditch Evasion,PHB,Fighter,10,
Martial Redoubt,DRMZ,Fighter,10,
Menacing Stance,MP,Fighter,10,
Mighty Surge,DRMZ,Fighter,10,
Phalanx Leader,MS,Fighter,10,
Shield Deflection,DRMZ,Fighter,10,
Shooter's Nemesis,MP,Fighter,10,
Stalwart Guard,PHB,Fighter,10,
Steely Persuasion,MP2,Fighter,10,
Strength from Pain,MP,Fighter,10,
Temporary Relief,HFL,Fighter,10,
Battle Resurgence,MP2,Fighter,16,
Bolstering Stride,MP,Fighter,16,
Fury's Resurgence,MP2,Fighter,16,
Giant's Stride,MP,Fighter,16,
Immovable Mountain,MP,Fighter,16,
Interposing Shield,PHB,Fighter,16,
Iron Warrior,PHB,Fighter,16,
Marking Stance,MP,Fighter,16,
Painful Drag,MP2,Fighter,16,
Regnant Shout,MP,Fighter,16,
Shield Clamor,DRMZ,Fighter,16,
Surprise Step,PHB,Fighter,16,
Tangle Up,MP2,Fighter,16,
Twisting Escape,MP2,Fighter,16,
Tyrian Battle Stance,DSCS,Fighter,16,
Warding Shield,DRMZ,Fighter,16,
Warding Steel,DRMZ,Fighter,16,
Act of Desperation,PHB,Fighter,22,
Battle Furor,DRMZ,Fighter,22,
Hard to Kill,MP2,Fighter,22,
Howl of Defiance,MP,Fighter,22,
Inspired Resurgence,MP,Fighter,22,
Instant Getaway,MP2,Fighter,22,
Knight's Valor,HFL,Fighter,22,
Martial Supremacy,DRMZ,Fighter,22,
No Surrender,PHB,Fighter,22,
Prescient Shield,MP2,Fighter,22,
Slayer's Defiance,HFL,Fighter,22,
Steadfast Stance,MP,Fighter,22,
Surprising Finish,MP2,Fighter,22,
Undeniable Challenge,MP2,Fighter,22,
Unyielding,MP,Fighter,22,
Urikite Warmaster Stance,DSCS,Fighter,22,
Victor's Stance,MP,Fighter,22,
Altar of Confinement,DRMZ,Invoker,2,
Death's Denial,DRMZ,Invoker,2,
Divine Call,PHB2,Invoker,2,
Divine Protection,DP,Invoker,2,
Emissary of the Gods,PHB2,Invoker,2,
Encouraging Chant,DP,Invoker,2,
Heaven's Bountiful Reward,DRMZ,Invoker,2,
Know Weakness,DP,Invoker,2,
Lore of Shom,DP,Invoker,2,
Miraculous Fortune,DP,Invoker,2,
Shroud of Awe,PHB2,Invoker,2,
Shroud of Warning,PHB2,Invoker,2,
Wall of Light,PHB2,Invoker,2,
Altar of Defense,DRMZ,Invoker,6,
Astral Step,PHB2,Invoker,6,
Brilliant Cloak,DP,Invoker,6,
Demand Justice,PHB2,Invoker,6,
Guardian Angel,DP,Invoker,6,
Patron's Blessing,DRMZ,Invoker,6,
Prayer for Victory,DP,Invoker,6,
Shared Endurance,PHB2,Invoker,6,
Shield of Light,PHB2,Invoker,6,
Solid Fog,DP,Invoker,6,
Symbol of Hope,PHB2,Invoker,6,
Symbol of Vengeance,DRMZ,Invoker,6,
Angelic Messenger,DRMZ,Invoker,10,
Angelic Visage,PHB2,Invoker,10,
Call of Vanguard,DP,Invoker,10,
Cloud of Locusts,DRMZ,Invoker,10,
Covenant of Endurance,PHB2,Invoker,10,
Divine Renewal,PHB2,Invoker,10,
Enunciation,DP,Invoker,10,
Martyr's Ward,PHB2,Invoker,10,
Prayer of Vengeance,DP,Invoker,10,
Word of Urgency,DP,Invoker,10,
Blessing of the Storm Father,DRMZ,Invoker,16,
Confounding Utterance,DP,Invoker,16,
Covenant of Life,PHB2,Invoker,16,
Guidance of Heavenly Hands,DRMZ,Invoker,16,
Icon of Life,PHB2,Invoker,16,
Pennant of Heaven's Armies,DP,Invoker,16,
Serene Visage,DP,Invoker,16,
Shield of Justice,PHB2,Invoker,16,
Vengeful Dead,DRMZ,Invoker,16,
Walk Between Worlds,PHB2,Invoker,16,
Walls of Hestavar,DP,Invoker,16,
Word of Refuge,DP,Invoker,16,
Call Angelic Shield,DP,Invoker,22,
Covenant of Vengeance,PHB2,Invoker,22,
Herald of God,DP,Invoker,22,
Invoke Angelic Form,PHB2,Invoker,22,
Invoke Heroism,PHB2,Invoker,22,
Invoke Sight,DP,Invoker,22,
Ward of Divine Light,PHB2,Invoker,22,
Careful Stride,PHB3,Monk,2,
Fall of Wind,PsP,Monk,2,
Fighting Fury,PsP,Monk,2,
Grasp the Wind,PHB3,Monk,2,
Harmonious Discipline,PHB3,Monk,2,
Supreme Flurry,PHB3,Monk,2,
Swift Flight,PsP,Monk,2,
Abundant Surge,PsP,Monk,6,
Airborne Form,PsP,Monk,6,
Centered Defense,PHB3,Monk,6,
Echoing Thunder,PHB3,Monk,6,
Iron Heart Endurance,PsP,Monk,6,
Leap of the Heavens,PHB3,Monk,6,
Purifying Meditation,PHB3,Monk,6,
Quicksilver Motion,PsP,Monk,6,
Adamant Soul,PsP,Monk,10,
Adamantine Boots,PsP,Monk,10,
Confirmation of Spirit,PsP,Monk,10,
Internal Power,PHB3,Monk,10,
Iron Dragon Defense,PHB3,Monk,10,
Iron Heart Resilience,PsP,Monk,10,
Spider Technique,PHB3,Monk,10,
Spring Up,PHB3,Monk,10,
Altered Awareness,PsP,Monk,16,
Diamond Mind,PHB3,Monk,16,
Master of Winds Stance,PHB3,Monk,16,
Meditative Solace,PHB3,Monk,16,
Pearl of Black Doubt,PsP,Monk,16,
Stance of the Still Sword,PHB3,Monk,16,
Sundered Chains,PsP,Monk,16,
Unfailing Resolve,PsP,Monk,16,
Diamond Body,PHB3,Monk,22,
Empty Body,PsP,Monk,22,
Indomitable Technique,PHB3,Monk,22,
Meditative Vanishing,PsP,Monk,22,
Mist Walker's Step,PHB3,Monk,22,
Supreme Parry,PsP,Monk,22,
Thousand World Strike,PsP,Monk,22,
Wind Walker,PHB3,Monk,22,
Astral Speech,PHB,Paladin,2,
Bless Weapon,DP,Paladin,2,
Call of Challenge,DP,Paladin,2,
Divine Counter,DP,Paladin,2,
Kord's Strength,DRMZ,Paladin,2,
Martyr's Blessing,PHB,Paladin,2,
Restore Vitality,HFK,Paladin,2,
Sacred Circle,PHB,Paladin,2,
Touch of Grace,DP,Paladin,2,
Virtue,DP,Paladin,2,
Bond of Protection,HFK,Paladin,6,
Divine Bodyguard,PHB,Paladin,6,
Fear Not,DP,Paladin,6,
Flare of Divine Vengeance,MS,Paladin,6,
Fury of the Battle God,DRMZ,Paladin,6,
"One Heart, One Mind",PHB,Paladin,6,
Pure Devotion,DP,Paladin,6,
Shield of Discipline,DP,Paladin,6,
Shield the Virtuous,DP,Paladin,6,
Stave Off Winter,DRMZ,Paladin,6,
Valiant Rush,DP,Paladin,6,
Wrath of the Gods,PHB,Paladin,6,
Beacon of Nobility,HFK,Paladin,10,
Beacon of Presence,HFK,Paladin,10,
Benediction,DP,Paladin,10,
Cleansing Spirit,PHB,Paladin,10,
Font of Healing,DP,Paladin,10,
Guiding Verse,DP,Paladin,10,
Noble Shield,PHB,Paladin,10,
Righteous Indignation,DP,Paladin,10,
Turn the Tide,PHB,Paladin,10,
Vengeful Vigilance,DRMZ,Paladin,10,
Angelic Intercession,PHB,Paladin,16,
Call from the Brink,HFK,Paladin,16,
Death Ward,PHB,Paladin,16,
Devotion,DP,Paladin,16,
Divine Aegis,DP,Paladin,16,
Higher Cause,DP,Paladin,16,
Liberation,DP,Paladin,16,
Prayer for the Valiant,DP,Paladin,16,
Angelic Rescue,PHB,Paladin,22,
Cleansing Burst,PHB,Paladin,22,
Failure is No Option,DP,Paladin,22,
Gift of Life,PHB,Paladin,22,
Gift of Resistence,DRMZ,Paladin,22,
Holy Wings,DP,Paladin,22,
Inspiring Hymn,DP,Paladin,22,
Return to the Living,DP,Paladin,22,
Shared Sacrifice,HFK,Paladin,22,
Shared Valor,HFK,Paladin,22,
United in Faith,PHB,Paladin,22,
Borrowing Training,PsP,Psion,2,
Buoyancy of Thought,PsP,Psion,2,
Dimensional Stowaway,PsP,Psion,2,
Intellect Fortress,PHB3,Psion,2,
Mind Shroud,PsP,Psion,2,
Skill Empowerment,PHB3,Psion,2,
Telekinetic Lift,PHB3,Psion,2,
Transport Self,PHB3,Psion,2,
Explosive Force,PsP,Psion,6,
Intellect Prison,PsP,Psion,6,
Mental Void,PsP,Psion,6,
Mind Shadow,PHB3,Psion,6,
Shared Recovery,PsP,Psion,6,
Steadfast Stanchion,PHB3,Psion,6,
Telekinetic Screen,PHB3,Psion,6,
Dimensional Shortcut,PsP,Psion,10,
Energy Mitigation,PsP,Psion,10,
Force Barricade,PsP,Psion,10,
Force Bubble,PHB3,Psion,10,
Intellect Leech,PHB3,Psion,10,
Mind over Flesh,PHB3,Psion,10,
Sky Hook,PHB3,Psion,10,
Trace Teleport,PsP,Psion,10,
Dream Traveler,PsP,Psion,16,
Freedom of Movement,PHB3,Psion,16,
Kinetic Grasp,PsP,Psion,16,
Mind Blank,PsP,Psion,16,
Precognitive Step,PHB3,Psion,16,
Psychic Chirugery,PHB3,Psion,16,
Subjective Reality,PsP,Psion,16,
Telekinetic Boost,PHB3,Psion,16,
Forceful Repositioning,PsP,Psion,22,
Interdicting Thoughts,PsP,Psion,22,
Mind over Earth,PHB3,Psion,22,
Rejuvenate the Mind,PHB3,Psion,22,
Summon Fleeting Thoughts,PsP,Psion,22,
Through the Walls,PHB3,Psion,22,
Warding Shield,PHB3,Psion,22,
Archer's Stairway,DRMZ,Ranger,2,
Avian Grace,DRMZ,Ranger,2,
Begin the Hunt,MP2,Ranger,2,
Bending Branch,DRMZ,Ranger,2,
Bridge of Roots,HFK,Ranger,2,
Crucial Advice,PHB,Ranger,2,
Entangling Roots,HFK,Ranger,2,
Equestrian Maneuver,DRMZ,Ranger,2,
Feline Escape,DRMZ,Ranger,2,
Ferret an Opening,MP,Ranger,2,
Fox Shift,MP,Ranger,2,
Hearten the Beast,MP,Ranger,2,
Hunter's Privilege,MP,Ranger,2,
Invigorating Stride,MP2,Ranger,2,
Oak Skin,HFK,Ranger,2,
Pack Alertness,MP,Ranger,2,
Path of the Monkey,DRMZ,Ranger,2,
Ranger's Agility,HFK,Ranger,2,
Reptilian Perserverance,DRMZ,Ranger,2,
Safe Passage,HFK,Ranger,2,
Slither's Stride,DRMZ,Ranger,2,
Stalker's Mist,HFK,Ranger,2,
Tenacity of the Tusked,DRMZ,Ranger,2,
Terrain Advantage,MP2,Ranger,2,
Unbalancing Parry,PHB,Ranger,2,
Ursine Brutality,DRMZ,Ranger,2,
Web Trick,DRMZ,Ranger,2,
Wolf Trip,DRMZ,Ranger,2,
Yield Ground,PHB,Ranger,2,
Arrow of the Savior,DRMZ,Ranger,6,
Battle Runner,MP,Ranger,6,
Boundless Energy,MP,Ranger,6,
Clever Teamwork,MP2,Ranger,6,
Death Threat,DRMZ,Ranger,6,
Defensive Posture,MP,Ranger,6,
Evade Ambush,PHB,Ranger,6,
Harrying Hunter Stance,DRMZ,Ranger,6,
Healing Herbs,MP2,Ranger,6,
Healing Lore,HFK,Ranger,6,
Invigorate the Beast,MP,Ranger,6,
Leaf Wall,HFK,Ranger,6,
Off-Hand Defense,MP2,Ranger,6,
Serpentine Dodge,MP,Ranger,6,
Skilled Companion,PHB,Ranger,6,
Stealthy Escape,MP2,Ranger,6,
Step of Morning Mist,HFK,Ranger,6,
Thorn Ward,HFK,Ranger,6,
Weave Through the Fray,PHB,Ranger,6,
Agile Escape,MP2,Ranger,10,
Blood of the Fallen,DRMZ,Ranger,10,
Companion Emplacement,MP,Ranger,10,
Defensive Volley,DRMZ,Ranger,10,
Expeditious Stride,PHB,Ranger,10,
Eyes of the Owl,HFK,Ranger,10,
Hunter's Thorn Trap,HFK,Ranger,10,
Hunting Party,MP,Ranger,10,
Open the Range,PHB,Ranger,10,
Padfoot Advance,MP2,Ranger,10,
Prime Shift,MP,Ranger,10,
Quick Recovery,MP,Ranger,10,
Resume the Hunt,MP2,Ranger,10,
Root Gate,HFK,Ranger,10,
Shed the Mark,MP,Ranger,10,
Undaunted Stride,PHB,Ranger,10,
Verdant Flames,HFK,Ranger,10,
Weathered Resilience,MP2,Ranger,10,
Back on Target,DRMZ,Ranger,16,
Blade and Bow,MP2,Ranger,16,
Curving Shot,MP,Ranger,16,
Embrace the Wild,HFK,Ranger,16,
Evade the Blow,PHB,Ranger,16,
Howling Winds,HFK,Ranger,16,
Iron Endurance,HFK,Ranger,16,
Longstrider,PHB,Ranger,16,
Mirror of Steel,DRMZ,Ranger,16,
Momentary Respite,PHB,Ranger,16,
Pack Stealth,MP,Ranger,16,
Ranger's Parry,MP2,Ranger,16,
Shared Healing,MP,Ranger,16,
Stalker's Senses,MP,Ranger,16,
Tree Runner,MP2,Ranger,16,
Vengeful Oath,MP2,Ranger,16,
Wall of Earth,HFK,Ranger,16,
Wary Shooter,MP,Ranger,16,
Wolfjaw Blows,DRMZ,Ranger,16,
Word of Warning,HFK,Ranger,16,
Adamant Recovery,MP,Ranger,22,
Daunting Agility,MP2,Ranger,22,
Fade From Sight,MP2,Ranger,22,
Fleet Hunter's Stance,DRMZ,Ranger,22,
Fleet of Foot,MP2,Ranger,22,
Forest Ghost,PHB,Ranger,22,
Hit the Dirt,PHB,Ranger,22,
Hunt the Herd,MP,Ranger,22,
Master of the Hunt,PHB,Ranger,22,
Preternatural Sense,MP,Ranger,22,
Safe Stride,PHB,Ranger,22,
Selfless Sacrifice,MP,Ranger,22,
Sharpen the Senses,MP2,Ranger,22,
Speed of the Zephyr,HFK,Ranger,22,
Stepping Through the Veil,HFK,Ranger,22,
Tested Analysis,MP2,Ranger,22,
Veil of Winter,HFK,Ranger,22,
Verdant Silence,DRMZ,Ranger,22,
Wild Dash,MP,Ranger,22,
Wrath of Root and Soil,HFK,Ranger,22,
Adaptable Flanker,MP,Rogue,2,
Agile Footwork,HFL,Rogue,2,
Arm and Edge,MP2,Rogue,2,
Cunning Step,MP2,Rogue,2,
Deadly Knowledge,MP2,Rogue,2,
Double Take,MP,Rogue,2,
Fleeting Ghost,PHB,Rogue,2,
Great Leap,PHB,Rogue,2,
Hop Up,MP,Rogue,2,
Lurker's Cloak,MP2,Rogue,2,
Marked Escape,MP,Rogue,2,
Master of Deceit,PHB,Rogue,2,
Quick Fingers,PHB,Rogue,2,
Reap the Rattled,MP,Rogue,2,
Sneak in the Attack,MP,Rogue,2,
Sudden Leap,HFL,Rogue,2,
Switcheroo,MP2,Rogue,2,
Tumble,PHB,Rogue,2,
Blind Spot Advantage,MP2,Rogue,6,
Chameleon,PHB,Rogue,6,
Ferret Out Frailty,MP,Rogue,6,
Fortuitous Dodge,MP,Rogue,6,
Hidden Blade,MS,Rogue,6,
Ignoble Escape,PHB,Rogue,6,
Mob Mentality,PHB,Rogue,6,
Nimble Climb,PHB,Rogue,6,
Perfect Feint,MP2,Rogue,6,
Sidestep Stance,MP,Rogue,6,
Slip Aside,HFL,Rogue,6,
Slippery Mind,PHB,Rogue,6,
Swift Parry,HFL,Rogue,6,
Threatening Glare,MP,Rogue,6,
Ugly Finish,MP2,Rogue,6,
Vault Position,MP,Rogue,6,
Vexing Flanker,MP,Rogue,6,
Acrobat's Escape,HFL,Rogue,10,
Brisk Stride,MP,Rogue,10,
Certain Freedom,PHB,Rogue,10,
Close Quarters,PHB,Rogue,10,
Combat Tumbleset,MP,Rogue,10,
Counter-Step,HFL,Rogue,10,
Dangerous Theft,PHB,Rogue,10,
Daring Gamble,MP2,Rogue,10,
Deadly Sacrifice,MP2,Rogue,10,
Executioner's Mien,MP,Rogue,10,
Gap in the Armor,MP,Rogue,10,
Nimble Fingers,HFL,Rogue,10,
Peripheral Concealment,MP,Rogue,10,
Shadow Stride,PHB,Rogue,10,
Sneaky Roll,DRMZ,Rogue,10,
Anticipate Attack,MP,Rogue,16,
Clever Move,MP2,Rogue,16,
Defensive Roll,MP,Rogue,16,
Denying Stance,MP,Rogue,16,
Dishonorable Tactics,MP2,Rogue,16,
Foil the Lock,PHB,Rogue,16,
Grasshopper Leap,MP,Rogue,16,
Hide in Plain Sight,PHB,Rogue,16,
Leaping Dodge,PHB,Rogue,16,
Magpie Filch,MP,Rogue,16,
Opportunistic Relocation,MP,Rogue,16,
Raise the Stakes,PHB,Rogue,16,
Shadow Master,MP2,Rogue,16,
Slip from the Grasp,HFL,Rogue,16,
Trap Master,MP2,Rogue,16,
Vigilant Footwork,MP,Rogue,16,
Clinging Shadows,MP2,Rogue,22,
Cloud Jump,PHB,Rogue,22,
Dazzling Acrobatics,PHB,Rogue,22,
Hide from Light,PHB,Rogue,22,
Indomitable Agility,MP2,Rogue,22,
Invisible Stalker,HFL,Rogue,22,
Killer's Instinct,MP2,Rogue,22,
Mountebank's Flight,MP,Rogue,22,
Scoundrel's Epiphany,MP,Rogue,22,
Seize the Moment,MP,Rogue,22,
Somersault Dodge,MP2,Rogue,22,
Thief of Fortune,MP,Rogue,22,
Uncanny Aim,MP2,Rogue,22,
Unnerving Footwork,MP,Rogue,22,
Wall Crawl,MP,Rogue,22,
Icon of Victory,PHB3,Runepriest,2,
Mark of Skilled Effort,PHB3,Runepriest,2,
Rune of the Final Effort,PHB3,Runepriest,2,
Shield of Sacrifice,PHB3,Runepriest,2,
Banner of Alliance,PHB3,Runepriest,6,
Compact of Peace,PHB3,Runepriest,6,
Rune of Meritorious Alacrity,PHB3,Runepriest,6,
Rune of Unyielding Steel,PHB3,Runepriest,6,
Banner of Resolution,PHB3,Runepriest,10,
Rune of Daunting Light,PHB3,Runepriest,10,
Rune of Shared Lore,PHB3,Runepriest,10,
Rune of the Astral Winds,PHB3,Runepriest,10,
Rune of Preservation,PHB3,Runepriest,16,
Rune of Reinvigoration,PHB3,Runepriest,16,
Rune of the Unblinking Eye,PHB3,Runepriest,16,
Rune of the Warded Path,PHB3,Runepriest,16,
Banner of the Undefeated,PHB3,Runepriest,22,
Banner of Victory,PHB3,Runepriest,22,
Rune of the Hero's Resolve,PHB3,Runepriest,22,
Symbol of Defiance,PHB3,Runepriest,22,
Harrying Spirits,PHB3,Seeker,2,
Hunter's Instinct,PHB3,Seeker,2,
Stag's Grace,PHB3,Seeker,2,
Stone Spirit Ward,PHB3,Seeker,2,
Warding Arrow,DRMZ,Seeker,2,
Blurring Stride,PHB3,Seeker,6,
Cloak of Quills,PHB3,Seeker,6,
Eagle's Aim,PHB3,Seeker,6,
Earthbond Gift,PHB3,Seeker,6,
Swirling Arrows,DRMZ,Seeker,6,
Burrowing Stride,PHB3,Seeker,10,
Far Step Arrow,DRMZ,Seeker,10,
Feywild Jaunt,PHB3,Seeker,10,
Host of Sparrows,PHB3,Seeker,10,
Sheltering Underbrush,PHB3,Seeker,10,
Bramble Hide,PHB3,Seeker,16,
Earthfriend,PHB3,Seeker,16,
Ephemeral Wings,PHB3,Seeker,16,
Sure Sight,PHB3,Seeker,16,
Guiding Spirit,PHB3,Seeker,22,
Land Passage,PHB3,Seeker,22,
Nature's Passage,PHB3,Seeker,22,
Primal Morass,PHB3,Seeker,22,
Seeking Arrow,DRMZ,Seeker,22,
Assistance of the Strong Spirit,DRMZ,Shaman,2,
Bonds of the Clan,PHB2,Shaman,2,
Condensation,DSCS,Shaman,2,
Engaging Pursuit,PP,Shaman,2,
Protective Roots,PP,Shaman,2,
Spirit Call,PHB2,Shaman,2,
Spirit of the Great Cat,PP,Shaman,2,
Spirit of Life,PHB2,Shaman,2,
Spirit Zephyr,PP,Shaman,2,
Spirit's Sacrifice,DRMZ,Shaman,2,
Spirits of Battle,PHB2,Shaman,2,
Stormhawk Vigilance,PP,Shaman,2,
Blessing of the Iron Tree,PHB2,Shaman,6,
Everlasting Flame's Strength,PP,Shaman,6,
Hearth Spirit,PP,Shaman,6,
Herder of Hulculmak,DRMZ,Shaman,6,
Light of the Crimson Sun,DSCS,Shaman,6,
Primal Investiture,DRMZ,Shaman,6,
Spirit Companion's Shelter,PP,Shaman,6,
Spirit of Dawn,PHB2,Shaman,6,
Spirit of the Keeper,PHB2,Shaman,6,
Spirit Vengeance,PP,Shaman,6,
Spur the Pack,PP,Shaman,6,
Sudden Restoration,PHB2,Shaman,6,
Call for the Spirit World,DRMZ,Shaman,10,
Primal Gust,PHB2,Shaman,10,
Quickening Breeze,PP,Shaman,10,
Rock Shield Spirits,PHB2,Shaman,10,
Sacrifical Spirit,DRMZ,Shaman,10,
Shield of the Immortal Forest,PP,Shaman,10,
Spirit Summons,PHB2,Shaman,10,
Spirits of the Shadowed Moon,PHB2,Shaman,10,
Stone Root's Resilience,PP,Shaman,10,
Swirling Duet,DSCS,Shaman,10,
Twilight's Veil,PP,Shaman,10,
Faces of the Fallen,DRMZ,Shaman,16,
Fate Weaver's Shield,PHB2,Shaman,16,
Forge the Chains of Life,PHB2,Shaman,16,
Guiding Snarl,PP,Shaman,16,
Guiding Winds,DSCS,Shaman,16,
Healing Howl,PP,Shaman,16,
"One Spirit, One Body",DRMZ,Shaman,16,
Presence of the Ancestor Spirit,PP,Shaman,16,
Screening Branches,PP,Shaman,16,
Spirit Binding,PHB2,Shaman,16,
Spiritual Congress,DRMZ,Shaman,16,
Spirit's Regeneration,PP,Shaman,16,
Spirits of the Dancing Zephir,PHB2,Shaman,16,
Bounty of Life,PHB2,Shaman,22,
Call the Dead,PHB2,Shaman,22,
Doorway to the Spirit World,PHB2,Shaman,22,
Life and Death Struggle,DRMZ,Shaman,22,
Medicines of Many Forms,PP,Shaman,22,
Natural Rebirth,PP,Shaman,22,
Sand Summons,DSCS,Shaman,22,
Spirit of the Cunning General,PP,Shaman,22,
Spirit of the World Healer,PHB2,Shaman,22,
Spirit Realm,PP,Shaman,22,
Spirits of Recovery,PP,Shaman,22,
Absorb Storm,AP,Sorcerer,2,
Deep Shroud,AP,Sorcerer,2,
Dragonflame Mantle,PHB2,Sorcerer,2,
Elemental Shift,PHB2,Sorcerer,2,
Focused Chaos,AP,Sorcerer,2,
Gambling Siphon,DRMZ,Sorcerer,2,
Good Timing,DRMZ,Sorcerer,2,
Sorcerous Sirocco,AP,Sorcerer,2,
Spatial Trip,AP,Sorcerer,2,
Spirit Guidance,DRMZ,Sorcerer,2,
Stretch Spell,PHB2,Sorcerer,2,
Unseen Aid,PHB2,Sorcerer,2,
Arcane Empowerment,PHB2,Sorcerer,6,
Chaos Wager,DRMZ,Sorcerer,6,
Chaotic Defense,AP,Sorcerer,6,
Energetic Flight,PHB2,Sorcerer,6,
Extinguising Rain,AP,Sorcerer,6,
Fate's Chaos,AP,Sorcerer,6,
Lightning Shift,AP,Sorcerer,6,
Protective Familiar,DRMZ,Sorcerer,6,
Subtlety of the Green Wyrm,AP,Sorcerer,6,
Sudden Scales,PHB2,Sorcerer,6,
Swift Escape,PHB2,Sorcerer,6,
Chaos Link,PHB2,Sorcerer,10,
Devour Magic,PHB2,Sorcerer,10,
Dragon's Resolve,AP,Sorcerer,10,
Fog Form,AP,Sorcerer,10,
Invert Resistance,PHB2,Sorcerer,10,
Maiden's Waking,DRMZ,Sorcerer,10,
Narrow Escape,PHB2,Sorcerer,10,
Shielding the Bound Spirit,DRMZ,Sorcerer,10,
Sorcerous Pulse,AP,Sorcerer,10,
Spirit's Eclipse,AP,Sorcerer,10,
Storm of Energy,AP,Sorcerer,10,
Weave Luck,DRMZ,Sorcerer,10,
Avatars of Chaos,AP,Sorcerer,16,
Breath of Potency,AP,Sorcerer,16,
Breath of the Desert Dragon,PHB2,Sorcerer,16,
Chaos Echoes,PHB2,Sorcerer,16,
Chaos Sanctuary,PHB2,Sorcerer,16,
Comrades' Mantle,PHB2,Sorcerer,16,
Damage Gambit,DRMZ,Sorcerer,16,
Dominant Winds,AP,Sorcerer,16,
Draconic Majesty,PHB2,Sorcerer,16,
"Rise, My Pet",DRMZ,Sorcerer,16,
Thunder Buffer,AP,Sorcerer,16,
Crown of Flames,AP,Sorcerer,22,
Dragon Fear,PHB2,Sorcerer,22,
Flight of Dragons,AP,Sorcerer,22,
Fool's Luck,DRMZ,Sorcerer,22,
Platinum Scales,PHB2,Sorcerer,22,
Savior Spirit,DRMZ,Sorcerer,22,
Shared Sorcery,PHB2,Sorcerer,22,
Storm Body,AP,Sorcerer,22,
Ultimate Resistance,AP,Sorcerer,22,
Wind Shape,PHB2,Sorcerer,22,
Plague of Rooted Majesty,FR,Spellscarred,2,
Spelleater,FR,Spellscarred,2,
Haunting Reception,FR,Spellscarred,6,
Plaguefire Body,FR,Spellscarred,6,
Scar of Blue Wings,FR,Spellscarred,10,
Tears of Fire and Blood,FR,Spellscarred,10,
"Body, No Body",FR,Spellscarred,16,
Healing Flesh of the Infected,FR,Spellscarred,16,
Donning the Mudflesh,FR,Spellscarred,22,
Spellplague Guardians,FR,Spellscarred,22,
Arcane Transport,AP,Swordmage,2,
Channeling Shield,AP,Swordmage,2,
Dimensional Warp,FR,Swordmage,2,
Eldritch Speed,FR,Swordmage,2,
Elemental Aegis,FR,Swordmage,2,
Fear No Elements,FR,Swordmage,2,
Ghost Step,AP,Swordmage,2,
Host of Shields,AP,Swordmage,2,
Mythal Recovery,FR,Swordmage,2,
Price of Ensnarement,DRMZ,Swordmage,2,
Spellbinder's Gift,DRMZ,Swordmage,2,
Ward of Brilliance,AP,Swordmage,2,
Armathor's Step,FR,Swordmage,6,
Dimensional Warding,FR,Swordmage,6,
Fate-Spurned Foe,FR,Swordmage,6,
Nimbus of Shielding,DRMZ,Swordmage,6,
Quickling Stride,AP,Swordmage,6,
Silversteel Veil,FR,Swordmage,6,
Stride of the Gallant,DRMZ,Swordmage,6,
Swordmage's Decree,AP,Swordmage,6,
Unicorn's Touch,AP,Swordmage,6,
Variable Defense,FR,Swordmage,6,
Zephyr of the Barren Sands,AP,Swordmage,6,
Arcane Awareness,FR,Swordmage,10,
Armor of Assault,DRMZ,Swordmage,10,
Dimensional Dodge,FR,Swordmage,10,
Feywild Grace,AP,Swordmage,10,
Impenetrable Warding,FR,Swordmage,10,
Like a Feather,AP,Swordmage,10,
Spider's Leap,AP,Swordmage,10,
Unerring Vision,AP,Swordmage,10,
Aegis of Lost Souls,AP,Swordmage,16,
Bolstering Warding,FR,Swordmage,16,
Borrowed Confidence,AP,Swordmage,16,
Elemental Barrier,DRMZ,Swordmage,16,
Elemental Protection,FR,Swordmage,16,
Ironskin,FR,Swordmage,16,
Shared Fortune,AP,Swordmage,16,
Shield of the Besieged Tower,AP,Swordmage,16,
Sudden Escape,FR,Swordmage,16,
Unerring Parry,AP,Swordmage,16,
Borrowed Ascension,AP,Swordmage,22,
Boundless,AP,Swordmage,22,
Eyes of the Mage,FR,Swordmage,22,
Ghost Walk,AP,Swordmage,22,
Giant's Might,FR,Swordmage,22,
Oni's Gift,AP,Swordmage,22,
Shackled Warding,FR,Swordmage,22,
Call Faerie Guardian,DRMZ,Warden,2,
Erupting Font,PP,Warden,2,
Eyes of the Hawk,PHB2,Warden,2,
Guardian Thorns,PP,Warden,2,
Mountain Lion Step,PHB2,Warden,2,
Nature's Abundance,PHB2,Warden,2,
Triumphant Vigor,PHB2,Warden,2,
Warden's Tempest,PP,Warden,2,
Warding Touch,PP,Warden,2,
Bear's Endurance,PHB2,Warden,6,
Earthguard,PHB2,Warden,6,
Fey Congress,DRMZ,Warden,6,
Returning the Gift,PP,Warden,6,
Sea Stride,PHB2,Warden,6,
Soothing Wind,PP,Warden,6,
Treacherous Ice,PP,Warden,6,
Wilding Strength,PP,Warden,6,
Windborne Step,PHB2,Warden,6,
Warthful Mastery,PP,Warden,6,
