Magic Weapon,Level,Book,Bonus,Any,Melee,Ranged,Thrown,Axe,Bow,Crossbow,Flail,Hammer,Heavy blade,Light blade,Mace,Pick,Polearm,Sling,Spear,Staff,Hand crossbow,Dagger,Greatsword,Longsword,Sickle,Spiked gauntlet,Scourge,Triple-Headed Flail,Whip
Vicious,2,PHB,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
Victory Flash,8,DRMZ,2,,1,,,,,,,,,,,,,,,,,,,,,,,,
Vigilant,4,DRMZ,1,,,,,,,,,,1,1,,,,,,,,,,,,,,,
Virulent,3,DRMZ,1,,,,,,,,,,,1,,,,,,,,,,,,,,,
Vitality Drinking,10,DRMZ,2,,,,,,,,,,1,1,,,,,,,,,,,,,,,
Vitriolic,3,DRMZ,1,,,,,,,,1,1,,,1,,,,,,,,,,,,,,
Vorpal,30,PHB,6,,,,,1,,,,,1,,,,,,,,,,,,,,,,
Wailing Songbow,3,DRMZ,1,,,,,,1,1,,,,,,,,,,,,,,,,,,,
Warding,8,AV2,2,,,,,,,,,,,1,,,,,,,,,,,,,,,
Warsoul,3,DRMZ,1,,1,,,,,,,,,,,,,,,,,,,,,,,,
Warsoul,3,EPG,1,,1,,,,,,,,,,,,,,,,,,,,,,,,
Waterbane,8,AV,2,,,,,1,,1,,,1,1,,,,,1,,,,,,,,,,
Wave of Sorrow,30,MOTP,6,,,,,,,,,,,,,,,,,,,,1,,,,,,
Weapon of Oaths Fulfilled,4,AV2,1,,1,,,,,,,,,,,,,,,,,,,,,,,,
Whirlpool,15,DRMZ,3,,1,,,,,,,,,,,,,,,,,,,,,,,,
Whirlwind,3,PHRD,1,,,,,,,,,,,,,,1,,1,,,,,,,,,,
Whistling Songbow,2,AV2,1,,,,,,1,1,,,,,,,,,,,,,,,,,,,
Wicked Fang,13,DUMZ,3,,,,,,,,,,,,,,,,,,,,,1,,,,,
Wild Flare,2,DRMZ,1,,,,,,,,,,,,,,,,,,,1,,,,,,,
Winged,5,PHB2,1,,,,,,,,,,,,,,,,,,,1,,,,,,,
Withering,13,AV,3,,1,,,,,,,,,,,,,,,,,,,,,,,,
Wolfen,9,DRMZ,2,,,,,,,,,,1,1,,,,,,,,,,,,,,,
Wounding,4,AV,1,,,,,1,,1,,,1,1,,,,,1,,,,,,,,,,
Wraithblade,10,DRMZ,2,,,,,,,,,,,1,,,,,,,,,,,,,,,
Writhing Vine,8,AV2,2,,1,,,,,,,,,,,,,,,,,,,,,,,,
Wyrdwarped,12,MOTP,3,,,1,,,,,,,,,,,,,,,,,,,,,,,
Wyrmtooth,2,PHB2,1,,,,,,,,,,,,,,,,,,,1,,,,,,,
