Power Name,Book,Class,Level,Versus,WepMult,Dice,WepMult21,DamType1,DamType2,Extra,Melee,,,,
Circling Strike,MP,Ranger,1,AC,1,w,2,,,,TRUE,,,,
Dual Weapon Attack,HFK,Ranger,1,AC,1,w,2,,,,TRUE,,,,
Fading Strike,MP2,Ranger,1,AC,1,w,2,,,,TRUE,,,,
Hit and Run,PHB,Ranger,1,AC,1,w,2,,,,TRUE,,,,
Hunter's Teamwork,MS,Ranger,1,AC,1,w,2,,,,FALSE,,,,
Marauder's Rush,MP2,Ranger,1,AC,1,w,2,,,,TRUE,,,,
Nimble Strike,PHB,Ranger,1,AC,1,w,2,,,,FALSE,,,,
Predator Strike,MP,Ranger,1,AC,1,0,2,,,,FALSE,,,,
Shield of Blades,MS,Ranger,1,AC,1,w,2,,,,TRUE,,,,
Throw and Stab,MP2,Ranger,1,AC,1,w,2,,,,FALSE,,,,
Twin Strike,PHB,Ranger,1,AC,1,w,2,,,,TRUE,,,,
Warning Strike,DRMZ,Ranger,1,AC,1,w,2,,,,TRUE,,,,
Acrobatic Strike,MP2,Rogue,1,AC,1,w,2,,,,TRUE,,,,
Acrobat's Trick,HFL,Rogue,1,,,,,,,trick,FALSE,,,,
Ambush Trick,HFL,Rogue,1,,,,,,,trick,FALSE,,,,
Clever Strike,MS,Rogue,1,AC,1,w,2,,,,TRUE,,,,
Deft Strike,PHB,Rogue,1,AC,1,w,2,,,,TRUE,,,,
Disheartening Strike,MP,Rogue,1,AC,1,w,2,,,,TRUE,,,,
Duelist's Flurry,DRMZ,Rogue,1,AC,0,w,0,,,,TRUE,,,,
Escape Artist's Trick,HFL,Rogue,1,,,,,,,trick,FALSE,,,,
Feinting Trick,HFL,Rogue,1,,,,,,,trick,FALSE,,,,
Gloaming Cut,MP2,Rogue,1,AC,1,w,2,,,,TRUE,,,,
Palming Strike,DRMZ,Rogue,1,AC,1,w,2,,,,TRUE,,,,
Piercing Strike,PHB,Rogue,1,REF,1,w,2,,,,TRUE,,,,
Prepatory Shot,MP2,Rogue,1,AC,1,0,0,,,,FALSE,,,,
Probing Strike,MS,Rogue,1,AC,1,w,2,,,,TRUE,,,,
Riposte Strike,PHB,Rogue,1,AC,1,w,2,,,,TRUE,,,,
Sly Flourish,PHB,Rogue,1,AC,1,w,2,,,,TRUE,,,,
Sneak's Trick,HFL,Rogue,1,,,,,,,trick,FALSE,,,,
Tactical Trick,HFL,Rogue,1,,,,,,,trick,FALSE,,,,
Thug's Trick,HFL,Rogue,1,,,,,,,trick,FALSE,,,,
Tumbling Trick,HFL,Rogue,1,,,,,,,trick,FALSE,,,,
Unbalancing Trick,HFL,Rogue,1,,,,,,,trick,FALSE,,,,
Word of Binding,PHB3,Runepriest,1,AC,0,w,1,,,,TRUE,,,,
Word of Diminishment,PHB3,Runepriest,1,AC,1,w,1,,,,TRUE,,,,
Word of Exchange,PHB3,Runepriest,1,AC,1,w,1,,,,TRUE,,,,
Word of Shielding,PHB3,Runepriest,1,AC,1,w,1,,,,TRUE,,,,
Biting Swarm,PHB3,Seeker,1,AC,1,w,2,,,,FALSE,,,,
Elemental Spirits,PHB3,Seeker,1,AC,1,w,2,,,,FALSE,,,,
Grappling Spirits,PHB3,Seeker,1,AC,1,w,2,,,,FALSE,,,,
Guardian Harrier,PHB3,Seeker,1,AC,1,w,2,,,,TRUE,,,,
Thorn Cloud Shot,PHB3,Seeker,1,AC,1,w,2,Poison,,,FALSE,,,,
Claws of the Eagle,PP,Shaman,1,AC,,,,,,ally basic,FALSE,,,,
Defending Strike,PHB2,Shaman,1,REF,1,8,2,,,,FALSE,,,,
Haunting Spirits,PHB2,Shaman,1,WILL,1,6,2,Psychic,,,FALSE,,,,
Protecting Strike,PHB2,Shaman,1,WILL,1,8,2,,,,FALSE,,,,
Spirit Infusion,DSCS,Shaman,1,,,,,,,ally basic,FALSE,,,,
Spirit of the Tempest,PP,Shaman,1,FORT,1,8,2,Thunder,,,TRUE,,,,
Stalker's Strike,PHB2,Shaman,1,FORT,1,10,2,,,,FALSE,,,,
Voice of Battle,PP,Shaman,1,WILL,1,6,2,Psychic,,,FALSE,,,,
Watcher's Strike,PHB2,Shaman,1,REF,1,8,2,,,,FALSE,,,,
Wrath of Winter,PHB2,Shaman,1,FORT,1,10,2,Cold,,,FALSE,,,,
Acid Orb,PHB2,Sorcerer,1,REF,1,10,2,Acid,,,FALSE,,,,
Arcing Fire,MS,Sorcerer,1,REF,1,8,2,Fire,,,FALSE,,,,
Blazing Starfall,AP,Sorcerer,1,REF,1,4,2,Radiant,,,FALSE,,,,
Burning Spray,PHB2,Sorcerer,1,REF,1,8,2,Fire,,,FALSE,,,,
Chaos Bolt,PHB2,Sorcerer,1,WILL,1,10,2,Psychic,,,FALSE,,,,
Dragonfrost,PHB2,Sorcerer,1,FORT,1,8,2,Cold,,,FALSE,,,,
Energy Strobe,DRMZ,Sorcerer,1,REF,1,10,2,,,,FALSE,,,,
Ensorcelled Blade,DRMZ,Sorcerer,1,AC,1,w,2,,,,TRUE,,,,
Lightning Strike,AP,Sorcerer,1,REF,1,8,2,Lightning,,,FALSE,,,,
Storm Walk,PHB2,Sorcerer,1,FORT,1,8,2,Thunder,,,FALSE,,,,
Booming Blade,FR,Swordmage,1,AC,1,w,2,Thunder,,,TRUE,,,,
Frigid Blade,FR,Swordmage,1,AC,1,w,2,Cold,,,TRUE,,,,
Frostwind Blade,MS,Swordmage,1,AC,1,w,2,Cold,,,TRUE,,,,
Greenflame Blade,FR,Swordmage,1,AC,1,w,2,Fire,,,TRUE,,,,
Lightning Lure,FR,Swordmage,1,FORT,1,6,2,Lightning,,,FALSE,,,,
Luring Strike,AP,Swordmage,1,AC,1,w,2,,,,TRUE,,,,
Sword Burst,FR,Swordmage,1,REF,1,6,2,Force,,,FALSE,,,,
Earth Shield Strike,PHB2,Warden,1,AC,1,w,2,,,,TRUE,,,,
Playful Torment,DRMZ,Warden,1,AC,1,w,2,,,,TRUE,,,,
Resilience of Life,PP,Warden,1,AC,1,w,2,,,,TRUE,,,,
Strength of Stone,PHB2,Warden,1,AC,1,w,2,,,,TRUE,,,,
Tempest Assault,PP,Warden,1,AC,1,w,2,Lightning,,,TRUE,,,,
Thorn Strike,PHB2,Warden,1,AC,1,w,2,,,,TRUE,,,,
Warden's Lunge,DRMZ,Warden,1,AC,1,w,2,,,,TRUE,,,,
Weight of Earth,PHB2,Warden,1,AC,1,w,2,,,,TRUE,,,,
Dire Radiance,PHB,Warlock,1,FORT,1,6,2,Radiant,,,FALSE,,,,
Eldritch Blast,PHB,Warlock,1,REF,1,10,2,,,,FALSE,,,,
Eldritch Bolt,HFK,Warlock,1,REF,1,10,2,Force,,,FALSE,,,,
Eldritch Strike,MS,Warlock,1,AC,1,w,2,,,,TRUE,,,,
Eyebite,PHB,Warlock,1,WILL,1,6,2,Psychic,,,FALSE,,,,
Eyes of the Vestige,AP,Warlock,1,WILL,1,6,2,Psychic,,,FALSE,,,,
Gift to Avernus,DRMZ,Warlock,1,REF,1,10,2,,,,FALSE,,,,
Hand of Blight,DSCS,Warlock,1,FORT,1,8,2,Necrotic,Psychic,,TRUE,,,,
Hellish Rebuke,PHB,Warlock,1,REF,1,6,2,Fire,,,FALSE,,,,
Icy Skewer,HFK,Warlock,1,AC,1,w,2,,,,TRUE,,,,
Moonfire Blade,DRMZ,Warlock,1,REF,1,w,2,,,,TRUE,,,,
Resplendent Blade,DRMZ,Warlock,1,AC,1,w,2,,,,TRUE,,,,
Soul Eater,HFK,Warlock,1,AC,1,w,2,,,,TRUE,,,,
Spiteful Glamor,FR,Warlock,1,WILL,1,8,2,Psychic,,,FALSE,,,,
Brash Assault,MP,Warlord,1,AC,1,w,2,,,,TRUE,,,,
Commander's Strike,PHB,Warlord,1,AC,,,,,,add 0,FALSE,,,,
Direct the Strike,MP2,Warlord,1,,,,,,,ally basic,FALSE,,,,
Furious Smash,PHB,Warlord,1,FORT,0,w,0,,,,TRUE,,,,
Inevitable Wave,MS,Warlord,1,AC,1,w,2,,,,TRUE,,,,
Intuitive Strike,MP2,Warlord,1,WILL,1,w,2,,,,TRUE,,,,
Opening Shove,MP,Warlord,1,REF,0,w,0,,,,TRUE,,,,
Paint the Bull's Eye,MP2,Warlord,1,AC,1,w,2,,,,FALSE,,,,
Risky Shot,MP2,Warlord,1,AC,1,w,2,,,,FALSE,,,,
Rousing Assault,MS,Warlord,1,AC,1,w,2,,,,TRUE,,,,
Viper's Strike,PHB,Warlord,1,AC,1,w,2,,,,TRUE,,,,
Wolf Pack Tactics,PHB,Warlord,1,AC,1,w,2,,,,TRUE,,,,
Acid Pool,QB,Wizard,1,REF,1,6,2,,,,FALSE,,,,
Adder's Bite,QB,Wizard,1,FORT,1,6,2,,,,FALSE,,,,
Arc Lightning,HFL,Wizard,1,REF,1,6,2,Lightning,,,FALSE,,,,
Beguiling Strands,HFL,Wizard,1,WILL,0,0,0,Psychic,,,FALSE,,,,
Chilling Cloud,MS,Wizard,1,FORT,0,0,0,Cold,,,FALSE,,,,
Cloud of Daggers,PHB,Wizard,1,REF,1,6,2,Force,,,FALSE,,,,
Cunning Thrust,QB,Wizard,1,WILL,1,w,2,,,,FALSE,,,,
Death's Breath,QB,Wizard,1,FORT,1,6,2,,,,FALSE,,,,
Electrocution,QB,Wizard,1,REF,1,8,2,,,,FALSE,,,,
Erupting Flare,DRMZ,Wizard,1,FORT,1,10,2,Fire,,,FALSE,,,,
Freezing Burst,HFL,Wizard,1,REF,1,6,2,Cold,,,FALSE,,,,
Illusory Ambush,AP,Wizard,1,WILL,1,6,2,Psychic,,,FALSE,,,,
Hypnotism,HFL,Wizard,1,WILL,0,0,0,,,choice,FALSE,,,,
Magic Missile,PHB,Wizard,1,REF,0,0,0,Force,,,FALSE,,,,
Mind Assault,QB,Wizard,1,WILL,1,6,2,,,,FALSE,,,,
Nightmare Eruption,DRMZ,Wizard,1,WILL,1,8,2,Psychic,,,FALSE,,,,
Phantasmal Assault,HFL,Wizard,1,WILL,1,8,2,Psychic,,,FALSE,,,,
Phantom Bolt,AP,Wizard,1,WILL,1,8,2,Psychic,,,FALSE,,,,
Phantom Cage,HFL,Wizard,1,WILL,1,8,2,Psychic,,,FALSE,,,,
Ray of Frost,PHB,Wizard,1,FORT,1,6,2,Cold,,,FALSE,,,,
Revealing Light,QB,Wizard,1,REF,1,6,2,,,,FALSE,,,,
Scorching Burst,PHB,Wizard,1,REF,1,6,2,Fire,,,FALSE,,,,
Storm Pillar,AP,Wizard,1,,1,6,2,Lightning,,,FALSE,,,,
Thunderwave,PHB,Wizard,1,FORT,1,6,2,Thunder,,,FALSE,,,,
Winged Horde,DRMZ,Wizard,1,WILL,1,6,2,Psychic,,,FALSE,,,,
