Name,Type,Class,Level,kind,,,,,,,
On Pain of Death,Daily,Paladin,1,attack,,,,,,,
"One Heart, One Mind",Daily,Paladin,6,utility,,,,,,,
One Stands Alone,Daily,Paladin,9,attack,,,,,,,
Open the Range,Daily,Ranger,10,utility,,,,,,,
Otiluke's Resilient Sphere,Daily,Wizard,15,attack,,,,,,,
Own the Battlefield,Daily,Warlord,22,utility,,,,,,,
Paladin's Judgment,Daily,Paladin,1,attack,,,,,,,
Palest Flames,Daily,Sorcerer,5,attack,,,,,,,
Panacea,Daily,Warden,22,utility,,,,,,,
Phantasmal Assailant,Daily,Wizard,5,attack,,,,,,,
Phantasmal Terrain,Daily,Wizard,2,utility,,,,,,,
Phantom Beast,Daily,Druid,22,utility,,,,,,,
Phantom Chasm,Daily,Wizard,1,attack,,,,,,,
Phantom Structure,Daily,Artificer,6,utility,,,,,,,
Pin the Foe,Daily,Warlord,1,attack,,,,,,,
Platinum Scales,Daily,Sorcerer,22,utility,,,,,,,
Powerful Faith,Daily,Paladin,29,attack,,,,,,,
Predatory Shards,Daily,Artificer,5,attack,,,,,,,
Primal Archetype,Daily,Druid,29,attack,,,,,,,
Primal Bear,Daily,Druid,19,attack,,,,,,,
Primal Instict,Daily,Barbarian,22,utility,,,,,,,
Primal Resistance,Daily,Barbarian,16,utility,,,,,,,
Primal Restoration,Daily,Druid,16,utility,,,,,,,
Primal Storm,Daily,Druid,25,attack,,,,,,,
Primal Tiger,Daily,Druid,25,attack,,,,,,,
Primal Vigor,Daily,Barbarian,22,utility,,,,,,,
Primal Vitality,Daily,Barbarian,2,utility,,,,,,,
Primal Wolf,Daily,Druid,9,attack,,,,,,,
Primal Wolverine,Daily,Druid,5,attack,,,,,,,
Prime the Fire,Daily,Sorcerer,9,attack,,,,,,,
Prismatic Beams,Daily,Wizard,15,attack,,,,,,,
Prismatic Explosion,Daily,Sorcerer,19,attack,,,,,,,
Prismatic Spray,Daily,Wizard,25,attack,,,,,,,
Prismatic Storm,Daily,Sorcerer,29,attack,,,,,,,
Purging Flame,Daily,Invoker,1,attack,,,,,,,
Purify,Daily,Cleric,22,utility,,,,,,,
Purifying Fire,Daily,Cleric,15,attack,,,,,,,
Quick Steel Dance,Daily,Bard,15,attack,,,,,,,
Quick Step,Daily,Warlord,6,utility,,,,,,,
Racking Invocation of Pain,Daily,Invoker,25,attack,,,,,,,
Radiant Delirium,Daily,Paladin,1,attack,,,,,,,
Radiant Pulse,Daily,Paladin,9,attack,,,,,,,
Rage Drake's Frenzy,Daily,Barbarian,1,attack,,,,,,,
Rage of the Primal Beast,Daily,Barbarian,29,attack,,,,,,,
Raging Storm Spirit,Daily,Shaman,9,attack,,,,,,,
Rain of Colorless Fire,Daily,Invoker,25,attack,,,,,,,
Rain of Steel,Daily,Fighter,5,attack,,,,,,,
Raise the Stakes,Daily,Rogue,16,utility,,,,,,,
Raven's Glamor,Daily,Warlock,22,utility,,,,,,,
Reaper's Stance,Daily,Fighter,25,attack,,,,,,,
Reaving Strike,Daily,Fighter,19,attack,,,,,,,
Reeling Torment,Daily,Sorcerer,5,attack,,,,,,,
Regeneration Infusion,Daily,Artificer,6,utility,,,,,,,
Reign of Terror,Daily,Fighter,25,attack,,,,,,,
Relentless Assault,Daily,Warlord,25,attack,,,,,,,
Renew the Troops,Daily,Warlord,15,attack,,,,,,,
Renewal,Daily,Warden,22,utility,,,,,,,
Renewing Strike,Daily,Avenger,1,attack,,,,,,,
Resistance,Daily,Wizard,10,utility,,,,,,,
Restorative Infusion,Daily,Artificer,2,utility,,,,,,,
Returning Strength,Daily,Warden,10,utility,,,,,,,
Revitalizing Pounce,Daily,Druid,15,attack,,,,,,,
Righteous Inferno,Daily,Paladin,19,attack,,,,,,,
Ring of Torment,Daily,Warlock,25,attack,,,,,,,
River of Life,Daily,Avenger,10,utility,,,,,,,
Roar of Terror,Daily,Druid,5,attack,,,,,,,
Rock Shield Spirits,Daily,Shaman,10,utility,,,,,,,
Rune of Peace,Daily,Cleric,5,attack,,,,,,,
Sacred Circle,Daily,Paladin,2,utility,,,,,,,
Sacred Word,Daily,Cleric,25,attack,,,,,,,
Satire of Bravery,Daily,Bard,5,attack,,,,,,,
Satire of Leadership,Daily,Bard,29,attack,,,,,,,
Satire of Prowess,Daily,Bard,19,attack,,,,,,,
Savage Frenzy,Daily,Druid,1,attack,,,,,,,
Scintilliating Starburst,Daily,Sorcerer,15,attack,,,,,,,
Sea of Serpents,Daily,Shaman,29,attack,,,,,,,
Seal of Blinding,Daily,Cleric,25,attack,,,,,,,
Seal of Protection,Daily,Cleric,25,attack,,,,,,,
Seal of Warding,Daily,Cleric,15,attack,,,,,,,
Searing Orb,Daily,Invoker,5,attack,,,,,,,
Searing Wind of the South,Daily,Shaman,15,attack,,,,,,,
Serpent Dance Strike,Daily,Fighter,15,attack,,,,,,,
Serpentine Blast,Daily,Sorcerer,5,attack,,,,,,,
Shadow Form,Daily,warlock,10,utility,,,,,,,
Shared Endurance,Daily,Invoker,6,utility,,,,,,,
Shared Sorcery,Daily,Sorcerer,22,utility,,,,,,,
Shield of Faith,Daily,Cleric,2,utility,,,,,,,
Shield of Stone,Daily,Warden,10,utility,,,,,,,
Shielding Shades,Daily,warlock,10,utility,,,,,,,
Shift the Battlefield,Daily,Fighter,9,attack,,,,,,,
Shroud of Black Steel,Daily,Warlock,6,utility,,,,,,,
Shroud of Warning,Daily,Invoker,2,utility,,,,,,,
Sigil of Carceri,Daily,Avenger,15,attack,,,,,,,
Sigil of Damnation,Daily,Avenger,25,attack,,,,,,,
Sigils of Shadow Tendrils,Daily,Artificer,29,attack,,,,,,,
Sign of Vulnerability,Daily,Paladin,5,attack,,,,,,,
Silver Phoenix Rage,Daily,Barbarian,5,attack,,,,,,,
Skilled Companion,Daily,Ranger,6,utility,,,,,,,
Skittering Sneak,Daily,Druid,2,utility,,,,,,,
Sky Talon,Daily,Druid,22,utility,,,,,,,
Slashing Claws,Daily,Druid,15,attack,,,,,,,
Slayer's Song,Daily,Bard,1,attack,,,,,,,
Slaying Strike,Daily,Rogue,15,attack,,,,,,,
Sleep,Daily,Wizard,1,attack,,,,,,,
Snake's Retreat,Daily,Rogue,19,attack,,,,,,,
Song of Courage,Daily,Bard,2,utility,,,,,,,
Song of Defense,Daily,Bard,2,utility,,,,,,,
Song of Discord,Daily,Bard,5,attack,,,,,,,
Song of Sublime Snowfall,Daily,Bard,16,utility,,,,,,,
Song of Transition,Daily,Bard,22,utility,,,,,,,
Spectral Hound,Daily,Wizard,6,utility,,,,,,,
Spellbind,Daily,Bard,29,attack,,,,,,,
Spirit of Autumn's Reaping,Daily,Shaman,9,attack,,,,,,,
Spirit of Dawn,Daily,Shaman,6,utility,,,,,,,
Spirit of Health,Daily,Cleric,22,utility,,,,,,,
Spirit of Life,Daily,Shaman,2,utility,,,,,,,
Spirit of the Hawk's Wind,Daily,Shaman,5,attack,,,,,,,
Spirit of the Healing Flood,Daily,Shaman,1,attack,,,,,,,
Spirit of the Keeper,Daily,Shaman,6,utility,,,,,,,
Spirit of the Laughing Wanderer,Daily,Shaman,25,attack,,,,,,,
Spirit of the Shield Breaker,Daily,Shaman,19,attack,,,,,,,
Spirit of the Shielding Fire,Daily,Shaman,5,attack,,,,,,,
Spirit of the Unbroken Vow,Daily,Shaman,29,attack,,,,,,,
Spirit of the Wolf Pack,Daily,Shaman,15,attack,,,,,,,
Spirit of the World Healer,Daily,Shaman,22,utility,,,,,,,
Spirit of the World Serpent,Daily,Shaman,25,attack,,,,,,,
Spirit Summons,Daily,Shaman,10,utility,,,,,,,
Spirits of Battle,Daily,Shaman,2,utility,,,,,,,
Spirits of Mist,Daily,Shaman,29,attack,,,,,,,
Spirits of the Dancing Zephir,Daily,Shaman,16,utility,,,,,,,
Spirits of the Shadowed Moon,Daily,Shaman,10,utility,,,,,,,
Spiritual Weapon,Daily,Cleric,5,attack,,,,,,,
Spitfire Furnace,Daily,Sorcerer,15,attack,,,,,,,
Splintering Shot,Daily,Ranger,5,attack,,,,,,,
Split Strike,Daily,Sorcerer,19,attack,,,,,,,
Split the Tree,Daily,Ranger,1,attack,,,,,,,
Spray of Arrows,Daily,Ranger,9,attack,,,,,,,
Spur the Cycle,Daily,Barbarian,16,utility,,,,,,,
Staggering Blast,Daily,Sorcerer,9,attack,,,,,,,
Stalker's Eyes,Daily,Druid,6,utility,,,,,,,
Stalwart Guard,Daily,Fighter,10,utility,,,,,,,
Stand Invincible,Daily,Warlord,29,attack,,,,,,,
Stand the Fallen,Daily,Warlord,5,attack,,,,,,,
Stand Tough,Daily,Warlord,6,utility,,,,,,,
Stinking Cloud,Daily,Wizard,5,attack,,,,,,,
Stir the Hornet's Nest,Daily,Warlord,25,attack,,,,,,,
Stirring Shout,Daily,Bard,1,attack,,,,,,,
Stone Bear Rage,Daily,Barbarian,9,attack,,,,,,,
Stone Tempest Rage,Daily,Barbarian,25,attack,,,,,,,
Stoneskin,Daily,Wizard,16,utility,,,,,,,
Storm Drake Rage,Daily,Barbarian,19,attack,,,,,,,
Storm Guardian Spirit,Daily,Shaman,15,attack,,,,,,,
Storm of Destruction,Daily,Fighter,29,attack,,,,,,,
Storm Strike,Daily,Warden,5,attack,,,,,,,
Strangling Rope,Daily,Artificer,19,attack,,,,,,,
Strike of the Watchful Guard,Daily,Fighter,19,attack,,,,,,,
Stunning Steel,Daily,Ranger,15,attack,,,,,,,
Sudden Strike,Daily,Ranger,1,attack,,,,,,,
Summon Angel of Fire,Daily,Invoker,1,attack,,,,,,,
Summon Angel of Light,Daily,Invoker,19,attack,,,,,,,
Summon Angel of Victory,Daily,Invoker,29,attack,,,,,,,
Summon Blade Angel,Daily,Invoker,9,attack,,,,,,,
Summons of Khirad,Daily,Warlock,9,attack,,,,,,,
Sunbeam,Daily,Druid,9,attack,,,,,,,
Supremacy of Steel,Daily,Fighter,25,attack,,,,,,,
Swift Panther Rage,Daily,Barbarian,1,attack,,,,,,,
Swirling Leaves of Steel,Daily,Ranger,9,attack,,,,,,,
Symbol of Hope,Daily,Invoker,6,utility,,,,,,,
Tactical Shift,Daily,Warlord,10,utility,,,,,,,
Tartarean Tomb,Daily,Warlock,25,attack,,,,,,,
Temple of Light,Daily,Avenger,1,attack,,,,,,,
Temple of Resolution,Daily,Avenger,29,attack,,,,,,,
Temple of Respite,Daily,Avenger,19,attack,,,,,,,
Temple of Shadow,Daily,Avenger,9,attack,,,,,,,
Tendrils of the Fate Weaver,Daily,Shaman,19,attack,,,,,,,
Tendrils of Thuban,Daily,Warlock,15,attack,,,,,,,
Thicket of Blades,Daily,Fighter,9,attack,,,,,,,
Thief of Five Fates,Daily,Warlock,9,attack,,,,,,,
Thirsting Maw,Daily,Warlock,15,attack,,,,,,,
Thirteen Baleful Stars,Daily,Warlock,25,attack,,,,,,,
Three Beacons of Twilight,Daily,Invoker,15,attack,,,,,,,
Three-in-One Shot,Daily,Ranger,29,attack,,,,,,,
Thunder Blade,Daily,Bard,9,attack,,,,,,,
Thunder Hawk Rage,Daily,Barbarian,5,attack,,,,,,,
Thunder Leap,Daily,Sorcerer,5,attack,,,,,,,
Thunder Step,Daily,Warden,5,attack,,,,,,,
Thunderfury Rage,Daily,Barbarian,15,attack,,,,,,,
Thundering Bolts,Daily,Warden,19,attack,,,,,,,
Tiger's Reflex,Daily,Ranger,25,attack,,,,,,,
Time Stop,Daily,Wizard,22,utility,,,,,,,
To the Nine Hells with You,Daily,paladin,25,attack,,,,,,,
Tomb of Magrym,Daily,Invoker,19,attack,,,,,,,
Trick Strike,Daily,Rogue,1,attack,,,,,,,
Trickster's Healing,Daily,Bard,6,utility,,,,,,,
Trio of Biting Blades,Daily,Artificer,25,attack,,,,,,,
Triumphant Vigor,Daily,Warden,2,utility,,,,,,,
True Nemesis,Daily,Paladin,15,attack,,,,,,,
Tune of Ice and Wind,Daily,Bard,5,attack,,,,,,,
Turn the Tide,Daily,Paladin,10,utility,,,,,,,
Turning Point,Daily,Warlord,5,attack,,,,,,,
Two-in-One Shot,Daily,Ranger,19,attack,,,,,,,
Two-Wolf Pounce,Daily,Ranger,5,attack,,,,,,,
undaunted Stride,Daily,Ranger,10,utility,,,,,,,
United in Faith,Daily,Paladin,22,utility,,,,,,,
Unseen Beast,Daily,Druid,22,utility,,,,,,,
Unstoppable,Daily,Fighter,2,utility,,,,,,,
Unstoppable Arrows,Daily,Ranger,25,attack,,,,,,,
Untouched,Daily,Barbarian,22,utility,,,,,,,
Unyielding Avalanche,Daily,Fighter,15,attack,,,,,,,
Unyielding Roots,Daily,Druid,22,utility,,,,,,,
Veil,Daily,Bard,10,utility,,,,,,,
Vengeful Recovery,Daily,Avenger,19,attack,,,,,,,
Vengeful Revenant,Daily,Avenger,16,utility,,,,,,,
Vengeful Storm Rage,Daily,Barbarian,5,attack,,,,,,,
Verdant Life,Daily,Warden,16,utility,,,,,,,
Verse of Triumph,Daily,Bard,1,attack,,,,,,,
Victorious Surge,Daily,Fighter,9,attack,,,,,,,
Victory Surge,Daily,Warlord,19,attack,,,,,,,
Villain's Menace,Daily,Fighter,1,attack,,,,,,,
Villain's Nightmare,Daily,Warlord,5,attack,,,,,,,
Vision Distortion,Daily,Bard,25,attack,,,,,,,
Visions of Paradise,Daily,Invoker,9,attack,,,,,,,
Walk Between Worlds,Daily,Invoker,16,utility,,,,,,,
Walking Wounded,Daily,Rogue,5,attack,,,,,,,
Wall of Blades,Daily,Invoker,15,attack,,,,,,,
Wall of Fire,Daily,Wizard,9,attack,,,,,,,
Wall of Fog,Daily,Wizard,6,utility,,,,,,,
Wall of Ice,Daily,Wizard,15,attack,,,,,,,
Wall of Light,Daily,Invoker,2,utility,,,,,,,
Wall of Stone,Daily,Druid,16,utility,,,,,,,
Wall of Thorns,Daily,Druid,5,attack,,,,,,,
War Chieftain's Blessing,Daily,Shaman,5,attack,,,,,,,
Ward of Divine Light,Daily,Invoker,22,utility,,,,,,,
Warding Vines,Daily,Warden,10,utility,,,,,,,
Warlock's Leap,Daily,Warlock,10,utility,,,,,,,
Warlord's Gambit,Daily,Warlord,15,attack,,,,,,,
Weapon of the Gods,Daily,Cleric,5,attack,,,,,,,
Weave a Web of Steel,Daily,Ranger,29,attack,,,,,,,
Web,Daily,Wizard,5,attack,,,,,,,
Wellspring of Life,Daily,Warden,22,utility,,,,,,,
Western Wind of Storms,Daily,Shaman,25,attack,,,,,,,
White Raven Onslaught,Daily,Warlord,1,attack,,,,,,,
White Raven Strike,Daily,Warlord,9,attack,,,,,,,
White Raven's Call,Daily,Warlord,25,attack,,,,,,,
White Tiger Rage,Daily,Barbarian,9,attack,,,,,,,
Wind Prison,Daily,Druid,1,attack,,,,,,,
Windmill of Doom,Daily,Warlord,19,attack,,,,,,,
Wings of the Fiend,Daily,Warlock,22,utility,,,,,,,
Winter Ghost Rage,Daily,Barbarian,29,attack,,,,,,,
Winter Hailstorm,Daily,Druid,19,attack,,,,,,,
Winter Phoenix Rage,Daily,Barbarian,19,attack,,,,,,,
Winter Storm,Daily,Druid,10,utility,,,,,,,
Winter's Grip,Daily,Warden,5,attack,,,,,,,
Word of Life,Daily,Bard,10,utility,,,,,,,
Word of Mystic Warding,Daily,Bard,5,attack,,,,,,,
Word of the Gods,Daily,Invoker,29,attack,,,,,,,
Words of Chaos,Daily,Sorcerer,25,attack,,,,,,,
World Serpent Rage,Daily,Barbarian,29,attack,,,,,,,
Wounding Whirlwind,Daily,Ranger,19,attack,,,,,,,
Wrath of Acamar,Daily,Warlock,19,attack,,,,,,,
Wrath of the Divine,Daily,Avenger,6,utility,,,,,,,
Wrath of the Gods,Daily,Paladin,6,utility,,,,,,,
Wrath of the Spirit World,Daily,Shaman,1,attack,,,,,,,
Acid Storm,Encounter,Wizard,23,attack,,,,,,,
Adamantine Strike,Encounter,Fighter,27,attack,,,,,,,
Aid the Injured,Encounter,Warlord,2,utility,,,,,,,
All Must Sacrifice,Encounter,Warlock,13,attack,,,,,,,
Altered Luck,Encounter,Artificer,3,attack,,,,,,,
Angelic Alacrity,Encounter,Avenger,1,attack,,,,,,,
Angelic Visage,Encounter,Invoker,10,utility,,,,,,,
Anvil of Doom,Encounter,Fighter,13,attack,,,,,,,
Arc of the Righteous,Encounter,Cleric,13,attack,,,,,,,
Arcing Smite,Encounter,Paladin,3,attack,,,,,,,
Arcing Throw,Encounter,Barbarian,23,attack,,,,,,,
Armor of Acid,Encounter,Artificer,23,attack,,,,,,,
Armor Splinter,Encounter,Ranger,13,attack,,,,,,,
Armor-Piercing Thrust,Encounter,Fighter,3,attack,,,,,,,
Arrow of Vengeance,Encounter,Ranger,17,attack,,,,,,,
Aspect of Agility,Encounter,Avenger,6,utility,,,,,,,
Astral blades of Death,Encounter,Cleric,23,attack,,,,,,,
Astral Charge,Encounter,Avenger,27,attack,,,,,,,
Astral Cloak,Encounter,Avenger,16,utility,,,,,,,
Astral Fury,Encounter,Avenger,17,attack,,,,,,,
Astral Shield,Encounter,Cleric,16,utility,,,,,,,
Astral Terror,Encounter,Invoker,1,attack,,,,,,,
Avalanche Strike,Encounter,Barbarian,1,attack,,,,,,,
Avenger's Shield,Encounter,Avenger,23,attack,,,,,,,
Avenging Echo,Encounter,Avenger,1,attack,,,,,,,
Avenging Winds,Encounter,Avenger,7,attack,,,,,,,
Awe Strike,Encounter,Cleric,7,attack,,,,,,,
Bait and Switch,Encounter,Rogue,3,attack,,,,,,,
Baleful Eye of Judgment,Encounter,Invoker,7,attack,,,,,,,
Banish to the Void,Encounter,Warlock,27,attack,,,,,,,
Barbed Automaton,Encounter,Artificer,13,attack,,,,,,,
Barkskin,Encounter,Druid,2,utility,,,,,,,
Bastion of Health,Encounter,Cleric,6,utility,,,,,,,
Battering Claws,Encounter,Druid,3,attack,,,,,,,
Beat Them into the Ground,Encounter,Warlord,13,attack,,,,,,,
Beckon Foe,Encounter,Paladin,7,attack,,,,,,,
Bedeviling Burst,Encounter,Sorcerer,1,attack,,,,,,,
Beguiling Tongue,Encounter,Warlock,2,utility,,,,,,,
Bening Transposition,Encounter,Paladin,7,attack,,,,,,,
Berserker's Shout,Encounter,Barbarian,23,attack,,,,,,,
Bewitching Whispers,Encounter,Warlock,13,attack,,,,,,,
Black Breath,Encounter,Sorcerer,23,attack,,,,,,,
Black Fire,Encounter,Wizard,27,attack,,,,,,,
Blade Step,Encounter,Avenger,7,attack,,,,,,,
Blade Sweep,Encounter,Barbarian,3,attack,,,,,,,
Blade Ward,Encounter,Ranger,23,attack,,,,,,,
Blade Whirlwind,Encounter,Barbarian,13,attack,,,,,,,
Blades of Astral Fire,Encounter,Invoker,1,attack,,,,,,,
Blastback Swipe,Encounter,Swordmage,3,attack,,,,,,,
Blazing Beacon,Encounter,Cleric,3,attack,,,,,,,
Blinding Light,Encounter,Cleric,17,attack,,,,,,,
Blinding Smite,Encounter,Paladin,27,attack,,,,,,,
Blood Debt,Encounter,Invoker,17,attack,,,,,,,
Blood Reaper Spirits,Encounter,Shaman,27,attack,,,,,,,
Blood Strike,Encounter,Barbarian,3,attack,,,,,,,
Blood Wrath,Encounter,Barbarian,27,attack,,,,,,,
Bloodletting,Encounter,Barbarian,1,attack,,,,,,,
Blunder,Encounter,Bard,1,attack,,,,,,,
Bolstering Blow,Encounter,Warlord,13,attack,,,,,,,
Bolt of the Rising Sun,Encounter,Invoker,7,attack,,,,,,,
Bond of Justice,Encounter,Avenger,23,attack,,,,,,,
Bond of Malediction,Encounter,Bard,27,attack,,,,,,,
Bonds of the Clan,Encounter,Shaman,2,utility,,,,,,,
Bonebreaker,Encounter,Barbarian,27,attack,,,,,,,
Brand of Judgment,Encounter,Paladin,27,attack,,,,,,,
Break the Spirit,Encounter,Cleric,7,attack,,,,,,,
Breath of the Desert Dragon,Encounter,Sorcerer,16,utility,,,,,,,
Breath of Winter,Encounter,Sorcerer,17,attack,,,,,,,
Bulwark of Defiance,Encounter,Avenger,16,utility,,,,,,,
Burning Hands,Encounter,Wizard,1,attack,,,,,,,
Burst of Earth Fury,Encounter,Warden,3,attack,,,,,,,
Butcher's Feast,Encounter,Barbarian,27,attack,,,,,,,
Cage of Chains,Encounter,Fighter,23,attack,,,,,,,
Call Forth the Harvest,Encounter,Warden,17,attack,,,,,,,
Call Lightning,Encounter,Druid,3,attack,,,,,,,
Call to the Ancestral Warrior,Encounter,Shaman,1,attack,,,,,,,
Call to the Ancient Defender,Encounter,Shaman,1,attack,,,,,,,
Call to the Blood Dancer,Encounter,Shaman,7,attack,,,,,,,
Call to the Cleansing Fire,Encounter,Shaman,27,attack,,,,,,,
Call to the Great Hunter,Encounter,Shaman,27,attack,,,,,,,
Call to the Howling Storm,Encounter,Shaman,7,attack,,,,,,,
Call to the Indomitable Defender,Encounter,Shaman,13,attack,,,,,,,
Call to the Lashing Behemont,Encounter,Shaman,17,attack,,,,,,,
Call to the Laughing Fortune,Encounter,Shaman,13,attack,,,,,,,
Call to the Primal Protector,Encounter,Shaman,23,attack,,,,,,,
Call to the Relentless Hunter,Encounter,Shaman,23,attack,,,,,,,
Call to the Savage Elder,Encounter,Shaman,3,attack,,,,,,,
Camouflage Cloak,Encounter,Druid,6,utility,,,,,,,
Cascade of Five Suns,Encounter,Invoker,23,attack,,,,,,,
Cause Fear,Encounter,Cleric,1,attack,,,,,,,
Chain Lighting,Encounter,Wizard,23,attack,,,,,,,
Chains of Carceri,Encounter,Invoker,3,attack,,,,,,,
Chains of Fire,Encounter,Sorcerer,13,attack,,,,,,,
Chains of Sorrow,Encounter,Fighter,13,attack,,,,,,,
Channel Endurance,Encounter,Avenger,10,utility,,,,,,,
Chaos Orbs,Encounter,Sorcerer,23,attack,,,,,,,
Chaos Sanctuary,Encounter,Sorcerer,16,utility,,,,,,,
Chaos Storm,Encounter,Sorcerer,7,attack,,,,,,,
Charger's Call,Encounter,Bard,3,attack,,,,,,,
Cheetah's Rake,Encounter,Ranger,17,attack,,,,,,,
Chill Strike,Encounter,Wizard,1,attack,,,,,,,
Chilling Blow,Encounter,Swordmage,1,attack,,,,,,,
Chimera Battlestrike,Encounter,Warlord,27,attack,,,,,,,
Claws of Retribution,Encounter,Druid,13,attack,,,,,,,
Claws of the Griffon,Encounter,Ranger,7,attack,,,,,,,
Cleansing Earth,Encounter,Warden,16,utility,,,,,,,
Cleansing Spirit,Encounter,Paladin,10,utility,,,,,,,
Cloak of Shadow,Encounter,warlock,16,utility,,,,,,,
Cloak of Thorns,Encounter,Ranger,23,attack,,,,,,,
Cloud Jump,Encounter,Rogue,22,utility,,,,,,,
Cloud of Souls,Encounter,Avenger,13,attack,,,,,,,
Cloud of Steel,Encounter,Rogue,7,attack,,,,,,,
Coldfire Vortex,Encounter,Warlock,13,attack,,,,,,,
Color Spray,Encounter,Wizard,3,attack,,,,,,,
Combat Sprint,Encounter,Barbarian,2,utility,,,,,,,
Combust,Encounter,Wizard,17,attack,,,,,,,
Come and Get It,Encounter,Fighter,7,attack,,,,,,,
Command,Encounter,Cleric,3,attack,,,,,,,
Compel Attention,Encounter,Invoker,13,attack,,,,,,,
Confusion,Encounter,Wizard,27,attack,,,,,,,
Covering Attack,Encounter,fighter,1,attack,,,,,,,
Crack the Skull,Encounter,Barbarian,13,attack,,,,,,,
Crater Fall,Encounter,Barbarian,23,attack,,,,,,,
Crecendo of Violence,Encounter,Warlord,2,utility,,,,,,,
Creeper's Grasp,Encounter,Warden,13,attack,,,,,,,
Crucial Advice,Encounter,Ranger,2,utility,,,,,,,
Cruel Reaper,Encounter,Fighter,27,attack,,,,,,,
Crushing Blow,Encounter,Fighter,3,attack,,,,,,,
Crushing Sphere,Encounter,Sorcerer,7,attack,,,,,,,
Crushing Titan's Fist,Encounter,Wizard,17,attack,,,,,,,
Cull the Herd,Encounter,Druid,1,attack,,,,,,,
Cunning Ferocity,Encounter,Bard,3,attack,,,,,,,
Curse of Haemnathuun,Encounter,Invoker,17,attack,,,,,,,
Curse of the Fey King,Encounter,Warlock,27,attack,,,,,,,
Cursebite,Encounter,Warlock,1,attack,,,,,,,
Curtain of Steel,Encounter,Barbarian,7,attack,,,,,,,
Cut and Run,Encounter,Ranger,3,attack,,,,,,,
Dance of Death,Encounter,Rogue,27,attack,,,,,,,
Dance of Steel,Encounter,Fighter,3,attack,,,,,,,
Dancing Lightning,Encounter,Sorcerer,3,attack,,,,,,,
Dangerous Theft,Encounter,Rogue,10,utility,,,,,,,
Daring Charge,Encounter,Barbarian,3,attack,,,,,,,
Dark Transport,Encounter,Warlock,23,attack,,,,,,,
Darkest Mirror,Encounter,Warlock,10,utility,,,,,,,
Darting Bite,Encounter,Druid,1,attack,,,,,,,
Daunting Light,Encounter,Cleric,3,attack,,,,,,,
Dazing Strike,Encounter,Rogue,1,attack,,,,,,,
Dazzling Acrobatics,Encounter,Rogue,22,utility,,,,,,,
Death Rend,Encounter,Ranger,27,attack,,,,,,,
Death Stroke,Encounter,Avenger,27,attack,,,,,,,
Deflect Attention,Encounter,Bard,7,attack,,,,,,,
Deflecting Thunder,Encounter,Avenger,3,attack,,,,,,,
Deific Vengeance,Encounter,Paladin,27,attack,,,,,,,
Demand Justice,Encounter,Invoker,6,utility,,,,,,,
Denying Smite,Encounter,Warlord,13,attack,,,,,,,
Devastating Blow,Encounter,Barbarian,17,attack,,,,,,,
Devastating Charge,Encounter,Warlord,27,attack,,,,,,,
Diabolic Grasp,Encounter,Warlock,1,attack,,,,,,,
Diamond Shield Defense,Encounter,Fighter,27,attack,,,,,,,
Dimensional Warp,Encounter,Swordmage,2,utility,,,,,,,
Dire Wolverine Strike,Encounter,Ranger,1,attack,,,,,,,
Displacement,Encounter,Wizard,16,utility,,,,,,,
Disruptive Strike,Encounter,Ranger,3,attack,,,,,,,
Dissonant Strain,Encounter,Bard,3,attack,,,,,,,
Distracting Shout,Encounter,Bard,7,attack,,,,,,,
Divine Aid,Encounter,Cleric,2,utility,,,,,,,
Divine Call,Encounter,Invoker,2,utility,,,,,,,
Divine Censure,Encounter,Cleric,23,attack,,,,,,,
Divine Glow,Encounter,Cleric,1,attack,,,,,,,
Divine Reverence,Encounter,Paladin,7,attack,,,,,,,
Draconic Majesty,Encounter,Sorcerer,16,utility,,,,,,,
Dragon Fear,Encounter,Sorcerer,22,utility,,,,,,,
Dragon Tail Meditation,Encounter,Sorcerer,17,attack,,,,,,,
Dragon Tail Strike,Encounter,Rogue,17,attack,,,,,,,
Dragonflame Mantle,Encounter,Sorcerer,2,utility,,,,,,,
Dreadful Word,Encounter,Warlock,1,attack,,,,,,,
Eager Vine Strike,Encounter,Warden,17,attack,,,,,,,
Earth Gift,Encounter,Warden,7,attack,,,,,,,
Earth Hold's Rebuke,Encounter,Warden,17,attack,,,,,,,
Earth Spikes,Encounter,Warden,1,attack,,,,,,,
Earth Tomb,Encounter,Warden,27,attack,,,,,,,
Earthgrasp Strike,Encounter,Warden,3,attack,,,,,,,
Earthquake Strike,Encounter,Bard,13,attack,,,,,,,
Earth's Embrace,Encounter,Artificer,17,attack,,,,,,,
Earthstride,Encounter,Warden,10,utility,,,,,,,
Echoes in Time,Encounter,Bard,23,attack,,,,,,,
Eldritch Rain,Encounter,Warlock,3,attack,,,,,,,
Enemies Abound,Encounter,Wizard,7,attack,,,,,,,
Enervating Smite,Encounter,Paladin,17,attack,,,,,,,
Enmity's Reach,Encounter,Avenger,3,attack,,,,,,,
Entangling Smite,Encounter,Paladin,13,attack,,,,,,,
Enthrall,Encounter,Cleric,17,attack,,,,,,,
Entropic Ward,Encounter,Warlock,22,utility,,,,,,,
Ethereal Stride,Encounter,Warlock,2,utility,,,,,,,
Evasive Strike,Encounter,Ranger,1,attack,,,,,,,
Exacting Strike,Encounter,Fighter,17,attack,,,,,,,
