Slot,Item,Level,Book,Enh,Acrobatics,Arcana,Athletics,Bluff,Diplomacy,Dungeoneering,Endurance,Heal,History,Insight,Intimidate,Nature,Perception,Religion,Stealth,Streetwise,Thievery,Speed,Initiative,Surges,Surge Val,Fortitude,Reflex,Will,AC,Strength,Dexterity,Wisdom,Ranged,Melee,Weapon
Head,Circlet of Clear Thought,18,DRMZ,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,
Head,Circlet of Continuity,11,AV2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Head,Circlet of Indomitability (H),8,AV,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
Head,Circlet of Indomitability (P),18,AV,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,
Head,Circlet of Indomitability (E),28,AV,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,
Head,Circlet of Mental Onslaught,11,AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Head,Circlet of Portals,22,MOTP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Head,Circlet of Rapid Casting,17,AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Head,Circlet of Revelation,10,AV2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Head,Circlet of Second Chances,3,AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Head,Circlet of the Resolute Mind,15,PsP,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
Head,Circlet of the Urbane,23,DRMZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Head,Clockwork Cowl,26,AV,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,
Head,Coif of Focus,21,AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Head,Coif of Mindiron (H),8,AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Head,Coif of Mindiron (P),18,AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Head,Coif of Mindiron (E),28,AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Head,Command Circlet,5,EPG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Head,Crown of Command,17,PHB,,,,,,4,,,,,,4,,,,,,,,,,,,,,,,,,,,
Head,Crown of Doors (H),6,AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Head,Crown of Doors (P),11,AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Head,Crown of Doors (E),16,AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Head,Crown of Equilibrium,12,AV2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Head,Crown of Eyes,17,AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Head,Crown of Infernal Legacy (H),9,AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Head,Crown of Infernal Legacy (P),19,AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Head,Crown of Leaves,7,AV,,,,,,,,,,,2,,2,,,,,,,,,,,,,,,,,,,
Head,Crown of Nature's Rebellion (H),5,AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Head,Crown of Nature's Rebellion (P),15,AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Head,Crown of Nature's Rebellion (E),25,AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Head,Crown of Stuttered Time,28,AV2,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,
Head,Crown of the Brilliant Sun,14,AV2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Head,Crown of the Goliath Champion,12,DRMZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Head,Crown of the World Tree,18,AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Head,Crown of Victory,29,AV2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Head,Crownring of Tchazzar,15,DUMZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Head,Cyclops Helm,18,AV2,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,
Head,Cynic's Goggles,5,AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Head,Diadem of Acuity,8,PHB,,,,,,,,,,,2,,,2,,,,,,,,,,,,,,,,,,
Head,Diadem of Exquisite Communication,13,PsP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Head,Dread Helm,13,AV,,,,,,-2,,,,,,4,,,,,,,,,,,,,,,,,,,,
Head,Eagle Eye Goggles (H),2,AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
Head,Eagle Eye Goggles (P),12,AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Head,Eagle Eye Goggles (E),22,AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Head,Essence of the Wisp,21,AV2,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,
Head,Eye of Awareness,23,AV,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,
Head,Eye of Deception,8,AV,,,,,2,,,,,,,,,,,2,,,,,,,,,,,,,,,,
Head,Eye of Discernment,21,AV,,,,,,,,,,,4,,,4,,,,,,,,,,,,,,,,,,
Head,Eye of the Basilisk,27,AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Head,Eye of the Earthmother,19,AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Head,Eye of Watchfulness,17,DRMZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Head,Eyes of the Deep Dwarf,11,PsP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Head,Eyes of the Dragon,23,DRMZ,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,
Head,Factotum Helm,14,AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Head,Fey-Blessed Circlet,8,AV2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Head,Firebird,27,AV2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Head,Gadgeteer's Goggles,8,AV2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Head,Gaj Headdress,9,DRMZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Head,Gem of Colloquy (H),2,AV,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Head,Gem of Colloquy (P),12,AV,,,,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,
Head,Gibbering Lump (P),20,AV2,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
Head,Gibbering Lump (E),30,AV2,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,
Head,Goggles of Aura Sight,5,AV,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,
Head,Goggles of Night,14,PHB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Head,Goggles of the Bone Collector,9,AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Head,Goggles of the Hawk,17,AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Head,Golden Crown of Battle Command,14,AV2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Head,Grimlock Helm,17,AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Head,Halo of Fallen Stars,25,PHB,,,,,,,,,5,,,,5,,5,,,,,,,,,,,,,,,,,
Head,Hat of Disguise,10,AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Head,Headband of Insight,16,AV,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,
Head,Headband of Intellect (H),10,AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Head,Headband of Intellect (P),20,AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Head,Headband of Intellect (E),30,AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Head,Headband of Perception (H),1,AV,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
Head,Headband of Perception (P),11,AV,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,
Head,Headband of Perception (E),21,AV,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,
Head,Headband of Psychic Attack,16,AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Head,Helm of Able Defense,14,AV2,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
Head,Helm of Battle (H),9,PHB,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
Head,Helm of Battle (P),19,PHB,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,
Head,Helm of Battle (E),29,PHB,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,
Head,Helm of Exemplary Defense,6,AV2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Head,Helm of Ghostly Defense,22,PHB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Head,Helm of Heroes (H),10,PHB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Head,Helm of Heroes (P),20,PHB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Head,Helm of Heroes (E),30,PHB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Head,Helm of Hidden Horrors,16,AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Head,Helm of Opportunity (H),4,AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Head,Helm of Opportunity (P),14,AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Head,Helm of Opportunity (E),24,AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Head,Helm of Swift Punishment,18,AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Head,Helm of the Eagle,12,PHB,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,
Head,Helm of the Flamewarped,10,AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Head,Helm of the Mental Juggernaut,14,PsP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Head,Helm of the Stubborn Mind,4,AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Head,Helm of Vigilant Awareness,7,AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Head,Helm of Vision Unclouded,11,AV2,,,,,,,,,,,2,,,2,,,,,,,,,,,,,,,,,,
Head,Hood of the Wolf,20,DRMZ,,,,,,,,,,,4,4,,4,,,,,,,,,,,,,,,,,,
Head,Horned Helm (H),6,PHB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Head,Horned Helm (P),16,PHB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Head,Horned Helm (E),26,PHB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Head,Hunter's Headband,7,AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Head,Inquisitive's Goggles,12,DRMZ,,,,,,,,,,,#REF!,,,#REF!,,,,,,,,,,,,,,,,,,
Head,Inquisitor's Helm,16,AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Head,Ioun's Flame,24,AV2,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,
Head,Ioun Stone of Adaptation,21,MOTP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Head,Ioun Stone of Perfect Language,22,AV,,,,,5,5,,,,,,5,,,,,5,,,,,,,,,,,,,,,
Head,Ioun Stone of Regeneration,25,AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Head,Ioun Stone of Steadfastness,23,AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Head,Ioun Stone of Sustenance,21,AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Head,Ioun Stone of True Sight,28,PHB,,,,,,,,,,,6,,,6,,,,,,,,,,,,,,,,,,
Head,Iron of Spite,27,PHB,,,6,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,
Head,Laurel Circlet (H),10,AV,,,,,,2,,,,,2,,,,,,,,,,,,,,,,,,,,,
Head,Laurel Circlet (P),20,AV,,,,,,4,,,,,4,,,,,,,,,,,,,,,,,,,,,
Head,Laurel Circlet (E),30,AV,,,,,,6,,,,,6,,,,,,,,,,,,,,,,,,,,,
Head,Lenses of the Luminary,23,AV2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Head,Lion's Claw Gauntlets,5,AV2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Head,Mask of Slithering,11,AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Head,Mask of the Eye Leech,8,DRMZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Head,Mask of the Impish Grin,11,PHRT,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Head,Mask of Tears,16,AV2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Head,Mask of Terror,14,AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Head,Mask of Terrors,14,DRMZ,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,
Head,Mask of the Vengeful Spirit,14,AV2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Head,Matrakk's Lenses,11,AV2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Head,Mirrored Mask,27,AV2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Head,Pennant Helm,14,AV2,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
Head,Philosopher's Crown (H),7,AV2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Head,Philosopher's Crown (P),17,AV2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Head,Philosopher's Crown (E),27,AV2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Head,Phoenix Helm,23,PHB,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,
Head,Phrenic Crown (H),7,AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Head,Phrenic Crown (P),17,AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Head,Phrenic Crown (E),27,AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Head,Phylactery of Divinity,6,AV,,,,,,,,,2,,,,,,2,,,,,,,,,,,,,,,,,
Head,Quickening Diadem,29,AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Head,Reading Spectacles,2,AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Head,Reaper's Helm,15,AV2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Head,Resplendent Circlet,7,AV2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Head,Ruby Lenses,14,DRMZ,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,
Head,Sacred Mask,8,AV2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Head,Savage Mask,6,AV2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Head,Scorpion Mandible Helm,16,DSCS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Head,Shadowdancer's Mask,10,AV2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Head,Skull Helm,12,DRMZ,,,,,,,,2,,,,2,,,,,,,,,,,,,,,,,,,,
Head,Skull Mask (H),5,AV,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
Head,Skull Mask (P),15,AV,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,
Head,Skull Mask (E),25,AV,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,
Head,Stag Helm (H),5,AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Head,Stag Helm (P),15,AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Head,Stag Helm (E),25,AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Head,Starlight Goggles,8,AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Head,Sun Sphere,20,AV2,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
Head,Telepathy Circlet,25,AV,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,
Head,Tenebrous Mask,14,AV2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Head,Trickster's Mask,20,AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Head,Veil of Night,18,DRMZ,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,
Head,Vortex Mask,12,DRMZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Neck,Absence Amulet,12,AV,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Neck,Abyssal Adornment,13,AV,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Neck,Amulet of Adept Movements,15,PsP,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Neck,Amulet of Aranea,15,AV,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Neck,Amulet of Attenuation,14,AV,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Neck,Amulet of Bodily Sanctity,14,AV,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Neck,Amulet of Double Fortune,2,AV2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Neck,Amulet of Elegy,2,AV2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Neck,Amulet of Elusive Prey,14,AV,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Neck,Amulet of False Life,9,PHB,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Neck,Amulet of Health,3,PHB,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Neck,Amulet of Inner Voice,14,AV,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Neck,Amulet of Life,5,DRMZ,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Neck,Amulet of Material Darkness,18,AV,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Neck,Amulet of Mental Resolve,2,AV,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Neck,Amulet of Physical Resolve,2,AV,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Neck,Amulet of Protection,1,PHB,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Neck,Amulet of Psychic Interference,5,DSCS,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Neck,Amulet of Resolution,2,AV,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Neck,Amulet of Scales,13,DRMZ,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Neck,Amulet of Seduction,5,PHRT,1,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Neck,Amulet of the Diplomat,7,DRMZ,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Neck,Amulet of the Unbroken,29,AV,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Neck,Amulet of Vigor,9,AV2,2,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,
Neck,Amulet of Warding,3,AV2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Neck,Assassin's Cloak,14,AV2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Neck,Badge of the Berserker,2,AV2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Neck,Baffling Cape,3,AV2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Neck,Bane's Collar,28,AV2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Neck,Bloodgem Shard,20,AV2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Neck,Bralani Cloak,20,AV2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Neck,Brimstone Cloak,20,MOTP,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Neck,Brooch of No Regrets,3,AV,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Neck,Brooch of Shielding,3,AV,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Neck,Brooch of Vitality,15,AV,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Neck,Cape of the Mountebank,5,AV,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Neck,Chamber Cloak,18,AV,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Neck,Chaos Cloak,14,AV2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Neck,Choker of Eloquence,8,AV,2,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Neck,Clasp of Noble Sacrifice,12,AV,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Neck,Cloak of Arachidna,13,AV,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Neck,Cloak of Autumn's Child,19,AV,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Neck,Cloak of the Bat,14,AV2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Neck,Cloak of Burgeoning Shadow,15,AV2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Neck,Cloak of the Crimson Path,7,AV2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Neck,Cloak of the Desert,13,AV2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Neck,Cloak of Displacement,15,AV,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Neck,Cloak of Distortion,4,AV,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Neck,Cloak of Elemental Evolution,25,AV,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Neck,Cloak of Feywild Escape,20,PHB,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Neck,Cloak of Invisibility,23,PHB,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Neck,Cloak of Resistance,2,PHB,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Neck,Cloak of the Shadowthief,19,AV2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Neck,Cloak of Survival,9,PHB,2,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
Neck,Cloak of the Cautious,9,AV,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Neck,Cloak of the Chirurgeon,3,AV,1,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
Neck,Cloak of the Lion's Mane,4,AV2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Neck,Cloak of the Phoenix,30,AV,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Neck,Cloak of the Walking Wounded,4,AV,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Neck,Cloak of Translocation,9,AV2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Neck,Collar of Recovery,4,AV,1,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,
Neck,Courtier's Cape,8,AV2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Neck,Crimson Cloak,14,AV2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Neck,Death-Defying Cloak,24,AV,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Neck,Deep-Pocket Cloak,7,AV2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Neck,Demon Amulet,14,AV2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Neck,Disk of Energy Resistance,4,EPG,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Neck,Dreamstone Amulet,12,DUMZ,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Neck,Eldritch Medallion,17,AV2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Neck,Elven Cloak,7,PHB,2,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
Neck,Essence of the Scout,4,EPG,1,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,
Neck,Evil Eye Fetish,8,AV,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Neck,Far-Step Amulet,29,AV2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Neck,Fireflower Pendant,7,AV,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Neck,Flamewrath Cape,14,AV,3,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
Neck,Fleece of Renewal,13,AV2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Neck,Frostwolf Pelt,4,AV2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Neck,Gloaming Shroud,3,AV,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Neck,Gorget of Reciprocity,30,AV,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Neck,Greenstone Amulet,28,MOTP,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Neck,Guardian's Cape,20,PHB,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Neck,Guardian's Circlets,8,DRMZ,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Neck,Healer's Brooch,4,AV,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Neck,Hypnotic Pendant,13,DRMZ,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Neck,Keicha's Amulet,9,AV2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Neck,Liar's Trinket,13,AV,3,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Neck,Life Charm,25,AV,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Neck,Lifesaving Brooch,2,AV2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Neck,Lucky Charm,4,AV2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Neck,Mantle of Faith,14,MOTP,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Neck,Mantle of the Golden General,12,AV2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Neck,Mantle of Regrets,15,AV2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Neck,Medallion of Confounding Ideas,24,PsP,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Neck,Medallion of Death Deferred,9,AV,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Neck,Medallion of the Mind,14,AV2,3,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
Neck,Medic's Amulet,9,AV2,2,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
Neck,Moonlight Lavaliere,18,AV,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Neck,Necklace of Fate,12,AV2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Neck,Necklace of Fireballs,15,AV,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Neck,Necklace of Keys,3,AV2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Neck,Orc's-Eye Amulet,8,AV2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Neck,Ornament of Alertness,3,AV,1,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
Neck,Pavise Charm,8,Av2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
