,,,
Power Name,Book,Class,Level
Penance Compelled,DP,Invoker,3
Radiant Cordon,DRMZ,Invoker,3
Sun Hammer,PHB2,Invoker,3
Symbol of the Broken Sword,DP,Invoker,3
Word of Ruin,DP,Invoker,3
Baleful Eye of Judgment,PHB2,Invoker,7
Bolt of the Rising Sun,PHB2,Invoker,7
Curse of the Divine Plague,DRMZ,Invoker,7
Death's Dread Whisper,DRMZ,Invoker,7
Invoke Obedience,PHB2,Invoker,7
Lightning Spike,DRMZ,Invoker,7
Omen of Damnation,DRMZ,Invoker,7
Rain of Blood,DP,Invoker,7
Thunderbolt of the Heavens,PHB2,Invoker,7
Tide of the First Storm,DP,Invoker,7
Trumpets of Celestia,DP,Invoker,7
Word of Fiery Condemnation,DP,Invoker,7
Written in Fire,DP,Invoker,7
Brilliant Revelation,DP,Invoker,13
Compel Attention,PHB2,Invoker,13
Deadly Doubt,DP,Invoker,13
Earthen Reversal,DP,Invoker,13
Pillar of Guardian Flame,PHB2,Invoker,13
Seal of the Heretic,PHB2,Invoker,13
Stormclaw,DRMZ,Invoker,13
Thunderous Rebuke,DP,Invoker,13
Winds of Celestia,PHB2,Invoker,13
Word of Blindness,DP,Invoker,13
Astral Dust,DP,Invoker,17
Blood Debt,PHB2,Invoker,17
Chain Fire,DP,Invoker,17
Curse of Haemnathuun,PHB2,Invoker,17
Daunting Blasphemy,DP,Invoker,17
Glyph of Radiance,PHB2,Invoker,17
Glyph of Three Blades,PHB2,Invoker,17
Sound of the Golden Clarion,DP,Invoker,17
Word of Pain,DP,Invoker,17
Age's Infirmity,DRMZ,Invoker,23
Cascade of Five Suns,PHB2,Invoker,23
Fateful Foresight,DP,Invoker,23
Fetters of Darkness,DP,Invoker,23
Final Reproach,DP,Invoker,23
Plague of Poison,DP,Invoker,23
Storm of Celestia,PHB2,Invoker,23
Vindicating Flames,PHB2,Invoker,23
Word of Bewilderment,DP,Invoker,23
Word of Rebuke,PHB2,Invoker,23
Brand of Fire,DP,Invoker,27
Compel Action,DP,Invoker,27
Invoke Terror,PHB2,Invoker,27
Offering of Peace,PHB2,Invoker,27
Pall of the Shadowfell,DP,Invoker,27
Swarm of Astral Steel,PHB2,Invoker,27
Word of Annihilation,PHB2,Invoker,27
Word of Death,DP,Invoker,27
Awaken the Slumbering Hurt,PHB3,Monk,1
Drunken Monkey,PHB3,Monk,1
Eagle Claw Strike,PsP,Monk,1
Gentle Rainfall,DRMZ,Monk,1
Laughing Wind,PsP,Monk,1
Open the Gate of Battle,PHB3,Monk,1
Rising Storm,PHB3,Monk,1
Scattering of Leaves,PsP,Monk,1
Stinging Needles,PsP,Monk,1
Swift River Floods,PsP,Monk,1
Dance of Swords,PHB3,Monk,3
Enduring Champion,PHB3,Monk,3
Eternal Mountain,PHB3,Monk,3
Fallen Hammer in Repose,DRMZ,Monk,3
Inner Eye Opened,PsP,Monk,3
Resounding Strike,PsP,Monk,3
Springing Drake Assault,PsP,Monk,3
Twin Thunders,PHB3,Monk,3
Undeniable Incitement,PsP,Monk,3
Arc of the Flashing Storm,PsP,Monk,7
Feeding the Doves,PsP,Monk,7
Fist of One Hundred Strikes,PHB3,Monk,7
Grasping Tide,PHB3,Monk,7
Mountainfall Stomp,PsP,Monk,7
Strike the Avalanche,PHB3,Monk,7
Titan's Step,PHB3,Monk,7
Two falling Feathers,DRMZ,Monk,7
Unity of Steel,PsP,Monk,7
As the Arrow Flies,PsP,Monk,13
Dance of the Stinging Hornet,PHB3,Monk,13
Furious Bull,PHB3,Monk,13
Overpowering Strike,PHB3,Monk,13
Resounding Fist,PsP,Monk,13
Storm's Wake,PsP,Monk,13
Stop Between the Worlds,PHB3,Monk,13
Thundering Waterfall,PsP,Monk,13
Torrent of Falling Knives,DRMZ,Monk,13
A Feather's Weight,PsP,Monk,17
Death's Chilled Embrace,PHB3,Monk,17
Fall of the Anvil's Master,DRMZ,Monk,17
Feigned Opening,PsP,Monk,17
Glare of the Inner Eye,PsP,Monk,17
Leaping Dragon Strike,PsP,Monk,17
Steps of Grasping Fire,PHB3,Monk,17
Three Winds Kick,PHB3,Monk,17
Whirlwind Kick,PHB3,Monk,17
Fist of Golden Light,PHB3,Monk,23
Hungry Ghost,PHB3,Monk,23
Iron Cascade,PsP,Monk,23
Legion of One,PHB3,Monk,23
Lightning Throw,PsP,Monk,23
Shattered Earth Throw,PsP,Monk,23
Sunder the Castle,PHB3,Monk,23
Celestial Drunken Boxer,PHB3,Monk,27
Fist of Indomitable Iron,PHB3,Monk,27
From Earth to Heaven,PsP,Monk,27
Heart-Sundering Strike,PHB3,Monk,27
Part the Seas,PsP,Monk,27
Shatter the Mountain,PsP,Monk,27
Storms Fall Without Warning,DRMZ,Monk,27
Tap the Life Well,PHB3,Monk,27
Weight of the Anchor,PsP,Monk,27
Dazzling Flare,DP,Paladin,1
Divine Pursuit,DP,Paladin,1
Fearsome Smite,PHB,Paladin,1
Guardian Light,DP,Paladin,1
Heedless Fury,DP,Paladin,1
Piercing Smite,PHB,Paladin,1
Radiant Smite,PHB,Paladin,1
Shielding Smite,PHB,Paladin,1
Stolen Life,DRMZ,Paladin,1
Valorous Smite,DP,Paladin,1
Arcing Smite,PHB,Paladin,3
Avenging Smite,DP,Paladin,3
Call to Arms,DP,Paladin,3
Fortune Spurned Smite,DRMZ,Paladin,3
Hold Fast,DP,Paladin,3
Invigorating Smite,PHB,Paladin,3
Mocking Smite,DRMZ,Paladin,3
Night's Mantle,DRMZ,Paladin,3
Righteous Smite,PHB,Paladin,3
Staggering Smite,PHB,Paladin,3
Strength from Valor,DP,Paladin,3
Trial of Strength,DP,Paladin,3
Winter's Edge,DRMZ,Paladin,3
Astral Thunder,DP,Paladin,7
Beckon Foe,PHB,Paladin,7
Benign Transposition,PHB,Paladin,7
Blade of Light,DP,Paladin,7
Comeback Smite,DP,Paladin,7
Crescent Moon,DRMZ,Paladin,7
Divine Reverence,PHB,Paladin,7
Force of Arms,DP,Paladin,7
Price of Cowardice,DP,Paladin,7
Ravenfrost Strike,DRMZ,Paladin,7
Resurgent Smite,DP,Paladin,7
Thunder Smite,PHB,Paladin,7
Castigating Strike,DP,Paladin,13
Compel Obedience,DP,Paladin,13
Entangling Smite,PHB,Paladin,13
Eye for an Eye,DP,Paladin,13
Fervent Strike,DP,Paladin,13
Letherna's Hounds,DRMZ,Paladin,13
Radiant Charge,PHB,Paladin,13
Renewing Smite,PHB,Paladin,13
Whirlwind Smite,PHB,Paladin,13
Zealous Strike,DP,Paladin,13
Enervating Smite,PHB,Paladin,17
Fortifying Smite,PHB,Paladin,17
Frozen Shackles,DRMZ,Paladin,17
Hand of the Gods,PHB,Paladin,17
Icy Clutches,DRMZ,Paladin,17
Mark of Terror,DP,Paladin,17
Reassuring Strike,DP,Paladin,17
Sanctified Light,DP,Paladin,17
Shattering Smite,DP,Paladin,17
Terrifying Smite,PHB,Paladin,17
Wrathful Smite,DP,Paladin,17
Censuring Radiance,DP,Paladin,23
Champion's Call,DP,Paladin,23
Demand Respect,DP,Paladin,23
Freezing Censure ,DRMZ,Paladin,23
Grave Smite,DRMZ,Paladin,23
Here Waits Thy Doom,PHB,Paladin,23
Martyr's Smite,PHB,Paladin,23
Resounding Smite,PHB,Paladin,23
Resurgent Wrath,DP,Paladin,23
Sublime Transposition,PHB,Paladin,23
Trial of Adversity,DP,Paladin,23
Ardent Judgment,DP,Paladin,27
Astral Thunderbolt,DP,Paladin,27
Blinding Smite,PHB,Paladin,27
Brand of Judgment,PHB,Paladin,27
Charge of the Dead,DRMZ,Paladin,27
Deific Vengeance,PHB,Paladin,27
Overwhelming Smite,DP,Paladin,27
Restricting Smite,PHB,Paladin,27
Stunning Smite,PHB,Paladin,27
Terrible Charge,DP,Paladin,27
Wrathful Flame,DP,Paladin,27
Dire Wolverine Strike,PHB,Ranger,1
Enclose the Prey,MP,Ranger,1
Evasive Strike,PHB,Ranger,1
Feral Ambush,MP2,Ranger,1
Ferocious Insight,DRMZ,Ranger,1
Fox's Cunning,PHB,Ranger,1
Hindering Strike,DRMZ,Ranger,1
Hunter's Pounce,MP2,Ranger,1
Hunting-Partner Strike,MP,Ranger,1
Hurling Charge,MP2,Ranger,1
Off-Hand Strike,MP,Ranger,1
Plant to the Hilt,DRMZ,Ranger,1
Precise Assault,MP2,Ranger,1
Rapid Volley,MP,Ranger,1
Singular Shot,MP,Ranger,1
Skirmish Shot,MP2,Ranger,1
Synchronized Strike,MP,Ranger,1
Two-Fanged Strike,PHB,Ranger,1
Avenging Charge,MP2,Ranger,3
Beast Latch,MP,Ranger,3
Confusion of Blades,DRMZ,Ranger,3
Covering Strike,DRMZ,Ranger,3
Cut and Run,PHB,Ranger,3
Disruptive Strike,PHB,Ranger,3
Encircle the Prey,MP2,Ranger,3
Leonine Surge,MP,Ranger,3
Paired Predators,MP,Ranger,3
Parting Strike,MP2,Ranger,3
Ruffling Sting,MP,Ranger,3
Scattering Volley,MP,Ranger,3
Shadow Wasp Strike,PHB,Ranger,3
Stalking Strike,MP2,Ranger,3
Sustaining Strike,MP2,Ranger,3
Thunder Boar Strike,PHB,Ranger,3
Thwarting Shot,MP,Ranger,3
Upending Throw,MP2,Ranger,3
Assess and Strike,MP2,Ranger,7
Beast Rush,MP,Ranger,7
Biting Volley,MP,Ranger,7
Claws of the Griffon,PHB,Ranger,7
Deceptive Steel,DRMZ,Ranger,7
Fetch,MP2,Ranger,7
Finishing Cut,MP2,Ranger,7
Harried Quarry,MP,Ranger,7
Hawk's Talon,PHB,Ranger,7
Hunter's Shot,MP,Ranger,7
Jackal Ploy,MP,Ranger,7
Lashing Leaves,DRMZ,Ranger,7
Pinning Shot,DRMZ,Ranger,7
Slice Free,DRMZ,Ranger,7
Spikes of the Manticore,PHB,Ranger,7
Surprising Throw,MP2,Ranger,7
Sweeping Whirlwind,PHB,Ranger,7
Toppling Rush,MP2,Ranger,7
Twofold Flinch,MP,Ranger,7
Answer with Steel,MP2,Ranger,13
Armor Splinter,PHB,Ranger,13
Bloodlust Strike,MP,Ranger,13
Hammering Volley,MP,Ranger,13
Herd the Prey,MP,Ranger,13
Knockdown Pounce,MP,Ranger,13
Knockdown Shot,PHB,Ranger,13
Nimble Defense,PHB,Ranger,13
Off-Hand Diversion,MP,Ranger,13
Pinning Strike,PHB,Ranger,13
Quick Throw,MP2,Ranger,13
Ravaging Tide,MP2,Ranger,13
Storm in the Trees,DRMZ,Ranger,13
Strength of Earth,DRMZ,Ranger,13
Thread the Needle,MP2,Ranger,13
Warding Shot,DRMZ,Ranger,13
Arrow of Vengeance,PHB,Ranger,17
Blade and Fang,MP,Ranger,17
Blow-Through Assault,MP,Ranger,17
Canopy of Blades,DRMZ,Ranger,17
Cheetah's Rake,PHB,Ranger,17
Duck and Draw,MP2,Ranger,17
Entrapping Arrows,DRMZ,Ranger,17
Hounding Beast,MP,Ranger,17
Lights Out,DRMZ,Ranger,17
Pounding Barrage,MP,Ranger,17
Reproving Strike,MP2,Ranger,17
Suppressing Shots,MP2,Ranger,17
Swooping Raptor,DRMZ,Ranger,17
Triple Shot,PHB,Ranger,17
Two-Weapon Eviscerate,PHB,Ranger,17
Untamed Outburst,MP,Ranger,17
Wolverine Claw Strike,MP2,Ranger,17
Avalanche of Fury,MP2,Ranger,23
Blade Wind,PHB,Ranger,23
Chase Down,MP,Ranger,23
Cloak of Thorns,PHB,Ranger,23
Crashing Blades,DRMZ,Ranger,23
Dangerous Friends,DRMZ,Ranger,23
Dazing Volley,MP,Ranger,23
Flickering Blades,MP2,Ranger,23
Hammer Shot,PHB,Ranger,23
Hobbling Shot,MP,Ranger,23
Manticore's Volley,PHB,Ranger,23
Nonchalant Collapse,MP,Ranger,23
Overwhelming Fury,MP,Ranger,23
Richochet Throw,MP2,Ranger,23
Windwalk Strike,MP2,Ranger,23
Wolf Howl Strike,MP2,Ranger,23
Beastly Vise,MP,Ranger,27
Catch and Drop,MP,Ranger,27
Death Rend,PHB,Ranger,27
Hail of Arrows,PHB,Ranger,27
Interrupting Volley,DRMZ,Ranger,27
Lightning Shot,PHB,Ranger,27
Rolling Fire,MP2,Ranger,27
Seeking Roots,DRMZ,Ranger,27
Skewering Shot,MP2,Ranger,27
Steel Breeze,MP2,Ranger,27
Two-Beast Strike,MP2,Ranger,27
Unstable Gash,MP,Ranger,27
Wandering Tornado,PHB,Ranger,27
Acrobat's Blade Trick,MP2,Rogue,1
Dazing Strike,PHB,Rogue,1
Distracting Shot,MP2,Rogue,1
Fox's Gambit,MP,Rogue,1
Guarded Attack,MP,Rogue,1
Impact Shot,MP,Rogue,1
King's Castle,PHB,Rogue,1
One-Two Punch,MP2,Rogue,1
Opening Move,DRMZ,Rogue,1
Positioning Strike,PHB,Rogue,1
Shadow Strike,MP2,Rogue,1
Skip the Rock,MP2,Rogue,1
Sly Lunge,MP,Rogue,1
Termination Threat,MP,Rogue,1
Torturous Strike,PHB,Rogue,1
Unbalancing Shot,MP,Rogue,1
Bait and Switch,PHB,Rogue,3
Blade Vault,MP,Rogue,3
Brutal Trick,MP2,Rogue,3
Darting Strike,DRMZ,Rogue,3
Defender's Cohort,MP,Rogue,3
Enforced Threat,MP,Rogue,3
Flailing Shove,MP2,Rogue,3
Flamboyant Strike,MP,Rogue,3
Flattening Shot,MP2,Rogue,3
Fleeing Spirit Strike,MP2,Rogue,3
Jumping Blade Assault,MP2,Rogue,3
Low Slash,MP,Rogue,3
Maneuvering Strike,MP2,Rogue,3
Nasty Backswing,MP,Rogue,3
Setup Strike,PHB,Rogue,3
Shadow Steel Roll,MP2,Rogue,3
Strike and Move,DRMZ,Rogue,3
Topple Over,PHB,Rogue,3
Trickster's Blade,PHB,Rogue,3
Circling Predator,MP,Rogue,7
Cloud of Steel,PHB,Rogue,7
Dismaying Slash,MP,Rogue,7
Double Fall,MP2,Rogue,7
From the Shadows,MP,Rogue,7
Hectoring Strike,MP,Rogue,7
Imperiling Strike,PHB,Rogue,7
Killer's Ambush,MP2,Rogue,7
Lashing Blade,DRMZ,Rogue,7
Leg-Breaker,MP2,Rogue,7
Painful Shot,MP2,Rogue,7
Pinning Blade,MP2,Rogue,7
Rogue's Luck,PHB,Rogue,7
Sand in the Eyes,PHB,Rogue,7
Shadow Boxer,MP2,Rogue,7
Snap Shot,MP,Rogue,7
Spring the Trap,MP,Rogue,7
Bounding Escape,MP,Rogue,13
Cunning Cyclone,MP,Rogue,13
Daunting Attack,MP,Rogue,13
Fitting Demise,MP2,Rogue,13
Fool's Opportunity,PHB,Rogue,13
Numbing Shot,MP2,Rogue,13
Powerful Shot,MP,Rogue,13
Skip Shot,MP,Rogue,13
Strike of Dancing Shadows,MP2,Rogue,13
Stunning Strike,PHB,Rogue,13
Toppling Slash,MP,Rogue,13
Tornado Strike,PHB,Rogue,13
Unbalancing Attack,PHB,Rogue,13
Vaulting Charge,DRMZ,Rogue,13
Veiled Missile,MP2,Rogue,13
Wicked Reminder,MP2,Rogue,13
Audacious Strike,MP,Rogue,17
Blistering Outburst,MP,Rogue,17
Dazing Shot,MP2,Rogue,17
Dragon Tail Strike,PHB,Rogue,17
Escape Artist's Gambit,MP,Rogue,17
Excruciating Reminder,MP2,Rogue,17
Guerilla Blitz,MP,Rogue,17
Hounding Strike,PHB,Rogue,17
Leaping Dagger Kick,MP2,Rogue,17
No Escape,MP,Rogue,17
Path of the Blade,DRMZ,Rogue,17
Stab and Grab,PHB,Rogue,17
Stinging Squall,MP,Rogue,17
Surprising Assault,MP2,Rogue,17
Tumbling Strike,DRMZ,Rogue,17
Unerring Shot,MP2,Rogue,17
Blindside,MP,Rogue,23
Collapsing Riposte,MP,Rogue,23
Crack Shot,MP,Rogue,23
Cutthroat's Rebuke,MP2,Rogue,23
Dazing Double Shot,MP2,Rogue,23
Death Dance,MP,Rogue,23
Fell the Strong,MP2,Rogue,23
Felling Gash,MP,Rogue,23
Fettering Shot,MP,Rogue,23
Killer's Retreat,MP2,Rogue,23
Knave's Gambit,PHB,Rogue,23
Scorpion Strike,PHB,Rogue,23
Shimmering Blade,DRMZ,Rogue,23
Steel Entrapment,PHB,Rogue,23
Tendon Tear,MP2,Rogue,23
Craven's Bane,MP2,Rogue,27
Dance of Death,PHB,Rogue,27
Deflected Strike,MP2,Rogue,27
First and Final Strike,DRMZ,Rogue,27
From Pebble to Boulder,MP2,Rogue,27
Hurling Pounce,MP,Rogue,27
Hurricane of Blood,PHB,Rogue,27
Killer's Gift,MP2,Rogue,27
Perfect Sniper,MP2,Rogue,27
Perfect Strike,PHB,Rogue,27
Safe Bet,MP,Rogue,27
Sheathe the Blade,MP2,Rogue,27
Skirmishing Strike,MP,Rogue,27
Stunning Assist,MP,Rogue,27
Stupefying Violence,MP,Rogue,27
Anvil of Battle,PHB3,Runepriest,1
Divine Rune of Thunder,PHB3,Runepriest,1
Executioner's Call,PHB3,Runepriest,1
Flames of Purity,PHB3,Runepriest,1
Beacon of Vengeance,PHB3,Runepriest,3
Symbol of Wrath Reversed,PHB3,Runepriest,3
Word of Alliance,PHB3,Runepriest,3
Word of the Blinding Shield,PHB3,Runepriest,3
Gathering Storm Intonation,PHB3,Runepriest,7
Rune of Roaring Fire,PHB3,Runepriest,7
Symbol of Cowardice,PHB3,Runepriest,7
Word of Befuddlement,PHB3,Runepriest,7
Iron Redoubt,PHB3,Runepriest,13
Whirling Storm Word,PHB3,Runepriest,13
Word of Astral Defiance,PHB3,Runepriest,13
Word of Lingering Thunder,PHB3,Runepriest,13
Mark of Battle's End,PHB3,Runepriest,17
Rune of the Astral Phalanx,PHB3,Runepriest,17
Whisper of the Cunning Step,PHB3,Runepriest,17
Word of Healing Assault,PHB3,Runepriest,17
Mark of Untamed Wrath,PHB3,Runepriest,23
Rune of Rising Fury,PHB3,Runepriest,23
Rune of the Wandering Star,PHB3,Runepriest,23
Tide of Victory,PHB3,Runepriest,23
Invocation of Carceri,PHB3,Runepriest,27
Word of Divine Battle,PHB3,Runepriest,27
Word of Vengeful Thunder,PHB3,Runepriest,27
Word of Weal and Woe,PHB3,Runepriest,27
Flickering Arrow,PHB3,Seeker,1
Mischief Spirits,PHB3,Seeker,1
Possessing Spirits,PHB3,Seeker,1
Serpent Arrow,PHB3,Seeker,1
Spider Spirits,PHB3,Seeker,1
Steel Forest,DRMZ,Seeker,1
Burrowing Shot,PHB3,Seeker,3
Escaping Shot,PHB3,Seeker,3
Seeker's Due,DRMZ,Seeker,3
Spectral Scorpion Sting,PHB3,Seeker,3
Stampede Shot,PHB3,Seeker,3
Winter Spirit,PHB3,Seeker,3
Feyjump Shot,PHB3,Seeker,7
Thunder Spirit,PHB3,Seeker,7
Tremor Shot,PHB3,Seeker,7
Wasp Sting Shot,PHB3,Seeker,7
Windstorm Strike,PHB3,Seeker,7
Cordon of Thorns,DRMZ,Seeker,13
Feymire Trap,PHB3,Seeker,13
Rabid Shot,PHB3,Seeker,13
Raven Wing Shot,PHB3,Seeker,13
Swarming Spirits,PHB3,Seeker,13
Wind Spirits,PHB3,Seeker,13
Convocation of Arrows,PHB3,Seeker,17
Flesh-Tether Shot,PHB3,Seeker,17
Infestation of Moths,PHB3,Seeker,17
Seeker's Peerless Shot,DRMZ,Seeker,17
Sprite Dance,PHB3,Seeker,17
Quill Storm,PHB3,Seeker,23
Roaring Missile,PHB3,Seeker,23
Sinking Earth,PHB3,Seeker,23
Spirit Inferno,PHB3,Seeker,23
Stride-Breaking Shot,PHB3,Seeker,23
Abundant Growth,PHB3,Seeker,27
Angry Earth,PHB3,Seeker,27
Devouring Arrow,PHB3,Seeker,27
Razor Hail,PHB3,Seeker,27
Widows' Net,PHB3,Seeker,27
Bramble Ally,PP,Shaman,1
Call to the Ancestral Warrior,PHB2,Shaman,1
Call to the Ancient Defender,PHB2,Shaman,1
Certain Threat,PP,Shaman,1
Ironbreaker Claws,PP,Shaman,1
Scorching Sands,DSCS,Shaman,1
Spirits of Mountain Mist,PP,Shaman,1
Stormhawk's Fury,PP,Shaman,1
Thunder Bear's Warding,PHB2,Shaman,1
Twin Panthers,PHB2,Shaman,1
Call to the Savage Elder,PHB2,Shaman,3
Capturing Jaws,PP,Shaman,3
Granite Armor,DSCS,Shaman,3
Infectious Spark,DRMZ,Shaman,3
Lightning Panther Spirit,PHB2,Shaman,3
Rimefire Spirit,PHB2,Shaman,3
Sly Fox Spirit,PP,Shaman,3
Spirit Hunt,PP,Shaman,3
Spirit of Slavering Bloodlust,PP,Shaman,3
Spring Renewal Strike,PHB2,Shaman,3
Steadfast Mountain Guardian,PP,Shaman,3
Winter's Thaw,DRMZ,Shaman,3
Bear Hug,DRMZ,Shaman,7
Blood-Red Mist,PP,Shaman,7
Call to the Blood Dancer,PHB2,Shaman,7
Call to the Howling Storm,PHB2,Shaman,7
Emerald Lure,DRMZ,Shaman,7
Flashing Spirit,PP,Shaman,7
Guardian Eagle Flock,PP,Shaman,7
Hammer of the Grasping Tides,PP,Shaman,7
Memories of Wind and Rain,DSCS,Shaman,7
Spirit of Weakness,PP,Shaman,7
Thunderstorm Spirit,PHB2,Shaman,7
Winter Wind Spirit,PHB2,Shaman,7
Call to the Indomitable Defender,PHB2,Shaman,13
Call to the Laughing Fortune,PHB2,Shaman,13
Drawing All Eyes,PP,Shaman,13
Harvest Reaping,DRMZ,Shaman,13
Howling Gust,PHB2,Shaman,13
Hungry Spirit,PP,Shaman,13
Seething Zephyr,DSCS,Shaman,13
Spirit of Cleansing Light,PHB2,Shaman,13
Spirit of the Killing Shot,PP,Shaman,13
Spirits of the Forsaken Vale,PP,Shaman,13
Storm of War,PP,Shaman,13
Boar's Toss,PP,Shaman,17
Call to the Lashing Behemont,PHB2,Shaman,17
Cloudburst,DSCS,Shaman,17
Flesh Ripper's Claws,PP,Shaman,17
Hunt and Return,PP,Shaman,17
Shackles of the Mountain,PHB2,Shaman,17
Spirit Bond of Vengeance,PHB2,Shaman,17
Spirit Lance,PP,Shaman,17
Spirit of Spring's Renewal,PHB2,Shaman,17
Thorn Ally,PP,Shaman,17
Winter's End,DRMZ,Shaman,17
Beguiling Call,DRMZ,Shaman,23
Behemoth's Club,DRMZ,Shaman,23
Blood-Red Bonds,PP,Shaman,23
Boulder Smash,DSCS,Shaman,23
Call to the Primal Protector,PHB2,Shaman,23
Call to the Relentless Hunter,PHB2,Shaman,23
Eagle's Aerie,PP,Shaman,23
Mighty Spirit Leap,PP,Shaman,23
Spirit of the Death Raven,PHB2,Shaman,23
Spirit of the Ram,PP,Shaman,23
Spirit of the Vengeful Mountain,PP,Shaman,23
Twin Tempest Spirits,PHB2,Shaman,23
Blood Reaper Spirits,PHB2,Shaman,27
Call to the Cleansing Fire,PHB2,Shaman,27
Call to the Great Hunter,PHB2,Shaman,27
Conquering Storm Spirit,PP,Shaman,27
Deep Roots,DRMZ,Shaman,27
Forcing the Threat,PP,Shaman,27
Hunter in the Sky,PP,Shaman,27
Immolating Spirit,DSCS,Shaman,27
Ravenous Spirit,PP,Shaman,27
Spirit of Elder Wisdom,PHB2,Shaman,27
Warthan Ally,PP,Shaman,27
Bedeviling Burst,PHB2,Sorcerer,1
Explosive Pire,PHB2,Sorcerer,1
Familiar Fires,DRMZ,Sorcerer,1
Frostbind,PHB2,Sorcerer,1
Mists of Disarray,AP,Sorcerer,1
Pinning Bolt,AP,Sorcerer,1
Ray of the Moon,AP,Sorcerer,1
Tearing Claws,AP,Sorcerer,1
Teleporting Strike,DRMZ,Sorcerer,1
Tempest Breath,PHB2,Sorcerer,1
Thunder Slam,PHB2,Sorcerer,1
Thundering Roar,AP,Sorcerer,1
Whirlwind,AP,Sorcerer,1
Acid Claw,AP,Sorcerer,3
Dancing Lightning,PHB2,Sorcerer,3
Essence Prism,AP,Sorcerer,3
Flame Entanglement,DRMZ,Sorcerer,3
Flame Spiral,PHB2,Sorcerer,3
Ice Dragon's Teeth,PHB2,Sorcerer,3
Lightning Cuts,DRMZ,Sorcerer,3
Poisonous Exhalation,PHB2,Sorcerer,3
Searing Sands,AP,Sorcerer,3
Spectral Claw,PHB2,Sorcerer,3
Swirling Stars,AP,Sorcerer,3
Thundering Gust,AP,Sorcerer,3
Teleport Bash,DRMZ,Sorcerer,3
Blazing Bolts,AP,Sorcerer,7
Chaos Ray,AP,Sorcerer,7
Chaos Storm,PHB2,Sorcerer,7
Crushing Sphere,PHB2,Sorcerer,7
Dweomer Dagger,DRMZ,Sorcerer,7
Horror Blast,DRMZ,Sorcerer,7
"One Blow, One Echo",DRMZ,Sorcerer,7
Rimestorm,PHB2,Sorcerer,7
Shout,PHB2,Sorcerer,7
Spark Form,AP,Sorcerer,7
Thunder Bomb,AP,Sorcerer,7
Thunder Wyrm's Jaws,AP,Sorcerer,7
Chains of Fire,PHB2,Sorcerer,13
Chaos Poison Blast,DRMZ,Sorcerer,13
Cyclone Pull,AP,Sorcerer,13
Dazzling Starlight,AP,Sorcerer,13
Downbeat of Wings,AP,Sorcerer,13
Jaws of the Earth,PHB2,Sorcerer,13
Mind Hammer,PHB2,Sorcerer,13
Moon Cage,AP,Sorcerer,13
Primordial Storm,AP,Sorcerer,13
Thunder and Strike,DRMZ,Sorcerer,13
Thunder Breath,PHB2,Sorcerer,13
Acid Shackles,AP,Sorcerer,17
Azure Talons,AP,Sorcerer,17
Breath of Winter,PHB2,Sorcerer,17
Dragon Tail Meditation,PHB2,Sorcerer,17
Poisonous Evation,PHB2,Sorcerer,17
Rippling Strike,DRMZ,Sorcerer,17
Rolls of Thunder,DRMZ,Sorcerer,17
Searing Radiance,AP,Sorcerer,17
Stalking Frost,AP,Sorcerer,17
Thunder Summons,PHB2,Sorcerer,17
Thunderstroke,AP,Sorcerer,17
Black Breath,PHB2,Sorcerer,23
Chaos Orbs,PHB2,Sorcerer,23
Infernal Ring,DRMZ,Sorcerer,23
Iron Chains,PHB2,Sorcerer,23
Plates of Ice,PHB2,Sorcerer,23
Rumbling Storm Bolt,AP,Sorcerer,23
Shuffling Thunder,DRMZ,Sorcerer,23
Storm Arc,AP,Sorcerer,23
Sun and Stars,AP,Sorcerer,23
Wildrift Burst,AP,Sorcerer,23
Wyrmblight,AP,Sorcerer,23
Chaos Infusion,AP,Sorcerer,27
Lightning BackLash,DRMZ,Sorcerer,27
Lightning Eruption,PHB2,Sorcerer,27
Moonstruck,AP,Sorcerer,27
Mother Claw,AP,Sorcerer,27
Overpowering Lightning,AP,Sorcerer,27
Poison Ward,PHB2,Sorcerer,27
Sorcerous Echo,DRMZ,Sorcerer,27
Thunder Pulse,PHB2,Sorcerer,27
Thunderous Might,AP,Sorcerer,27
Wildfire Curse,PHB2,Sorcerer,27
Horrific Maw Bite,FR,Spellscarred,1
Plague Lash,FR,Spellscarred,1
Call of the Plague,FR,Spellscarred,3
Scar-Carving Blade,FR,Spellscarred,3
Cursed Grasping Air,FR,Spellscarred,7
Reach of the Doomed,FR,Spellscarred,7
Venomous Bloodfang,FR,Spellscarred,7
Lines in Burning Sand,FR,Spellscarred,13
Spellmother's Embrace,FR,Spellscarred,13
Iron Tooth of Bloodlust,FR,Spellscarred,17
Mask of Midnight,FR,Spellscarred,17
Hideous Laughter,FR,Spellscarred,23
Tongues of the Earth,FR,Spellscarred,23
Impossible Flurry,FR,Spellscarred,27
Shifting Wave,FR,Spellscarred,27
Blazing Pursuit,AP,Swordmage,1
Chilling Blow,FR,Swordmage,1
Crackling Burst,AP,Swordmage,1
Falcon's Mark,AP,Swordmage,1
Flame Cyclone,FR,Swordmage,1
Foesnare,FR,Swordmage,1
Fox's Feint,AP,Swordmage,1
Lighting Clash,FR,Swordmage,1
Sword of Sigils,AP,Swordmage,1
Backblast Swipe,FR,Swordmage,3
Blades of Fiery Wrath,DRMZ,Swordmage,3
Blazing Lunge,AP,Swordmage,3
